step 10073 	 return [0.00495614 0.00390485 0.0062637  0.00698073 0.00410953], ([0.00111127 0.00161646 0.00199824 0.00272988 0.00205458]) 	 loss 5.801E-01 	 horizons 19.0
step 10263 	 return [0.00200901 0.0076765  0.00776629 0.0073998  0.00423691], ([0.00104835 0.00347578 0.00072161 0.00276139 0.00106403]) 	 loss 6.032E-01 	 horizons 19.0
step 10453 	 return [0.00188706 0.00806888 0.00920482 0.00811436 0.00483102], ([0.00171706 0.00222628 0.0018738  0.00151206 0.00120055]) 	 loss 6.083E-01 	 horizons 19.0
step 10643 	 return [0.00295284 0.00860181 0.00899341 0.00720601 0.00511069], ([0.0013021  0.0032426  0.00169859 0.00368197 0.00212519]) 	 loss 5.896E-01 	 horizons 19.0
step 10833 	 return [0.00327858 0.00927368 0.00857702 0.01036375 0.00441389], ([0.00065343 0.00151302 0.00258398 0.00259868 0.00241603]) 	 loss 6.080E-01 	 horizons 19.0
step 11023 	 return [0.00056836 0.00956301 0.01126709 0.01064398 0.00793894], ([0.00170509 0.00200052 0.00096086 0.00318983 0.00160916]) 	 loss 5.850E-01 	 horizons 19.0
step 11213 	 return [0.0002567  0.01102871 0.01258442 0.00912866 0.0057034 ], ([0.0007701  0.00133202 0.00155694 0.00340404 0.00252286]) 	 loss 5.736E-01 	 horizons 19.0
step 11403 	 return [0.00652572 0.00385461 0.00536168 0.00525208 0.00374652], ([0.00099316 0.00106899 0.00127655 0.00121034 0.00125232]) 	 loss 5.469E-01 	 horizons 19.0
step 11593 	 return [0.00754785 0.00420736 0.00319    0.00209206 0.00031883], ([0.0015115  0.00062699 0.00127341 0.00153111 0.00065614]) 	 loss 5.318E-01 	 horizons 19.0
step 11783 	 return [0.         0.00938709 0.01071962 0.01200645 0.00683955], ([0.         0.0017899  0.00146343 0.00204744 0.00152946]) 	 loss 5.206E-01 	 horizons 19.0
step 11973 	 return [0.         0.01053264 0.01131063 0.01096858 0.00717159], ([0.         0.00071966 0.00119147 0.00235563 0.00160446]) 	 loss 4.971E-01 	 horizons 19.0
step 12163 	 return [0.00104066 0.00989764 0.00994447 0.0102191  0.00680996], ([0.00128711 0.00251207 0.00228529 0.00351937 0.00131999]) 	 loss 4.560E-01 	 horizons 19.0
step 12353 	 return [0.00023231 0.00950047 0.01070209 0.0120299  0.00693899], ([0.00069692 0.0023181  0.00179075 0.00178042 0.00126184]) 	 loss 4.533E-01 	 horizons 19.0
step 12543 	 return [0.0007972  0.01024959 0.01135866 0.01007226 0.00769086], ([0.00121992 0.00119253 0.00181397 0.00219498 0.00104064]) 	 loss 4.449E-01 	 horizons 19.0
step 12733 	 return [0.00181846 0.00973576 0.01067497 0.01145501 0.00596941], ([0.00119915 0.00162143 0.0018186  0.00244668 0.00171032]) 	 loss 4.387E-01 	 horizons 19.0
step 12923 	 return [0.00025528 0.01076062 0.01163789 0.01189346 0.00620508], ([0.00076584 0.00117959 0.00113107 0.00176636 0.00250604]) 	 loss 4.255E-01 	 horizons 19.0
step 13113 	 return [0.         0.01053682 0.01041318 0.01069196 0.00623348], ([0.         0.00120076 0.00136545 0.00221227 0.00136509]) 	 loss 4.257E-01 	 horizons 19.0
step 13303 	 return [0.00025634 0.00953601 0.01082461 0.01021878 0.00715315], ([0.00076901 0.00200891 0.00193569 0.00318691 0.00138525]) 	 loss 4.030E-01 	 horizons 19.0
step 13493 	 return [0.00227015 0.01083703 0.00956152 0.01138661 0.00671171], ([0.00131815 0.00160154 0.00169093 0.00243564 0.00088959]) 	 loss 4.326E-01 	 horizons 19.0
step 13683 	 return [0.         0.01017286 0.01170058 0.01273707 0.00684899], ([0.         0.00150936 0.0011405  0.0015455  0.001271  ]) 	 loss 4.094E-01 	 horizons 19.0
step 13873 	 return [0.         0.01069359 0.01177571 0.01124285 0.00604354], ([0.         0.00095021 0.00124579 0.00273719 0.00149106]) 	 loss 3.835E-01 	 horizons 19.0
step 14063 	 return [0.         0.01092273 0.01209345 0.0115242  0.00734145], ([0.         0.00120186 0.00104385 0.00217724 0.00169125]) 	 loss 3.734E-01 	 horizons 19.0
step 14253 	 return [0.00548622 0.00538245 0.00681468 0.0064594  0.00363954], ([0.00103371 0.00165007 0.00214764 0.00236119 0.00188229]) 	 loss 3.497E-01 	 horizons 19.0
step 14443 	 return [0.         0.01097297 0.01219689 0.01180739 0.00627783], ([0.         0.00126555 0.00173598 0.0013241  0.00158919]) 	 loss 3.458E-01 	 horizons 19.0
step 14633 	 return [0.00238466 0.00986969 0.00987956 0.01186066 0.00767229], ([0.00081217 0.00219534 0.00161075 0.00153189 0.00110745]) 	 loss 3.589E-01 	 horizons 19.0
step 14823 	 return [0.         0.01081708 0.01109119 0.01267984 0.007215  ], ([0.         0.00057859 0.00121999 0.00161411 0.00070785]) 	 loss 3.529E-01 	 horizons 19.0
step 15013 	 return [0.00027106 0.01057763 0.01105262 0.01173943 0.00748277], ([0.00081319 0.00108575 0.00160644 0.00199203 0.00154047]) 	 loss 3.262E-01 	 horizons 19.0
step 15203 	 return [0.00250269 0.0081511  0.00975978 0.01252097 0.00736603], ([0.00021413 0.00328183 0.00203449 0.00156786 0.00110612]) 	 loss 3.310E-01 	 horizons 19.0
step 15393 	 return [0.00706643 0.005722   0.00758353 0.00682532 0.00492028], ([0.00114478 0.00179392 0.00109981 0.00164457 0.00082116]) 	 loss 3.194E-01 	 horizons 19.0
