step 21078 	 return [0.00722632 0.01037482 0.01226551], ([0.00063611 0.00121938 0.00102986]) 	 loss 2.790E-01 	 horizons 19.0
step 21268 	 return [0.00796941 0.01045776 0.01174939], ([0.00063356 0.00095855 0.00134325]) 	 loss 2.646E-01 	 horizons 19.0
step 21458 	 return [0.00834408 0.01069282 0.01177666], ([0.00070388 0.0009177  0.00077573]) 	 loss 2.584E-01 	 horizons 19.0
step 21648 	 return [0.00787131 0.0116532  0.01041004], ([0.00050608 0.00093988 0.00185364]) 	 loss 2.674E-01 	 horizons 19.0
step 21838 	 return [0.00775818 0.01089966 0.01090997], ([0.00094189 0.00086716 0.00176205]) 	 loss 2.413E-01 	 horizons 19.0
step 22028 	 return [0.00827961 0.01103888 0.012145  ], ([0.00060995 0.00053196 0.00060135]) 	 loss 2.584E-01 	 horizons 19.0
step 22218 	 return [0.00807346 0.01015965 0.01176552], ([0.0005009  0.00121126 0.0007018 ]) 	 loss 2.475E-01 	 horizons 19.0
step 22408 	 return [0.00795002 0.01125339 0.0116304 ], ([0.00052668 0.00047042 0.00026173]) 	 loss 2.125E-01 	 horizons 19.0
step 22598 	 return [0.00703536 0.01112562 0.01196357], ([0.00058915 0.00076736 0.00055245]) 	 loss 2.319E-01 	 horizons 19.0
step 22788 	 return [0.00849658 0.01104126 0.01217737], ([0.00099578 0.0005377  0.00070022]) 	 loss 2.099E-01 	 horizons 19.0
step 22978 	 return [0.00837565 0.01130036 0.0117022 ], ([0.00059716 0.00088337 0.00171866]) 	 loss 1.881E-01 	 horizons 19.0
step 23168 	 return [0.00778911 0.01072868 0.01231398], ([0.0004678  0.0007627  0.00072128]) 	 loss 1.909E-01 	 horizons 19.0
step 23358 	 return [0.00766512 0.01022046 0.01246827], ([0.00047525 0.00083607 0.00093714]) 	 loss 1.804E-01 	 horizons 19.0
step 23548 	 return [0.00773696 0.00916977 0.01288466], ([0.00052612 0.00120325 0.00094504]) 	 loss 1.760E-01 	 horizons 19.0
step 23738 	 return [0.0084381  0.01072309 0.01234524], ([0.0007238  0.00098863 0.00072201]) 	 loss 1.635E-01 	 horizons 19.0
step 23928 	 return [0.00702355 0.00967321 0.01338764], ([0.00051104 0.00089087 0.00084865]) 	 loss 1.747E-01 	 horizons 19.0
step 24118 	 return [0.00827075 0.01076017 0.01221656], ([0.00040404 0.00076556 0.00110087]) 	 loss 1.681E-01 	 horizons 19.0
step 24308 	 return [0.00877147 0.01070927 0.0120952 ], ([0.00070126 0.00070773 0.00063894]) 	 loss 1.508E-01 	 horizons 19.0
step 24498 	 return [0.0080039  0.00891988 0.01285738], ([0.00028247 0.00124532 0.00103835]) 	 loss 1.518E-01 	 horizons 19.0
step 24688 	 return [0.00871523 0.0109755  0.01191481], ([0.00051996 0.00055049 0.00056064]) 	 loss 1.486E-01 	 horizons 19.0
step 24878 	 return [0.00764587 0.01153625 0.01202149], ([0.00021062 0.00068661 0.00038062]) 	 loss 1.436E-01 	 horizons 19.0
step 25068 	 return [0.00896128 0.0109326  0.01270361], ([0.00062385 0.00038652 0.00064565]) 	 loss 1.448E-01 	 horizons 19.0
step 25258 	 return [0.00779677 0.01164565 0.01206151], ([0.00058296 0.00101895 0.00084832]) 	 loss 1.286E-01 	 horizons 19.0
step 25448 	 return [0.00934123 0.01068979 0.01309387], ([0.00021498 0.00028909 0.00012993]) 	 loss 1.409E-01 	 horizons 19.0
step 25638 	 return [0.0085432  0.01131018 0.01233838], ([0.00056947 0.00053588 0.0007596 ]) 	 loss 1.298E-01 	 horizons 19.0
step 25828 	 return [0.00870602 0.01068353 0.01200535], ([0.00043001 0.00061771 0.00065328]) 	 loss 1.270E-01 	 horizons 19.0
step 26018 	 return [0.00878122 0.01037823 0.01254327], ([0.00048917 0.00069848 0.00079967]) 	 loss 1.184E-01 	 horizons 19.0
step 26208 	 return [0.00892337 0.01067598 0.01227934], ([0.00063992 0.00072686 0.00068769]) 	 loss 1.125E-01 	 horizons 19.0
step 26398 	 return [0.00803639 0.01048298 0.01275652], ([0.00053641 0.00063727 0.0006486 ]) 	 loss 9.533E-02 	 horizons 19.0
step 26588 	 return [0.00836523 0.01100683 0.01237643], ([0.00064905 0.00041821 0.00076283]) 	 loss 9.490E-02 	 horizons 19.0
step 26778 	 return [0.00869068 0.01059351 0.01259187], ([0.00082572 0.00056155 0.0007718 ]) 	 loss 8.516E-02 	 horizons 19.0
step 26968 	 return [0.00810337 0.01134587 0.0119499 ], ([0.0004553  0.00035129 0.00051463]) 	 loss 1.029E-01 	 horizons 19.0
step 27158 	 return [0.00903537 0.01095743 0.01291638], ([0.00060843 0.00050161 0.00068011]) 	 loss 9.000E-02 	 horizons 19.0
step 27348 	 return [0.0094218  0.01041407 0.01297043], ([0.00040349 0.00052617 0.0004664 ]) 	 loss 9.468E-02 	 horizons 19.0
step 27538 	 return [0.00890847 0.01117017 0.01297099], ([0.00053876 0.00038296 0.00058411]) 	 loss 9.274E-02 	 horizons 19.0
step 27728 	 return [0.00893508 0.01090814 0.01249462], ([0.00043148 0.00040371 0.00075839]) 	 loss 9.058E-02 	 horizons 19.0
step 27918 	 return [0.00914414 0.01106023 0.01317221], ([0.00038098 0.00048596 0.00018753]) 	 loss 9.647E-02 	 horizons 19.0
step 28108 	 return [0.00819215 0.01042422 0.01299005], ([0.00068316 0.00062633 0.00067814]) 	 loss 9.445E-02 	 horizons 19.0
step 28298 	 return [0.00930903 0.01094276 0.01314133], ([0.00017071 0.00045379 0.00013677]) 	 loss 8.791E-02 	 horizons 19.0
step 28488 	 return [0.00941741 0.0105985  0.01305757], ([2.8125013e-04 3.5263834e-04 9.2080845e-05]) 	 loss 9.208E-02 	 horizons 19.0
step 28678 	 return [0.00827805 0.01038884 0.01335783], ([0.00066327 0.00043126 0.00020205]) 	 loss 8.992E-02 	 horizons 19.0
step 28868 	 return [0.00850503 0.01040668 0.01312538], ([0.00071807 0.00061944 0.00036112]) 	 loss 8.397E-02 	 horizons 19.0
step 29058 	 return [0.00957784 0.01023403 0.01305328], ([0.00045478 0.0004702  0.00020177]) 	 loss 8.808E-02 	 horizons 19.0
step 29248 	 return [0.00954226 0.01031112 0.0129078 ], ([0.00052248 0.00026865 0.00043649]) 	 loss 8.499E-02 	 horizons 19.0
step 29438 	 return [0.00873636 0.01086204 0.01346308], ([0.00068372 0.00058726 0.00056599]) 	 loss 8.954E-02 	 horizons 19.0
step 29628 	 return [0.00901439 0.01049731 0.01314725], ([0.0005238  0.00066595 0.00047107]) 	 loss 8.782E-02 	 horizons 19.0
step 29818 	 return [0.00937541 0.01006506 0.01306623], ([0.00057857 0.00054328 0.00013023]) 	 loss 8.310E-02 	 horizons 19.0
step 30008 	 return [0.00813607 0.01012662 0.01317858], ([0.00040463 0.00038515 0.00074347]) 	 loss 7.663E-02 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-temporal__456__1781487421[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/dkvxpp1g[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_033701-dkvxpp1g/logs[0m
