step 9180 	 return [0.         0.         0.00794537 0.00395533 0.0048663 ], ([0.         0.         0.00105838 0.00085832 0.000848  ]) 	 loss 1.640E-01 	 horizons 9.0
step 9270 	 return [0.00336065 0.00511745 0.00044332 0.00080135 0.        ], ([5.1400927e-04 1.1473750e-03 8.5312538e-05 3.2857017e-04 0.0000000e+00]) 	 loss 1.467E-01 	 horizons 9.0
step 9360 	 return [0.00365573 0.00382937 0.00051082 0.00097693 0.        ], ([4.0944616e-04 9.5096597e-04 9.8850345e-05 3.6701953e-04 0.0000000e+00]) 	 loss 1.509E-01 	 horizons 9.0
step 9450 	 return [0.00148264 0.00807264 0.00128423 0.00111727 0.        ], ([0.00070744 0.00078664 0.00083832 0.00047941 0.        ]) 	 loss 1.327E-01 	 horizons 9.0
step 9540 	 return [0.00138494 0.00797762 0.0015779  0.00098468 0.        ], ([0.00049898 0.00053931 0.00094534 0.00041026 0.        ]) 	 loss 1.506E-01 	 horizons 9.0
step 9630 	 return [0.         0.00906711 0.00487961 0.00097452 0.        ], ([0.         0.00071905 0.00147317 0.00052557 0.        ]) 	 loss 1.352E-01 	 horizons 9.0
step 9720 	 return [0.00205531 0.0076673  0.00058667 0.00059876 0.        ], ([0.00057942 0.00063985 0.00034827 0.00047441 0.        ]) 	 loss 1.206E-01 	 horizons 9.0
step 9810 	 return [0.00269954 0.00756165 0.00085265 0.00103129 0.        ], ([0.0004391  0.00041684 0.00070452 0.00031894 0.        ]) 	 loss 1.295E-01 	 horizons 9.0
step 9900 	 return [0.         0.00708973 0.00774338 0.00110853 0.        ], ([0.         0.00051381 0.00059374 0.00044121 0.        ]) 	 loss 1.261E-01 	 horizons 9.0
step 9990 	 return [0.         0.         0.01164061 0.00528223 0.00035538], ([0.0000000e+00 0.0000000e+00 8.1095414e-04 6.7600246e-05 1.0661335e-03]) 	 loss 1.384E-01 	 horizons 9.0
step 10080 	 return [0.         0.         0.00748223 0.00473496 0.00527332], ([0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 1.179E-01 	 horizons 9.0
step 10170 	 return [0.00313908 0.00755166 0.00050141 0.00098185 0.        ], ([2.2905493e-04 1.3169934e-04 6.3077976e-05 2.9548214e-04 0.0000000e+00]) 	 loss 1.214E-01 	 horizons 9.0
step 10260 	 return [0.         0.         0.00077348 0.00490805 0.00965975], ([0.0000000e+00 0.0000000e+00 1.2102347e-06 3.0804719e-04 8.4240374e-04]) 	 loss 1.147E-01 	 horizons 9.0
step 10350 	 return [0.         0.00626444 0.00775865 0.00229527 0.        ], ([0.         0.0012342  0.00024814 0.00121002 0.        ]) 	 loss 1.269E-01 	 horizons 9.0
step 10440 	 return [0.         0.00855371 0.0056576  0.00138611 0.        ], ([0.         0.00082836 0.00129713 0.00033536 0.        ]) 	 loss 1.427E-01 	 horizons 9.0
step 10530 	 return [0.0021919  0.00556894 0.00142126 0.00153112 0.        ], ([1.8846388e-04 3.0328266e-04 4.6493184e-05 1.4517119e-04 0.0000000e+00]) 	 loss 1.254E-01 	 horizons 9.0
step 10620 	 return [0.00032167 0.00920177 0.00333469 0.00136591 0.        ], ([0.00049136 0.00082583 0.00029821 0.00012057 0.        ]) 	 loss 1.379E-01 	 horizons 9.0
step 10710 	 return [0.         0.00084712 0.00951686 0.00331853 0.00310775], ([0.         0.00143343 0.00116809 0.00037243 0.00138595]) 	 loss 1.215E-01 	 horizons 9.0
step 10800 	 return [0.00295669 0.00663683 0.00061034 0.00077155 0.        ], ([0.00049147 0.0010932  0.00034085 0.00051023 0.        ]) 	 loss 1.187E-01 	 horizons 9.0
step 10890 	 return [0.00330751 0.00659047 0.00067421 0.00107363 0.        ], ([0.00028394 0.00095184 0.00029678 0.00014423 0.        ]) 	 loss 1.356E-01 	 horizons 9.0
step 10980 	 return [0.         0.         0.00792297 0.00686673 0.00250272], ([0.         0.         0.00143793 0.00043876 0.00307063]) 	 loss 1.117E-01 	 horizons 9.0
step 11070 	 return [0.         0.         0.00481309 0.0052764  0.00709341], ([0.         0.         0.00070089 0.00049962 0.00122542]) 	 loss 1.109E-01 	 horizons 9.0
step 11160 	 return [0.00301523 0.00761469 0.00048249 0.00085588 0.        ], ([4.2350421e-04 1.0999793e-04 7.3224510e-05 3.5053235e-04 0.0000000e+00]) 	 loss 8.740E-02 	 horizons 9.0
step 11250 	 return [0.00253058 0.00653446 0.00119154 0.00134603 0.        ], ([0.000328   0.00057257 0.00031798 0.00029814 0.        ]) 	 loss 8.681E-02 	 horizons 9.0
step 11340 	 return [0.00342059 0.00402564 0.00086973 0.00105427 0.        ], ([0.00013356 0.00076394 0.00030287 0.00025677 0.        ]) 	 loss 9.999E-02 	 horizons 9.0
step 11430 	 return [0.         0.00304919 0.01016606 0.00345579 0.00072486], ([0.         0.00165699 0.00168724 0.00052393 0.00144971]) 	 loss 9.248E-02 	 horizons 9.0
step 11520 	 return [0.00336368 0.00408988 0.00093026 0.00108304 0.        ], ([0.00029672 0.00075284 0.00030258 0.00029188 0.        ]) 	 loss 1.007E-01 	 horizons 9.0
step 11610 	 return [0.00251189 0.00608698 0.00127567 0.00134688 0.        ], ([2.445208e-04 7.260808e-05 2.452202e-04 4.890289e-05 0.000000e+00]) 	 loss 1.067E-01 	 horizons 9.0
step 11700 	 return [0.         0.00020276 0.00953207 0.00456694 0.003246  ], ([0.         0.00060827 0.00106129 0.00085092 0.0012406 ]) 	 loss 1.286E-01 	 horizons 9.0
step 11790 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.047E-01 	 horizons 9.0
step 11880 	 return [0.         0.00616485 0.0081118  0.00226033 0.        ], ([0.         0.00115952 0.00036282 0.00086627 0.        ]) 	 loss 8.736E-02 	 horizons 9.0
step 11970 	 return [0.00377325 0.0014403  0.00054493 0.00081285 0.        ], ([2.3758915e-04 5.2955572e-04 7.0048947e-05 1.1143273e-04 0.0000000e+00]) 	 loss 1.245E-01 	 horizons 9.0
step 12060 	 return [0.00263688 0.00732686 0.0008711  0.001196   0.        ], ([0.00031658 0.00063661 0.00037097 0.00028604 0.        ]) 	 loss 8.698E-02 	 horizons 9.0
step 12150 	 return [0.00313862 0.00738818 0.00055504 0.00090299 0.        ], ([0.00022961 0.00066894 0.00021204 0.00024472 0.        ]) 	 loss 1.026E-01 	 horizons 9.0
