step 5310 	 return [0.00191175 0.0014321  0.00043053], ([0.00056265 0.00043394 0.00032985]) 	 loss 4.806E-01 	 horizons 9.0
step 5400 	 return [7.6994846e-05 4.1565690e-03 5.1274463e-03], ([0.00023098 0.00088589 0.00097931]) 	 loss 4.547E-01 	 horizons 9.0
step 5490 	 return [0.00178857 0.0028229  0.00082357], ([0.00078619 0.00038186 0.00027968]) 	 loss 4.284E-01 	 horizons 9.0
step 5580 	 return [0.00264052 0.00206439 0.00091754], ([0.00058615 0.0003019  0.00013586]) 	 loss 4.274E-01 	 horizons 9.0
step 5670 	 return [0.00197944 0.00372055 0.00078541], ([0.00067793 0.00041249 0.00039315]) 	 loss 4.147E-01 	 horizons 9.0
step 5760 	 return [0.         0.00500312 0.00517632], ([0.         0.00037737 0.00067924]) 	 loss 3.887E-01 	 horizons 9.0
step 5850 	 return [0.00206051 0.00367921 0.000977  ], ([6.7812437e-04 3.4050553e-04 2.8598908e-05]) 	 loss 3.716E-01 	 horizons 9.0
step 5940 	 return [0.00248694 0.00355142 0.00099046], ([6.7400426e-04 2.2756419e-04 2.6166740e-06]) 	 loss 3.275E-01 	 horizons 9.0
step 6030 	 return [0.00263503 0.00268904 0.00092209], ([5.5005803e-04 2.8012061e-04 3.3660846e-05]) 	 loss 3.181E-01 	 horizons 9.0
step 6120 	 return [0.00124463 0.00427457 0.00100544], ([5.031113e-04 3.319197e-04 1.648805e-05]) 	 loss 3.144E-01 	 horizons 9.0
step 6210 	 return [0.00257779 0.00281872 0.00091721], ([3.8954677e-04 3.8362844e-04 2.9063387e-05]) 	 loss 3.052E-01 	 horizons 9.0
step 6300 	 return [0.00167353 0.00323484 0.0011231 ], ([0.00051346 0.00055421 0.00046241]) 	 loss 2.774E-01 	 horizons 9.0
step 6390 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.568E-01 	 horizons 9.0
step 6480 	 return [0.00281642 0.00237945 0.00093348], ([0.0004201  0.0003201  0.00011039]) 	 loss 2.536E-01 	 horizons 9.0
step 6570 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.377E-01 	 horizons 9.0
step 6660 	 return [0.0025566  0.00237576 0.00090962], ([4.4799398e-04 1.7542957e-04 9.7912613e-05]) 	 loss 2.254E-01 	 horizons 9.0
step 6750 	 return [0.00277289 0.00215299 0.00088436], ([4.1704881e-04 2.5811515e-04 5.8569734e-05]) 	 loss 2.014E-01 	 horizons 9.0
step 6840 	 return [0.00239043 0.00392418 0.00098704], ([4.4081319e-04 2.9363847e-04 2.1844675e-05]) 	 loss 1.887E-01 	 horizons 9.0
step 6930 	 return [0.00296977 0.00261017 0.00088365], ([0.00031468 0.00025372 0.00012795]) 	 loss 1.851E-01 	 horizons 9.0
step 7020 	 return [0.00318934 0.00185709 0.00111381], ([0.00047519 0.00029604 0.00011044]) 	 loss 1.835E-01 	 horizons 9.0
step 7110 	 return [0.00312232 0.00285942 0.00094213], ([4.4401002e-04 3.9607190e-04 3.6930054e-05]) 	 loss 1.829E-01 	 horizons 9.0
step 7200 	 return [0.00161307 0.00437311 0.0013159 ], ([0.00054467 0.00033665 0.00095144]) 	 loss 1.723E-01 	 horizons 9.0
step 7290 	 return [0.00284853 0.00332875 0.00095906], ([4.3081725e-04 7.9739126e-05 3.2946798e-05]) 	 loss 1.782E-01 	 horizons 9.0
step 7380 	 return [0.00291161 0.00311619 0.00095923], ([3.9913738e-04 3.2362438e-04 2.9955218e-05]) 	 loss 1.648E-01 	 horizons 9.0
step 7470 	 return [0.00288384 0.00348966 0.00099081], ([2.6668297e-04 1.8894803e-04 4.1723779e-06]) 	 loss 1.665E-01 	 horizons 9.0
step 7560 	 return [0.00309306 0.00330477 0.00098402], ([4.7952708e-04 2.1411385e-04 3.0857946e-06]) 	 loss 1.658E-01 	 horizons 9.0
step 7650 	 return [0.00260639 0.00377292 0.00099444], ([3.651675e-04 3.417735e-04 6.830459e-06]) 	 loss 1.906E-01 	 horizons 9.0
step 7740 	 return [0.00314053 0.00326277 0.0009495 ], ([5.2878680e-04 3.2412773e-04 3.4181674e-05]) 	 loss 1.764E-01 	 horizons 9.0
step 7830 	 return [0.00285954 0.00339639 0.00097661], ([2.8494210e-04 6.6590452e-05 2.5334384e-05]) 	 loss 1.614E-01 	 horizons 9.0
