step 15638 	 return [0.00426923 0.00920288 0.00680871 0.01415891 0.00728125], ([0.00139787 0.00145757 0.00150786 0.00198983 0.00089533]) 	 loss 3.593E-01 	 horizons 19.0
step 15828 	 return [0.00288393 0.01015177 0.00856184 0.01596074 0.00824841], ([0.0015268  0.00151133 0.00163362 0.00180479 0.00169932]) 	 loss 3.203E-01 	 horizons 19.0
step 16018 	 return [0.0037372  0.01199649 0.00905478 0.00897538 0.00835664], ([0.00096539 0.00123291 0.00156491 0.00145803 0.00118345]) 	 loss 3.006E-01 	 horizons 19.0
step 16208 	 return [0.00281851 0.01122993 0.00838302 0.01061849 0.0078016 ], ([0.00123033 0.00111541 0.00163509 0.00191971 0.00165061]) 	 loss 3.142E-01 	 horizons 19.0
step 16398 	 return [0.00250342 0.00933466 0.00690579 0.01574622 0.00866438], ([0.00125911 0.00145055 0.00144616 0.00187948 0.00286464]) 	 loss 3.339E-01 	 horizons 19.0
step 16588 	 return [0.00313698 0.01124844 0.00796778 0.00848872 0.00778776], ([0.00133074 0.00345314 0.00136568 0.00237437 0.00215376]) 	 loss 2.967E-01 	 horizons 19.0
step 16778 	 return [0.00477028 0.00479673 0.00775296 0.01532176 0.00917915], ([0.00168069 0.00128832 0.00184967 0.00217444 0.00312495]) 	 loss 2.874E-01 	 horizons 19.0
step 16968 	 return [0.00533252 0.01058293 0.00888045 0.00982242 0.00712675], ([0.00123323 0.00150507 0.00156715 0.00127419 0.00013302]) 	 loss 2.900E-01 	 horizons 19.0
step 17158 	 return [0.00151529 0.00980102 0.00693865 0.01627058 0.00835515], ([0.00192724 0.00106521 0.00141139 0.00099954 0.00142858]) 	 loss 2.597E-01 	 horizons 19.0
step 17348 	 return [0.00635953 0.00793368 0.00786917 0.00979543 0.00680144], ([0.00136862 0.00151641 0.00099217 0.00053401 0.00068922]) 	 loss 2.669E-01 	 horizons 19.0
step 17538 	 return [0.00440875 0.00757533 0.00737171 0.014266   0.00774474], ([0.00087849 0.00137052 0.00222068 0.00174915 0.00245277]) 	 loss 2.643E-01 	 horizons 19.0
step 17728 	 return [0.00270528 0.01011801 0.00725831 0.0155976  0.00904925], ([0.00090506 0.00166458 0.00179179 0.00168194 0.00272622]) 	 loss 2.416E-01 	 horizons 19.0
step 17918 	 return [0.00429173 0.01016154 0.00888725 0.01126652 0.00691403], ([0.00096335 0.00129558 0.00142318 0.00193395 0.0012685 ]) 	 loss 2.567E-01 	 horizons 19.0
step 18108 	 return [0.0042999  0.00946376 0.00819274 0.0083144  0.00771443], ([0.00168616 0.00262289 0.00143748 0.00199617 0.00160903]) 	 loss 2.565E-01 	 horizons 19.0
step 18298 	 return [0.0051711  0.01040702 0.00924762 0.00845637 0.00725237], ([0.00121635 0.00094255 0.00142593 0.00101157 0.0015196 ]) 	 loss 2.616E-01 	 horizons 19.0
step 18488 	 return [0.00223087 0.00975685 0.00920203 0.00562713 0.00623453], ([0.00189106 0.00338791 0.00168216 0.00318453 0.00266567]) 	 loss 2.612E-01 	 horizons 19.0
step 18678 	 return [0.00341037 0.01070301 0.00813163 0.00840158 0.00754764], ([0.00146917 0.00236132 0.00191847 0.00249279 0.00197295]) 	 loss 2.506E-01 	 horizons 19.0
step 18868 	 return [0.00672669 0.00936518 0.00880983 0.00813478 0.00644541], ([0.00165672 0.00271718 0.00088697 0.00213168 0.00144252]) 	 loss 2.363E-01 	 horizons 19.0
step 19058 	 return [0.00179653 0.01116965 0.00792231 0.01467373 0.00819689], ([0.0014458  0.00176252 0.0016158  0.00194064 0.00299605]) 	 loss 2.290E-01 	 horizons 19.0
step 19248 	 return [0.00369891 0.01174504 0.0096707  0.00771194 0.00846276], ([0.00064854 0.00103562 0.00109334 0.001071   0.00184933]) 	 loss 2.481E-01 	 horizons 19.0
step 19438 	 return [0.00422278 0.01007213 0.01010865 0.00692024 0.00730452], ([0.00160369 0.00256678 0.00107662 0.00180686 0.0024427 ]) 	 loss 2.149E-01 	 horizons 19.0
step 19628 	 return [0.00478217 0.01103815 0.00966918 0.00799947 0.00768281], ([0.00057872 0.00127147 0.00105401 0.00121786 0.00166438]) 	 loss 2.213E-01 	 horizons 19.0
step 19818 	 return [0.00472402 0.01084466 0.00974609 0.00913994 0.00735478], ([0.00076305 0.00129362 0.00148955 0.00035503 0.00057599]) 	 loss 2.129E-01 	 horizons 19.0
step 20008 	 return [0.00469343 0.0110235  0.00923717 0.00898074 0.00747866], ([0.00110801 0.00053156 0.00147814 0.00048876 0.00092815]) 	 loss 1.989E-01 	 horizons 19.0
step 20198 	 return [0.00540228 0.01050961 0.00914018 0.0081373  0.00880704], ([0.00073761 0.001069   0.00080922 0.00091856 0.001066  ]) 	 loss 2.037E-01 	 horizons 19.0
step 20388 	 return [0.00712157 0.00891753 0.00869829 0.00864463 0.00700363], ([0.00095802 0.00067915 0.00065116 0.00054581 0.00032306]) 	 loss 2.048E-01 	 horizons 19.0
step 20578 	 return [0.00525401 0.01004705 0.00962396 0.00870631 0.00690119], ([0.00038327 0.00067335 0.00105201 0.00058453 0.00017009]) 	 loss 1.842E-01 	 horizons 19.0
step 20768 	 return [0.00411784 0.01221396 0.01039198 0.00886477 0.0074005 ], ([0.00064611 0.00104573 0.00101211 0.00050089 0.00091119]) 	 loss 1.884E-01 	 horizons 19.0
step 20958 	 return [0.00428717 0.01094954 0.00972085 0.00931461 0.00777655], ([0.00071393 0.00111356 0.00125144 0.0005055  0.00073281]) 	 loss 1.611E-01 	 horizons 19.0
step 21148 	 return [0.00460339 0.00958649 0.00840319 0.01158596 0.00790673], ([0.00087487 0.00128226 0.00105917 0.00150206 0.00108964]) 	 loss 1.800E-01 	 horizons 19.0
step 21338 	 return [0.00455603 0.00991843 0.00913557 0.00829073 0.00755759], ([0.00140468 0.00109538 0.00093594 0.00131404 0.00145645]) 	 loss 1.928E-01 	 horizons 19.0
step 21528 	 return [0.00561501 0.00988556 0.00881704 0.00907275 0.00732017], ([0.00068409 0.00121646 0.00097795 0.00040797 0.00063861]) 	 loss 1.956E-01 	 horizons 19.0
step 21718 	 return [0.00514974 0.01029657 0.00947372 0.0090258  0.00762618], ([0.00056722 0.00059204 0.00143632 0.00080732 0.0008635 ]) 	 loss 2.032E-01 	 horizons 19.0
step 21908 	 return [0.0044244  0.01078967 0.00912791 0.00964506 0.00660699], ([0.00098071 0.00080274 0.00103915 0.00120684 0.0016246 ]) 	 loss 1.778E-01 	 horizons 19.0
step 22098 	 return [0.00476795 0.01098836 0.00958772 0.00929288 0.00745777], ([0.00067074 0.00071537 0.00110464 0.00058658 0.00072531]) 	 loss 1.809E-01 	 horizons 19.0
step 22288 	 return [0.00604792 0.01047263 0.00879841 0.00947288 0.00748072], ([0.00060936 0.0011597  0.00059415 0.00057461 0.00064991]) 	 loss 1.699E-01 	 horizons 19.0
step 22478 	 return [0.00552108 0.01015471 0.00841522 0.01040917 0.00726298], ([0.00073196 0.00059023 0.000562   0.00098207 0.00033347]) 	 loss 1.533E-01 	 horizons 19.0
step 22668 	 return [0.00514761 0.0114811  0.00946057 0.00911087 0.00732332], ([0.00016504 0.00132894 0.00118081 0.00033979 0.00057494]) 	 loss 1.547E-01 	 horizons 19.0
step 22858 	 return [0.00542127 0.01162335 0.00876432 0.00917218 0.00795641], ([0.00038858 0.00065089 0.00085254 0.00047578 0.00090834]) 	 loss 1.460E-01 	 horizons 19.0
step 23048 	 return [0.00528531 0.00988746 0.0088557  0.00979054 0.00712382], ([0.00059246 0.00083821 0.00086783 0.00049551 0.00017355]) 	 loss 1.421E-01 	 horizons 19.0
step 23238 	 return [0.00661719 0.01151001 0.00937216 0.00894126 0.00694075], ([5.5839389e-04 7.5147499e-04 3.5439897e-04 6.8394431e-05 1.0650568e-04]) 	 loss 1.285E-01 	 horizons 19.0
step 23428 	 return [0.00587128 0.00952062 0.00883932 0.00912093 0.00740088], ([0.00067426 0.00039479 0.00072457 0.0005134  0.00063862]) 	 loss 1.410E-01 	 horizons 19.0
step 23618 	 return [0.00462433 0.01367613 0.01073856 0.00919382 0.00716859], ([6.1124493e-04 8.3075842e-04 9.6419733e-04 9.3932656e-05 4.8680219e-04]) 	 loss 1.426E-01 	 horizons 19.0
step 23808 	 return [0.00376184 0.01287121 0.00896313 0.00958138 0.00750231], ([0.00090445 0.00102962 0.00119551 0.00092506 0.00079922]) 	 loss 1.552E-01 	 horizons 19.0
step 23998 	 return [0.00489304 0.01002337 0.01002877 0.00777634 0.00758857], ([0.00041679 0.00056805 0.00084634 0.00120179 0.00156831]) 	 loss 1.251E-01 	 horizons 19.0
step 24188 	 return [0.00588628 0.01121469 0.0091844  0.00894385 0.0074969 ], ([7.0255372e-04 1.0311992e-03 6.5084721e-04 7.4850017e-05 7.2236493e-04]) 	 loss 1.401E-01 	 horizons 19.0
