step 9360 	 return [0.         0.00418215 0.00615053], ([0.         0.00031193 0.00037369]) 	 loss 1.774E-01 	 horizons 9.0
step 9450 	 return [0.         0.00424585 0.00582657], ([0.         0.00041725 0.00038418]) 	 loss 1.395E-01 	 horizons 9.0
step 9540 	 return [0.         0.00494908 0.00528779], ([0.0000000e+00 7.4182180e-06 2.7297207e-04]) 	 loss 1.445E-01 	 horizons 9.0
step 9630 	 return [0.         0.00423067 0.00590144], ([0.         0.00042268 0.00045724]) 	 loss 1.519E-01 	 horizons 9.0
step 9720 	 return [0.00043364 0.00353021 0.00417186], ([0.0005311  0.00029672 0.00081166]) 	 loss 1.378E-01 	 horizons 9.0
step 9810 	 return [0.         0.00396786 0.00638313], ([0.0000000e+00 2.3743264e-04 7.4282289e-06]) 	 loss 1.545E-01 	 horizons 9.0
step 9900 	 return [0.00109344 0.00324639 0.00321459], ([1.8664310e-05 1.4417506e-04 5.1710664e-05]) 	 loss 1.374E-01 	 horizons 9.0
step 9990 	 return [0.00100369 0.00315542 0.00316206], ([3.3521408e-04 2.8226303e-04 6.2372019e-05]) 	 loss 1.166E-01 	 horizons 9.0
step 10080 	 return [0.00333306 0.00210185 0.00095281], ([1.7717994e-04 5.9212485e-05 1.2605797e-04]) 	 loss 1.060E-01 	 horizons 9.0
step 10170 	 return [0.00355463 0.00203704 0.00104251], ([0.0003941  0.00027027 0.00014213]) 	 loss 1.093E-01 	 horizons 9.0
step 10260 	 return [0.         0.0041237  0.00620805], ([0.         0.000477   0.00034651]) 	 loss 1.295E-01 	 horizons 9.0
step 10350 	 return [0.00010841 0.00379544 0.0045043 ], ([0.00032523 0.00031362 0.00075332]) 	 loss 1.006E-01 	 horizons 9.0
step 10440 	 return [0.00318127 0.00281442 0.00092153], ([0.00036978 0.00021313 0.00011591]) 	 loss 1.151E-01 	 horizons 9.0
step 10530 	 return [0.         0.00465177 0.00549546], ([0.0000000e+00 4.8919191e-04 2.7194657e-05]) 	 loss 1.194E-01 	 horizons 9.0
step 10620 	 return [0.00388121 0.00219283 0.00109404], ([0.00049226 0.00033329 0.00016672]) 	 loss 1.051E-01 	 horizons 9.0
step 10710 	 return [0.         0.00387289 0.00638016], ([0.0000000e+00 2.1761062e-04 6.8080840e-06]) 	 loss 9.137E-02 	 horizons 9.0
step 10800 	 return [0.00348375 0.00229943 0.00111694], ([0.00050654 0.00028752 0.00013122]) 	 loss 1.018E-01 	 horizons 9.0
step 10890 	 return [0.00055101 0.00346099 0.00347491], ([0.00055123 0.00036768 0.00039661]) 	 loss 1.003E-01 	 horizons 9.0
step 10980 	 return [0.00393073 0.00224732 0.00116642], ([5.2112160e-04 4.1808910e-04 8.2033046e-05]) 	 loss 1.016E-01 	 horizons 9.0
step 11070 	 return [0.00345614 0.00293523 0.00107435], ([0.00048995 0.00022431 0.00014698]) 	 loss 9.971E-02 	 horizons 9.0
step 11160 	 return [0.0011121  0.00310221 0.00316288], ([2.2859016e-05 1.7657767e-04 6.3332373e-05]) 	 loss 9.948E-02 	 horizons 9.0
step 11250 	 return [0.00318484 0.00323969 0.00112284], ([0.0004223  0.00037599 0.00013575]) 	 loss 8.347E-02 	 horizons 9.0
step 11340 	 return [0.         0.00446949 0.0060389 ], ([0.         0.00044229 0.00042768]) 	 loss 8.796E-02 	 horizons 9.0
step 11430 	 return [0.00385028 0.00269677 0.00121247], ([4.1048895e-04 3.8332978e-04 1.4219911e-05]) 	 loss 7.202E-02 	 horizons 9.0
step 11520 	 return [0.00108411 0.00331848 0.00324044], ([0.0000000e+00 0.0000000e+00 2.3283064e-10]) 	 loss 6.725E-02 	 horizons 9.0
step 11610 	 return [0.00112853 0.00284432 0.00361088], ([1.8258676e-06 9.2850569e-05 4.0801271e-04]) 	 loss 7.153E-02 	 horizons 9.0
step 11700 	 return [0.00108411 0.00331848 0.00324044], ([0.0000000e+00 0.0000000e+00 2.3283064e-10]) 	 loss 7.223E-02 	 horizons 9.0
step 11790 	 return [0.         0.00495514 0.00551067], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 5.358E-02 	 horizons 9.0
step 11880 	 return [0.         0.00481692 0.00568843], ([0.         0.00030609 0.00035107]) 	 loss 5.491E-02 	 horizons 9.0
step 11970 	 return [0.00373756 0.00282952 0.0011881 ], ([3.7800954e-04 3.3964714e-04 8.8787681e-05]) 	 loss 5.296E-02 	 horizons 9.0
step 12060 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 5.728E-02 	 horizons 9.0
step 12150 	 return [0.         0.00496688 0.00551246], ([0.0000000e+00 1.4387483e-05 2.1886456e-06]) 	 loss 4.133E-02 	 horizons 9.0
step 12240 	 return [0.         0.00482573 0.00568977], ([0.         0.00031034 0.00035039]) 	 loss 4.505E-02 	 horizons 9.0
step 12330 	 return [0.00363171 0.00308852 0.00116645], ([3.8341936e-04 1.6948208e-05 1.2045854e-04]) 	 loss 3.406E-02 	 horizons 9.0
step 12420 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 4.025E-02 	 horizons 9.0
step 12510 	 return [0.         0.0042223  0.00629704], ([0.0000000e+00 5.1025534e-05 2.8055091e-04]) 	 loss 2.310E-02 	 horizons 9.0
step 12600 	 return [0.00406874 0.00237626 0.0012022 ], ([4.2300936e-04 2.4237743e-04 8.3354535e-06]) 	 loss 2.424E-02 	 horizons 9.0
step 12690 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 1.479E-02 	 horizons 9.0
step 12780 	 return [0.00352355 0.00300412 0.00122389], ([2.5066332e-04 2.2778347e-04 8.3489340e-06]) 	 loss 1.436E-02 	 horizons 9.0
step 12870 	 return [0.00296612 0.00364063 0.00102098], ([0.0010487  0.00064722 0.00036594]) 	 loss 1.411E-02 	 horizons 9.0
step 12960 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 5.038E-02 	 horizons 9.0
step 13050 	 return [0.         0.00443906 0.00612793], ([0.         0.00035708 0.00040117]) 	 loss 3.626E-02 	 horizons 9.0
step 13140 	 return [0.         0.00459348 0.00589734], ([0.         0.00039104 0.00041319]) 	 loss 2.918E-02 	 horizons 9.0
step 13230 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 2.304E-02 	 horizons 9.0
step 13320 	 return [0.00362689 0.00301221 0.00119407], ([3.5643321e-04 2.3087228e-04 8.9910645e-05]) 	 loss 1.337E-02 	 horizons 9.0
step 13410 	 return [0.         0.00490658 0.00560268], ([0.         0.00023376 0.00026263]) 	 loss 2.334E-02 	 horizons 9.0
step 13500 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 1.380E-02 	 horizons 9.0
step 13590 	 return [0.00380256 0.00293859 0.00116103], ([0.00043827 0.00030933 0.00011825]) 	 loss 9.298E-03 	 horizons 9.0
step 13680 	 return [0.         0.00428322 0.00630302], ([0.         0.00023376 0.00026263]) 	 loss 2.905E-02 	 horizons 9.0
step 13770 	 return [0.00386086 0.00311602 0.00110736], ([4.6959100e-04 2.0466827e-05 1.4794874e-04]) 	 loss 2.278E-02 	 horizons 9.0
step 13860 	 return [0.00395496 0.00313621 0.00102909], ([4.8105529e-04 4.5562178e-05 1.7052634e-04]) 	 loss 3.229E-02 	 horizons 9.0
step 13950 	 return [0.         0.00498157 0.00551469], ([0.0000000e+00 8.8104980e-06 1.3402663e-06]) 	 loss 3.373E-02 	 horizons 9.0
step 14040 	 return [0.         0.00415781 0.00638907], ([0.000000e+00 1.424596e-04 4.456938e-06]) 	 loss 2.944E-02 	 horizons 9.0
step 14130 	 return [0.00367143 0.0031309  0.00107514], ([3.8801649e-04 8.1803155e-05 3.6951742e-04]) 	 loss 2.154E-02 	 horizons 9.0
step 14220 	 return [0.         0.00489153 0.00535973], ([0.         0.00027891 0.00046623]) 	 loss 2.479E-02 	 horizons 9.0
step 14310 	 return [0.00328146 0.00384783 0.00099898], ([0.00078155 0.00029852 0.00012662]) 	 loss 3.614E-02 	 horizons 9.0
step 14400 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 5.245E-02 	 horizons 9.0
step 14490 	 return [0.00374896 0.00302981 0.00116482], ([0.00041682 0.00023692 0.00011965]) 	 loss 2.588E-02 	 horizons 9.0
step 14580 	 return [0.00335296 0.00388268 0.00092405], ([5.9546391e-04 2.2228460e-05 3.9170915e-05]) 	 loss 3.225E-02 	 horizons 9.0
step 14670 	 return [0.00106147 0.0050147  0.00087655], ([0.00026999 0.00066053 0.00029232]) 	 loss 3.684E-02 	 horizons 9.0
step 14760 	 return [0.         0.00420529 0.00639056], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 9.770E-02 	 horizons 9.0
step 14850 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 3.894E-02 	 horizons 9.0
step 14940 	 return [0.00110601 0.00377489 0.00236158], ([0.00019933 0.00068141 0.00107945]) 	 loss 2.870E-02 	 horizons 9.0
step 15030 	 return [0.00113733 0.00269508 0.00338471], ([6.0735394e-05 6.8428472e-04 9.8987599e-04]) 	 loss 3.281E-02 	 horizons 9.0
step 15120 	 return [0.00108411 0.00331848 0.00324044], ([0.0000000e+00 0.0000000e+00 2.3283064e-10]) 	 loss 3.678E-02 	 horizons 9.0
step 15210 	 return [0.00112779 0.00280641 0.00377745], ([1.4908146e-06 7.5812168e-05 3.3314101e-04]) 	 loss 3.167E-02 	 horizons 9.0
step 15300 	 return [0.0009757  0.00337168 0.00323963], ([3.2523175e-04 1.5962210e-04 2.4506587e-06]) 	 loss 3.095E-02 	 horizons 9.0
step 15390 	 return [0.0035924  0.00311202 0.00117319], ([4.7900848e-04 1.9421448e-05 1.2455987e-04]) 	 loss 3.500E-02 	 horizons 9.0
step 15480 	 return [0.         0.00428322 0.00630302], ([0.         0.00023376 0.00026263]) 	 loss 4.129E-02 	 horizons 9.0
step 15570 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 3.254E-02 	 horizons 9.0
step 15660 	 return [0.00011521 0.00417678 0.00397971], ([0.00034563 0.00031462 0.00082419]) 	 loss 2.172E-02 	 horizons 9.0
step 15750 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 4.000E-02 	 horizons 9.0
step 15840 	 return [0.         0.00436114 0.00621548], ([0.         0.00031168 0.00035017]) 	 loss 2.339E-02 	 horizons 9.0
step 15930 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.426E-02 	 horizons 9.0
step 16020 	 return [0.00103688 0.00367308 0.0032706 ], ([3.4562655e-04 3.1775000e-04 4.8754737e-05]) 	 loss 3.435E-02 	 horizons 9.0
step 16110 	 return [0.         0.00422606 0.00635984], ([0.0000000e+00 6.2307437e-05 9.2159586e-05]) 	 loss 2.749E-02 	 horizons 9.0
step 16200 	 return [0.         0.00498157 0.00551469], ([0.0000000e+00 8.8104980e-06 1.3402663e-06]) 	 loss 3.218E-02 	 horizons 9.0
step 16290 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 3.250E-02 	 horizons 9.0
step 16380 	 return [0.00366915 0.00310766 0.00116776], ([3.8341945e-04 1.6711094e-05 1.2079964e-04]) 	 loss 1.916E-02 	 horizons 9.0
step 16470 	 return [0.00369281 0.00334845 0.00108158], ([0.00037316 0.00036269 0.00014667]) 	 loss 1.807E-02 	 horizons 9.0
