step 20621 	 return [0.00698893 0.01105877 0.00839263], ([0.00072007 0.00088467 0.00170425]) 	 loss 2.859E-01 	 horizons 19.0
step 20811 	 return [0.0059471  0.01343712 0.0089127 ], ([0.00061089 0.00097624 0.00058194]) 	 loss 2.864E-01 	 horizons 19.0
step 21001 	 return [0.00684358 0.01228315 0.00776441], ([0.00032822 0.00102451 0.00148685]) 	 loss 2.959E-01 	 horizons 19.0
step 21191 	 return [0.0070596  0.01172075 0.00856686], ([0.00063235 0.00174326 0.00219461]) 	 loss 3.073E-01 	 horizons 19.0
step 21381 	 return [0.00588788 0.0126573  0.00906084], ([0.00065641 0.00109688 0.00115149]) 	 loss 2.866E-01 	 horizons 19.0
step 21571 	 return [0.00719609 0.01242851 0.00773292], ([0.00043143 0.00093578 0.0012383 ]) 	 loss 2.759E-01 	 horizons 19.0
step 21761 	 return [0.00643865 0.01007453 0.00899085], ([0.00111415 0.00094555 0.00111633]) 	 loss 3.198E-01 	 horizons 19.0
step 21951 	 return [0.00627077 0.01232811 0.00861291], ([0.00094381 0.00109054 0.00067151]) 	 loss 2.980E-01 	 horizons 19.0
step 22141 	 return [0.00715022 0.0115207  0.00759188], ([0.00086769 0.00108649 0.00088114]) 	 loss 2.858E-01 	 horizons 19.0
step 22331 	 return [0.00736235 0.01333473 0.00702512], ([0.00085287 0.00130591 0.00136665]) 	 loss 2.762E-01 	 horizons 19.0
step 22521 	 return [0.00557583 0.012531   0.00939021], ([0.00081912 0.00133614 0.00118869]) 	 loss 3.201E-01 	 horizons 19.0
step 22711 	 return [0.00595174 0.01350916 0.00771558], ([0.00088606 0.0006519  0.00093641]) 	 loss 2.932E-01 	 horizons 19.0
step 22901 	 return [0.00680596 0.01232799 0.00764239], ([0.00066058 0.00108186 0.00192616]) 	 loss 2.718E-01 	 horizons 19.0
step 23091 	 return [0.00688429 0.01174338 0.00740664], ([0.00058347 0.00120834 0.00085386]) 	 loss 2.836E-01 	 horizons 19.0
step 23281 	 return [0.00719463 0.0119649  0.00864563], ([0.00050515 0.0011833  0.00119769]) 	 loss 2.934E-01 	 horizons 19.0
