step 10506 	 return [0.00417775 0.00947456 0.00927559], ([0.00116845 0.00213117 0.0023139 ]) 	 loss 6.241E-01 	 horizons 19.0
step 10696 	 return [0.00496396 0.00929602 0.00666317], ([0.00176255 0.00272224 0.0024712 ]) 	 loss 5.768E-01 	 horizons 19.0
step 10886 	 return [0.00496457 0.00931012 0.00861469], ([0.00234965 0.00180291 0.00250967]) 	 loss 6.079E-01 	 horizons 19.0
step 11076 	 return [0.00455599 0.00865132 0.00736393], ([0.00300667 0.00225595 0.00270444]) 	 loss 5.878E-01 	 horizons 19.0
step 11266 	 return [0.00489051 0.01100347 0.00851397], ([0.00121615 0.00198093 0.00082984]) 	 loss 6.164E-01 	 horizons 19.0
step 11456 	 return [0.00481116 0.01000263 0.00846582], ([0.00107171 0.00133656 0.0014152 ]) 	 loss 5.431E-01 	 horizons 19.0
step 11646 	 return [0.00429541 0.00974928 0.00856946], ([0.00145382 0.00144668 0.00279091]) 	 loss 5.608E-01 	 horizons 19.0
step 11836 	 return [0.00554119 0.00799279 0.00683601], ([0.00129261 0.00281122 0.00266326]) 	 loss 5.512E-01 	 horizons 19.0
step 12026 	 return [0.00470879 0.00994763 0.00857988], ([0.00109221 0.0013756  0.00184603]) 	 loss 5.481E-01 	 horizons 19.0
step 12216 	 return [0.00473405 0.00978923 0.00823687], ([0.00077443 0.00208346 0.00131123]) 	 loss 5.192E-01 	 horizons 19.0
step 12406 	 return [0.00398985 0.00932497 0.01036642], ([0.00102869 0.002762   0.0017556 ]) 	 loss 5.444E-01 	 horizons 19.0
step 12596 	 return [0.00449351 0.01063817 0.00822608], ([0.00086407 0.00186679 0.00115468]) 	 loss 5.135E-01 	 horizons 19.0
step 12786 	 return [0.00569185 0.00889368 0.00652525], ([0.00124143 0.00166262 0.00213519]) 	 loss 5.312E-01 	 horizons 19.0
step 12976 	 return [0.00463585 0.00960631 0.00945769], ([0.00105319 0.0019831  0.00164199]) 	 loss 5.078E-01 	 horizons 19.0
step 13166 	 return [0.00471979 0.01004623 0.01001456], ([0.00099976 0.00166794 0.00191769]) 	 loss 4.876E-01 	 horizons 19.0
step 13356 	 return [0.00602527 0.00972712 0.00715624], ([0.00130916 0.00271336 0.0021818 ]) 	 loss 4.954E-01 	 horizons 19.0
step 13546 	 return [0.00360449 0.01173773 0.00878807], ([0.00155916 0.00145009 0.001039  ]) 	 loss 4.853E-01 	 horizons 19.0
step 13736 	 return [0.00469751 0.01039797 0.00959224], ([0.00066339 0.00204736 0.00176088]) 	 loss 4.755E-01 	 horizons 19.0
step 13926 	 return [0.00544039 0.01066063 0.00846214], ([0.00124202 0.00126338 0.00161538]) 	 loss 4.487E-01 	 horizons 19.0
step 14116 	 return [0.00434944 0.01017286 0.00987144], ([0.00159371 0.0014897  0.00158667]) 	 loss 4.131E-01 	 horizons 19.0
step 14306 	 return [0.00446308 0.01062613 0.00909749], ([0.00089026 0.00196021 0.00178335]) 	 loss 4.435E-01 	 horizons 19.0
step 14496 	 return [0.00607141 0.0094665  0.00783319], ([0.00147088 0.0014569  0.00163048]) 	 loss 4.078E-01 	 horizons 19.0
step 14686 	 return [0.00480381 0.01001748 0.00959698], ([0.0013348  0.0015479  0.00228786]) 	 loss 4.250E-01 	 horizons 19.0
step 14876 	 return [0.00559013 0.00963126 0.00941387], ([0.00090892 0.00187096 0.00216266]) 	 loss 3.988E-01 	 horizons 19.0
step 15066 	 return [0.00412097 0.01063046 0.00991196], ([0.00106146 0.00190011 0.00163506]) 	 loss 3.998E-01 	 horizons 19.0
step 15256 	 return [0.00536672 0.01079945 0.00837154], ([0.00092214 0.00122116 0.00130342]) 	 loss 4.189E-01 	 horizons 19.0
step 15446 	 return [0.00483973 0.01102296 0.00964442], ([0.00078188 0.00145729 0.00124732]) 	 loss 3.891E-01 	 horizons 19.0
