step 16381 	 return [0.00686957 0.01080664 0.01162225], ([0.00078038 0.0012075  0.00102281]) 	 loss 3.522E-01 	 horizons 19.0
step 16571 	 return [0.00718626 0.01105012 0.01126157], ([0.00085104 0.001536   0.00163026]) 	 loss 3.382E-01 	 horizons 19.0
step 16761 	 return [0.00727762 0.01226222 0.01036022], ([0.0007877  0.00121403 0.00146365]) 	 loss 3.305E-01 	 horizons 19.0
step 16951 	 return [0.00768044 0.01223441 0.01086447], ([0.00101457 0.00161851 0.00191769]) 	 loss 3.114E-01 	 horizons 19.0
step 17141 	 return [0.00721252 0.01072581 0.011501  ], ([0.00092122 0.0008859  0.00118975]) 	 loss 3.222E-01 	 horizons 19.0
step 17331 	 return [0.00760563 0.01179675 0.01016102], ([0.00128965 0.00209889 0.00174546]) 	 loss 2.944E-01 	 horizons 19.0
step 17521 	 return [0.0071844  0.01185728 0.01079382], ([0.00143885 0.00199982 0.00231973]) 	 loss 2.916E-01 	 horizons 19.0
step 17711 	 return [0.00672976 0.0108853  0.01110411], ([0.00115714 0.00145726 0.00134551]) 	 loss 3.036E-01 	 horizons 19.0
step 17901 	 return [0.00706079 0.01114466 0.01122101], ([0.00080423 0.00103471 0.00129722]) 	 loss 2.919E-01 	 horizons 19.0
step 18091 	 return [0.00747286 0.01051873 0.01153198], ([0.00137694 0.00127896 0.00183665]) 	 loss 3.106E-01 	 horizons 19.0
step 18281 	 return [0.00726574 0.01004292 0.01172838], ([0.00120382 0.00169468 0.00172582]) 	 loss 2.779E-01 	 horizons 19.0
step 18471 	 return [0.0078516  0.0114097  0.00959972], ([0.00057462 0.00073369 0.00112593]) 	 loss 2.831E-01 	 horizons 19.0
step 18661 	 return [0.00780038 0.01141769 0.01053976], ([0.00090824 0.0015153  0.00155517]) 	 loss 2.599E-01 	 horizons 19.0
step 18851 	 return [0.00757674 0.01048742 0.01198115], ([0.00080741 0.00079253 0.00084614]) 	 loss 2.495E-01 	 horizons 19.0
step 19041 	 return [0.00845455 0.01275757 0.00984551], ([0.00122463 0.00150947 0.00195929]) 	 loss 2.528E-01 	 horizons 19.0
step 19231 	 return [0.00756435 0.01202647 0.01069119], ([0.00111365 0.00164976 0.00166118]) 	 loss 2.451E-01 	 horizons 19.0
step 19421 	 return [0.00813409 0.01284407 0.00951349], ([0.00113176 0.00233661 0.00176833]) 	 loss 2.330E-01 	 horizons 19.0
step 19611 	 return [0.00795841 0.0099305  0.01229772], ([0.00048331 0.00056069 0.00107026]) 	 loss 2.525E-01 	 horizons 19.0
step 19801 	 return [0.00765493 0.01043403 0.01214711], ([0.00093813 0.00095241 0.00121211]) 	 loss 2.544E-01 	 horizons 19.0
step 19991 	 return [0.00808156 0.01015689 0.01244616], ([0.0007517  0.00111783 0.0007693 ]) 	 loss 2.480E-01 	 horizons 19.0
step 20181 	 return [0.00805767 0.01186615 0.01064479], ([0.00103761 0.00086432 0.00102301]) 	 loss 2.459E-01 	 horizons 19.0
step 20371 	 return [0.00829809 0.01040233 0.01189804], ([0.00069624 0.00082681 0.00142919]) 	 loss 2.153E-01 	 horizons 19.0
step 20561 	 return [0.00849355 0.01201044 0.0101205 ], ([0.00135642 0.00225438 0.00213833]) 	 loss 1.990E-01 	 horizons 19.0
step 20751 	 return [0.00843616 0.01001807 0.01227944], ([0.00039761 0.00029806 0.0010179 ]) 	 loss 1.870E-01 	 horizons 19.0
step 20941 	 return [0.00794775 0.01107633 0.01115245], ([0.00080078 0.00112191 0.00183351]) 	 loss 1.654E-01 	 horizons 19.0
step 21131 	 return [0.00793396 0.01009403 0.01295738], ([0.00130147 0.00057821 0.00040383]) 	 loss 1.679E-01 	 horizons 19.0
step 21321 	 return [0.00843656 0.01017766 0.01227254], ([0.00036799 0.00148984 0.0016087 ]) 	 loss 1.819E-01 	 horizons 19.0
step 21511 	 return [0.00800426 0.01002066 0.0121202 ], ([0.00049838 0.00073944 0.00121873]) 	 loss 1.792E-01 	 horizons 19.0
step 21701 	 return [0.00871257 0.0100075  0.01281867], ([0.00053962 0.00041247 0.00013507]) 	 loss 1.639E-01 	 horizons 19.0
step 21891 	 return [0.00859025 0.01276252 0.00905264], ([0.00056896 0.00084344 0.00084256]) 	 loss 1.576E-01 	 horizons 19.0
step 22081 	 return [0.00861269 0.01102354 0.01139995], ([0.00063414 0.0011562  0.00140497]) 	 loss 1.580E-01 	 horizons 19.0
step 22271 	 return [0.00814772 0.01223931 0.00926007], ([0.00081919 0.00088984 0.00069046]) 	 loss 1.693E-01 	 horizons 19.0
step 22461 	 return [0.00840296 0.01000684 0.01289212], ([0.00033822 0.00059593 0.00014614]) 	 loss 1.679E-01 	 horizons 19.0
step 22651 	 return [0.00905817 0.01198861 0.01027557], ([0.00044163 0.00098842 0.00093427]) 	 loss 1.424E-01 	 horizons 19.0
step 22841 	 return [0.00832638 0.00989933 0.01270333], ([0.00035419 0.00014468 0.0001798 ]) 	 loss 1.547E-01 	 horizons 19.0
step 23031 	 return [0.00820786 0.00988084 0.01277544], ([0.00030578 0.00013144 0.00012937]) 	 loss 1.283E-01 	 horizons 19.0
step 23221 	 return [0.00832861 0.01004814 0.01293409], ([0.00060327 0.00107935 0.00032465]) 	 loss 1.154E-01 	 horizons 19.0
step 23411 	 return [0.00829087 0.00978291 0.01274872], ([0.0003027  0.00029327 0.00017834]) 	 loss 1.187E-01 	 horizons 19.0
