step 21183 	 return [0.00690706 0.01141511 0.01123517], ([0.00121771 0.00146508 0.00093172]) 	 loss 3.248E-01 	 horizons 19.0
step 21373 	 return [0.00731954 0.01376057 0.00960978], ([0.00037271 0.00057838 0.00086556]) 	 loss 3.350E-01 	 horizons 19.0
step 21563 	 return [0.00859922 0.01283011 0.01044918], ([0.00107673 0.00090127 0.00196183]) 	 loss 2.909E-01 	 horizons 19.0
step 21753 	 return [0.00805409 0.0128114  0.01024967], ([0.00147335 0.00085753 0.00152341]) 	 loss 2.971E-01 	 horizons 19.0
step 21943 	 return [0.00749556 0.01271706 0.01100664], ([0.00044039 0.00139321 0.00100271]) 	 loss 2.910E-01 	 horizons 19.0
step 22133 	 return [0.00723918 0.01146539 0.01233116], ([0.00063254 0.00169836 0.00083464]) 	 loss 3.091E-01 	 horizons 19.0
step 22323 	 return [0.00664072 0.01327959 0.01158603], ([0.00082806 0.00083116 0.00122906]) 	 loss 2.800E-01 	 horizons 19.0
step 22513 	 return [0.00724251 0.01268754 0.0109253 ], ([0.00066857 0.00070803 0.0014841 ]) 	 loss 2.760E-01 	 horizons 19.0
step 22703 	 return [0.0084769  0.01184996 0.01134383], ([0.00058214 0.00147477 0.00115046]) 	 loss 2.616E-01 	 horizons 19.0
step 22893 	 return [0.00828028 0.01187246 0.01208378], ([0.0011978  0.0011855  0.00077699]) 	 loss 2.582E-01 	 horizons 19.0
step 23083 	 return [0.00765104 0.01297045 0.01097748], ([0.00050685 0.00122291 0.00069364]) 	 loss 2.613E-01 	 horizons 19.0
step 23273 	 return [0.00934359 0.01194407 0.01216682], ([0.00058124 0.00084783 0.00111507]) 	 loss 2.630E-01 	 horizons 19.0
step 23463 	 return [0.00725442 0.0130524  0.0117518 ], ([0.00017035 0.00088803 0.00085391]) 	 loss 2.585E-01 	 horizons 19.0
step 23653 	 return [0.00935318 0.01170627 0.01176112], ([0.00079399 0.00052871 0.00111757]) 	 loss 2.365E-01 	 horizons 19.0
step 23843 	 return [0.00745112 0.01321456 0.01088642], ([0.00058699 0.00053668 0.00078723]) 	 loss 2.387E-01 	 horizons 19.0
step 24033 	 return [0.00935699 0.0114783  0.01193415], ([0.00052621 0.00020623 0.00120963]) 	 loss 2.337E-01 	 horizons 19.0
step 24223 	 return [0.00718675 0.01259657 0.01134522], ([0.00066848 0.00052319 0.00116133]) 	 loss 2.152E-01 	 horizons 19.0
step 24413 	 return [0.00882767 0.01248514 0.01135332], ([0.00081414 0.00134276 0.00112533]) 	 loss 2.101E-01 	 horizons 19.0
step 24603 	 return [0.00929275 0.01226682 0.01110785], ([0.00059727 0.00096882 0.00077834]) 	 loss 2.125E-01 	 horizons 19.0
step 24793 	 return [0.00765503 0.01090547 0.01298836], ([0.00090502 0.0012345  0.00081927]) 	 loss 2.024E-01 	 horizons 19.0
step 24983 	 return [0.00852066 0.01135457 0.0132872 ], ([0.00085479 0.00061251 0.001061  ]) 	 loss 2.059E-01 	 horizons 19.0
