step 8258 	 return [0.00664187 0.00608272 0.00761414 0.00631399 0.00298779], ([0.00158531 0.00202651 0.00281584 0.00351993 0.00323281]) 	 loss 6.970E-01 	 horizons 19.0
step 8448 	 return [0.00645615 0.00504714 0.00771586 0.0051261  0.00471534], ([0.00174552 0.00218434 0.00234724 0.00271268 0.00355912]) 	 loss 6.702E-01 	 horizons 19.0
step 8638 	 return [0.00211114 0.01026011 0.00726819 0.00963029 0.00612764], ([0.00130416 0.00238018 0.00292117 0.00420859 0.0026879 ]) 	 loss 6.589E-01 	 horizons 19.0
step 8828 	 return [0.00101363 0.00878394 0.00559196 0.00879557 0.00519636], ([0.00130828 0.00341678 0.0017695  0.00417768 0.00103386]) 	 loss 6.515E-01 	 horizons 19.0
step 9018 	 return [0.00469187 0.00412415 0.01123834 0.00799279 0.00729675], ([0.00129853 0.0020464  0.00212249 0.00284091 0.00345048]) 	 loss 6.520E-01 	 horizons 19.0
step 9208 	 return [0.00440434 0.00499075 0.00983209 0.00675898 0.00580219], ([0.00079543 0.00212235 0.0012431  0.00259237 0.00208105]) 	 loss 6.302E-01 	 horizons 19.0
step 9398 	 return [0.00532514 0.00474529 0.00851477 0.00775282 0.00482262], ([0.00102178 0.00266898 0.00192442 0.00297424 0.00283195]) 	 loss 6.395E-01 	 horizons 19.0
step 9588 	 return [0.00348097 0.00430693 0.00823477 0.00674194 0.00649689], ([0.00124788 0.00188542 0.00157905 0.00231333 0.00222683]) 	 loss 6.219E-01 	 horizons 19.0
step 9778 	 return [0.00544325 0.00324661 0.00856033 0.00831076 0.00508954], ([0.00066802 0.00120839 0.00136769 0.00238409 0.00141527]) 	 loss 6.208E-01 	 horizons 19.0
step 9968 	 return [0.00143808 0.00776669 0.00892348 0.00964378 0.00694546], ([0.0016076  0.00213973 0.00290859 0.00318114 0.00167096]) 	 loss 6.131E-01 	 horizons 19.0
step 10158 	 return [0.00421475 0.00548911 0.00987995 0.0085052  0.00701048], ([0.00017827 0.00229491 0.00149164 0.00208153 0.00244712]) 	 loss 6.182E-01 	 horizons 19.0
step 10348 	 return [0.00130966 0.01250031 0.00753904 0.00996763 0.00530362], ([0.00124965 0.00232643 0.00155673 0.00200455 0.00102555]) 	 loss 5.896E-01 	 horizons 19.0
step 10538 	 return [0.00051991 0.00996991 0.00797543 0.01193725 0.00669173], ([0.00103997 0.00250606 0.00252486 0.00374742 0.00277435]) 	 loss 6.266E-01 	 horizons 19.0
step 10728 	 return [0.00405287 0.00385306 0.010279   0.00930314 0.00668527], ([0.00081181 0.00194115 0.00223971 0.00247186 0.00288154]) 	 loss 5.906E-01 	 horizons 19.0
step 10918 	 return [0.00595606 0.00316815 0.00951807 0.0086363  0.00582419], ([0.00077798 0.00124624 0.00122883 0.00312214 0.00257925]) 	 loss 5.958E-01 	 horizons 19.0
step 11108 	 return [0.00466142 0.00754692 0.0078631  0.00904372 0.00653694], ([0.00107493 0.00175934 0.00235653 0.00201493 0.00184964]) 	 loss 5.500E-01 	 horizons 19.0
step 11298 	 return [0.00018817 0.01175267 0.00845738 0.0119509  0.0056473 ], ([0.00024362 0.00267135 0.00128705 0.00230522 0.00197067]) 	 loss 5.636E-01 	 horizons 19.0
step 11488 	 return [0.00493805 0.00375176 0.01147055 0.00808265 0.0077911 ], ([0.00078666 0.00209505 0.00210583 0.00160508 0.00336276]) 	 loss 5.658E-01 	 horizons 19.0
step 11678 	 return [0.00323596 0.00856331 0.00667857 0.00986127 0.00522483], ([0.00050734 0.00167381 0.00142725 0.00284756 0.00168651]) 	 loss 5.748E-01 	 horizons 19.0
step 11868 	 return [0.00436158 0.00425094 0.01150002 0.0103828  0.00894665], ([0.00019703 0.00225913 0.00243134 0.00175208 0.00195186]) 	 loss 5.477E-01 	 horizons 19.0
step 12058 	 return [0.00302795 0.00801036 0.01016852 0.00982501 0.00775376], ([0.00071797 0.00164047 0.0010404  0.0014724  0.00239028]) 	 loss 5.171E-01 	 horizons 19.0
step 12248 	 return [0.00270277 0.00992529 0.00812257 0.01096802 0.00667778], ([0.00099824 0.00174517 0.0012852  0.00331375 0.00235315]) 	 loss 5.140E-01 	 horizons 19.0
step 12438 	 return [0.00415934 0.00742704 0.00886052 0.01150347 0.00688299], ([0.00065247 0.00196053 0.00231007 0.00407463 0.00198593]) 	 loss 4.813E-01 	 horizons 19.0
step 12628 	 return [0.         0.00774146 0.01134592 0.00910829 0.00860854], ([0.         0.00264964 0.00092421 0.00212288 0.00191434]) 	 loss 4.920E-01 	 horizons 19.0
step 12818 	 return [0.00286649 0.01341089 0.00696559 0.01256551 0.00606957], ([0.00098173 0.00312906 0.00211631 0.00341254 0.00216185]) 	 loss 4.801E-01 	 horizons 19.0
step 13008 	 return [0.00325982 0.01166134 0.00758386 0.01380345 0.00727769], ([0.00034773 0.00176866 0.00164937 0.0018592  0.00205704]) 	 loss 4.680E-01 	 horizons 19.0
step 13198 	 return [0.00393828 0.0082607  0.00793258 0.00956437 0.007617  ], ([0.00036114 0.00063615 0.0019268  0.00185288 0.00196269]) 	 loss 4.510E-01 	 horizons 19.0
step 13388 	 return [0.00567523 0.00477044 0.00948892 0.01044157 0.00626357], ([0.00043185 0.00195934 0.00104621 0.00141232 0.00198793]) 	 loss 4.439E-01 	 horizons 19.0
step 13578 	 return [0.00416588 0.0073686  0.01143167 0.01127728 0.00944412], ([0.00037238 0.00211039 0.00086245 0.00169385 0.00144514]) 	 loss 4.278E-01 	 horizons 19.0
step 13768 	 return [0.00634475 0.00380101 0.00930214 0.00633985 0.00687231], ([0.00067462 0.00183575 0.00204025 0.00248386 0.00261521]) 	 loss 4.123E-01 	 horizons 19.0
step 13958 	 return [0.         0.00996753 0.00848736 0.01056186 0.00756784], ([0.         0.00254704 0.00183691 0.00297898 0.00200444]) 	 loss 4.405E-01 	 horizons 19.0
step 14148 	 return [0.00439484 0.00786284 0.01114545 0.01191396 0.00667393], ([0.00035498 0.00217972 0.00130387 0.00185998 0.00249555]) 	 loss 4.074E-01 	 horizons 19.0
step 14338 	 return [0.00393375 0.00705618 0.01163401 0.01106285 0.00897483], ([0.00053407 0.00148433 0.00096914 0.00316138 0.00118165]) 	 loss 3.679E-01 	 horizons 19.0
step 14528 	 return [0.00635815 0.00448605 0.00923262 0.00809948 0.00581126], ([0.00044023 0.0019432  0.00206629 0.00201001 0.00149555]) 	 loss 4.015E-01 	 horizons 19.0
step 14718 	 return [0.00515817 0.00348823 0.01250909 0.0087713  0.009345  ], ([0.00067004 0.00172171 0.00186037 0.00125486 0.00113355]) 	 loss 4.054E-01 	 horizons 19.0
