step 7380 	 return [0.00396091 0.00437211 0.00090841 0.0010225  0.        ], ([0.00055373 0.00136203 0.00058568 0.00034675 0.        ]) 	 loss 1.415E-01 	 horizons 9.0
step 7470 	 return [0.         0.         0.00566155 0.00524537 0.00754242], ([0.         0.         0.00091358 0.0003118  0.00041019]) 	 loss 1.580E-01 	 horizons 9.0
step 7560 	 return [0.         0.00765658 0.00713027 0.00084028 0.        ], ([0.         0.00091637 0.00070447 0.00044525 0.        ]) 	 loss 1.379E-01 	 horizons 9.0
step 7650 	 return [0.         0.         0.00613073 0.00616528 0.00515822], ([0.0000000e+00 0.0000000e+00 1.2946130e-05 3.6429171e-04 8.6329813e-04]) 	 loss 1.282E-01 	 horizons 9.0
step 7740 	 return [0.00196269 0.00613621 0.00234223 0.00106894 0.        ], ([0.00055455 0.00098825 0.00078579 0.00010748 0.        ]) 	 loss 1.365E-01 	 horizons 9.0
step 7830 	 return [0.00095797 0.0073847  0.00407647 0.00110643 0.        ], ([3.1933544e-04 4.5277117e-04 3.3609514e-04 8.0536163e-05 0.0000000e+00]) 	 loss 1.199E-01 	 horizons 9.0
step 7920 	 return [0.         0.         0.00975879 0.00461668 0.        ], ([0.         0.         0.00058976 0.00078258 0.        ]) 	 loss 1.185E-01 	 horizons 9.0
step 8010 	 return [0.         0.00620596 0.00773118 0.00092929 0.        ], ([0.         0.00063011 0.00040258 0.00024435 0.        ]) 	 loss 1.215E-01 	 horizons 9.0
step 8100 	 return [0.00197518 0.0073332  0.00202594 0.00115767 0.        ], ([0.00059285 0.00091374 0.00082278 0.00023031 0.        ]) 	 loss 1.484E-01 	 horizons 9.0
step 8190 	 return [0.         0.         0.00804871 0.00498745 0.00309894], ([0.         0.         0.00170092 0.0005408  0.00379541]) 	 loss 1.202E-01 	 horizons 9.0
step 8280 	 return [0.         0.0084505  0.00628898 0.00123914 0.        ], ([0.         0.00089587 0.0008045  0.00061292 0.        ]) 	 loss 1.121E-01 	 horizons 9.0
step 8370 	 return [0.00151713 0.00727715 0.00276129 0.0011079  0.        ], ([0.00078036 0.00079613 0.00088813 0.00016158 0.        ]) 	 loss 1.195E-01 	 horizons 9.0
step 8460 	 return [0.         0.00458006 0.01066871 0.00068852 0.        ], ([0.0000000e+00 8.7790086e-04 3.7757400e-05 4.4773341e-08 0.0000000e+00]) 	 loss 1.131E-01 	 horizons 9.0
step 8550 	 return [0.0021421  0.00693922 0.00180669 0.00110891 0.        ], ([7.1405573e-04 4.7203468e-04 5.5237499e-04 8.9923335e-05 0.0000000e+00]) 	 loss 1.043E-01 	 horizons 9.0
step 8640 	 return [0.         0.00679258 0.00926845 0.00068691 0.        ], ([0.0000000e+00 3.9007154e-04 5.5151916e-04 6.7619260e-07 0.0000000e+00]) 	 loss 1.031E-01 	 horizons 9.0
step 8730 	 return [0.0016985  0.00671394 0.00284446 0.00120632 0.        ], ([0.00079349 0.00049568 0.00109882 0.00020284 0.        ]) 	 loss 1.121E-01 	 horizons 9.0
step 8820 	 return [0.         0.00757186 0.00760156 0.00074936 0.        ], ([0.         0.00055989 0.00068431 0.00024292 0.        ]) 	 loss 1.241E-01 	 horizons 9.0
step 8910 	 return [0.         0.         0.00986743 0.00452355 0.        ], ([0.         0.         0.00080609 0.00095558 0.        ]) 	 loss 1.147E-01 	 horizons 9.0
step 9000 	 return [0.         0.         0.00446157 0.0047624  0.00808409], ([0.         0.         0.00092064 0.00092573 0.00191733]) 	 loss 1.038E-01 	 horizons 9.0
step 9090 	 return [0.00135672 0.0080371  0.00282102 0.00127401 0.        ], ([0.00073857 0.00089039 0.00071585 0.00018299 0.        ]) 	 loss 1.107E-01 	 horizons 9.0
step 9180 	 return [0.         0.         0.00390857 0.00471866 0.00914837], ([0.         0.         0.00025445 0.00078173 0.00156795]) 	 loss 1.096E-01 	 horizons 9.0
step 9270 	 return [0.00424243 0.00407485 0.00055016 0.00085961 0.        ], ([0.00081714 0.00195312 0.00028235 0.00042573 0.        ]) 	 loss 1.143E-01 	 horizons 9.0
step 9360 	 return [0.         0.00019597 0.01081305 0.00295788 0.        ], ([0.         0.00058792 0.00027511 0.00084074 0.        ]) 	 loss 1.061E-01 	 horizons 9.0
step 9450 	 return [0.00214515 0.00624631 0.00220725 0.00127457 0.        ], ([0.00072988 0.0006413  0.00054554 0.00020443 0.        ]) 	 loss 1.171E-01 	 horizons 9.0
step 9540 	 return [0.00167243 0.00642734 0.00208424 0.00106827 0.        ], ([0.00095495 0.00063463 0.00076939 0.00020229 0.        ]) 	 loss 1.379E-01 	 horizons 9.0
step 9630 	 return [0.         0.         0.00726355 0.00380339 0.0061443 ], ([0.         0.         0.00087272 0.00085187 0.00104945]) 	 loss 1.277E-01 	 horizons 9.0
step 9720 	 return [0.         0.00028175 0.01074927 0.00269804 0.        ], ([0.         0.00084524 0.00060615 0.00048151 0.        ]) 	 loss 1.289E-01 	 horizons 9.0
step 9810 	 return [0.         0.         0.00872288 0.00491449 0.00132048], ([0.         0.         0.00117875 0.00069604 0.00269014]) 	 loss 1.313E-01 	 horizons 9.0
step 9900 	 return [0.         0.00057229 0.01055487 0.00251427 0.        ], ([0.         0.00114572 0.00066868 0.00076712 0.        ]) 	 loss 1.141E-01 	 horizons 9.0
step 9990 	 return [0.         0.00056349 0.01014172 0.00359525 0.        ], ([0.         0.00112698 0.00083854 0.00044962 0.        ]) 	 loss 1.579E-01 	 horizons 9.0
step 10080 	 return [0.00319711 0.00554272 0.00130373 0.00078537 0.        ], ([0.0011878  0.00098955 0.0007696  0.00041091 0.        ]) 	 loss 1.138E-01 	 horizons 9.0
step 10170 	 return [0.         0.0011237  0.00830209 0.00381217 0.00172645], ([0.         0.00137625 0.00116942 0.00042618 0.0034529 ]) 	 loss 1.201E-01 	 horizons 9.0
step 10260 	 return [0.00315175 0.00662337 0.00037412 0.00034551 0.        ], ([1.0738965e-03 1.9197457e-03 7.4287622e-05 3.2758972e-04 0.0000000e+00]) 	 loss 1.229E-01 	 horizons 9.0
step 10350 	 return [0.00158    0.00795729 0.0025596  0.00126521 0.        ], ([0.00062315 0.00091791 0.00071646 0.0001624  0.        ]) 	 loss 1.406E-01 	 horizons 9.0
step 10440 	 return [0.         0.         0.01005431 0.00326989 0.00232421], ([0.         0.         0.0025842  0.00119128 0.00355028]) 	 loss 1.262E-01 	 horizons 9.0
step 10530 	 return [0.         0.00335454 0.0098898  0.00068712 0.        ], ([0.0000000e+00 7.5907557e-04 3.8316139e-04 7.1176333e-07 0.0000000e+00]) 	 loss 1.311E-01 	 horizons 9.0
step 10620 	 return [0.0006498  0.00617502 0.00605762 0.00079467 0.        ], ([0.0007259  0.00084104 0.00159711 0.00027268 0.        ]) 	 loss 1.133E-01 	 horizons 9.0
step 10710 	 return [0.00335251 0.00552779 0.00153141 0.00099189 0.        ], ([0.00046992 0.00045399 0.00052546 0.00013999 0.        ]) 	 loss 1.096E-01 	 horizons 9.0
step 10800 	 return [0.00325937 0.00646191 0.0010044  0.00085954 0.        ], ([0.00052825 0.00105908 0.00065281 0.00045874 0.        ]) 	 loss 1.175E-01 	 horizons 9.0
step 10890 	 return [0.         0.         0.01053096 0.00359204 0.        ], ([0.         0.         0.00038609 0.00051232 0.        ]) 	 loss 1.093E-01 	 horizons 9.0
step 10980 	 return [0.00145696 0.00770358 0.00172651 0.0006854  0.        ], ([0.00128586 0.00138529 0.00082877 0.00051284 0.        ]) 	 loss 1.006E-01 	 horizons 9.0
step 11070 	 return [0.000965   0.0068374  0.00473023 0.00104629 0.        ], ([0.00032168 0.00166151 0.00117635 0.00048877 0.        ]) 	 loss 1.091E-01 	 horizons 9.0
step 11160 	 return [0.         0.         0.01152878 0.00267626 0.        ], ([0.         0.         0.00043456 0.0003725  0.        ]) 	 loss 1.063E-01 	 horizons 9.0
step 11250 	 return [0.         0.00699589 0.00891706 0.00075289 0.        ], ([0.         0.00052983 0.00081865 0.00019875 0.        ]) 	 loss 9.780E-02 	 horizons 9.0
step 11340 	 return [0.         0.01009123 0.00439889 0.00141855 0.        ], ([0.         0.00100415 0.00020198 0.00015117 0.        ]) 	 loss 8.867E-02 	 horizons 9.0
step 11430 	 return [0.0000000e+00 3.5151774e-05 6.7961030e-03 4.8668333e-03 3.7105642e-03], ([0.         0.00010546 0.00076266 0.0021978  0.00191583]) 	 loss 1.149E-01 	 horizons 9.0
step 11520 	 return [0.         0.00576763 0.0100542  0.00068784 0.        ], ([0.0000000e+00 8.9493254e-04 6.0191751e-04 7.0064561e-07 0.0000000e+00]) 	 loss 1.065E-01 	 horizons 9.0
step 11610 	 return [0.         0.         0.00741175 0.00375928 0.0061444 ], ([0.         0.         0.00085424 0.0008709  0.00104938]) 	 loss 9.152E-02 	 horizons 9.0
step 11700 	 return [0.00106607 0.00764461 0.00383572 0.00116196 0.        ], ([4.0384402e-06 6.8800361e-04 4.5733212e-04 9.6274613e-05 0.0000000e+00]) 	 loss 7.863E-02 	 horizons 9.0
step 11790 	 return [0.         0.         0.00399008 0.00467712 0.00900011], ([0.         0.         0.00065733 0.00138129 0.00242167]) 	 loss 6.990E-02 	 horizons 9.0
step 11880 	 return [0.         0.00673069 0.00901475 0.0008122  0.        ], ([0.         0.00040533 0.00068916 0.00026934 0.        ]) 	 loss 8.252E-02 	 horizons 9.0
step 11970 	 return [0.00107126 0.00852022 0.00322908 0.00129868 0.        ], ([2.5924949e-06 4.4291705e-04 3.0303243e-04 7.5727941e-05 0.0000000e+00]) 	 loss 8.613E-02 	 horizons 9.0
step 12060 	 return [0.         0.00625587 0.0085093  0.00166196 0.        ], ([0.         0.00103175 0.00068726 0.00124061 0.        ]) 	 loss 7.950E-02 	 horizons 9.0
step 12150 	 return [0.         0.         0.00623395 0.00580306 0.00600302], ([0.         0.         0.00010376 0.00058254 0.00142424]) 	 loss 9.568E-02 	 horizons 9.0
step 12240 	 return [0.00118742 0.00840497 0.00306157 0.00131601 0.        ], ([0.00034848 0.00058117 0.00063439 0.00012264 0.        ]) 	 loss 1.079E-01 	 horizons 9.0
step 12330 	 return [0.00239877 0.00714273 0.00135792 0.00124159 0.        ], ([0.00010232 0.00058617 0.00051404 0.00021499 0.        ]) 	 loss 9.317E-02 	 horizons 9.0
step 12420 	 return [0.00174487 0.00729994 0.00198709 0.00127498 0.        ], ([0.00095123 0.00071234 0.00078351 0.00021869 0.        ]) 	 loss 9.112E-02 	 horizons 9.0
step 12510 	 return [0.00359354 0.00550279 0.00147025 0.00121245 0.        ], ([1.7916636e-05 5.7503046e-04 4.6222008e-04 2.1070077e-04 0.0000000e+00]) 	 loss 1.143E-01 	 horizons 9.0
step 12600 	 return [0.00412398 0.00507751 0.00107553 0.00117355 0.        ], ([4.3806268e-04 1.8230639e-04 5.8675051e-04 9.1180460e-05 0.0000000e+00]) 	 loss 1.095E-01 	 horizons 9.0
step 12690 	 return [0.0047247  0.00418002 0.0003216  0.0002266  0.        ], ([2.3124683e-04 8.2611683e-04 2.5346979e-05 1.3729802e-04 0.0000000e+00]) 	 loss 1.142E-01 	 horizons 9.0
step 12780 	 return [0.00480313 0.00449244 0.00031083 0.00015803 0.        ], ([2.5823948e-04 6.5749977e-04 2.2219027e-05 7.4527848e-06 0.0000000e+00]) 	 loss 1.036E-01 	 horizons 9.0
step 12870 	 return [0.00257042 0.00772355 0.00037279 0.00028266 0.        ], ([3.5266523e-04 3.6566920e-04 7.8835117e-05 3.3149269e-04 0.0000000e+00]) 	 loss 9.187E-02 	 horizons 9.0
step 12960 	 return [0.00238162 0.00630158 0.00224009 0.00132237 0.        ], ([0.00045351 0.0012068  0.00070103 0.0001687  0.        ]) 	 loss 8.440E-02 	 horizons 9.0
step 13050 	 return [0.         0.00477925 0.01013633 0.00069357 0.        ], ([0.0000000e+00 9.8503416e-04 1.0211488e-03 6.3486655e-06 0.0000000e+00]) 	 loss 7.321E-02 	 horizons 9.0
step 13140 	 return [0.         0.         0.00619678 0.0047813  0.00787384], ([0.0000000e+00 0.0000000e+00 6.0944451e-05 7.4870023e-04 1.5168524e-03]) 	 loss 1.054E-01 	 horizons 9.0
step 13230 	 return [0.00347257 0.00570299 0.00155728 0.00110514 0.        ], ([3.5854278e-04 8.6079061e-04 4.7372951e-04 8.6529712e-05 0.0000000e+00]) 	 loss 9.381E-02 	 horizons 9.0
step 13320 	 return [0.         0.         0.00612031 0.00623491 0.00503202], ([0.         0.         0.00059507 0.00013138 0.00057568]) 	 loss 7.574E-02 	 horizons 9.0
step 13410 	 return [0.00346848 0.00557041 0.00167577 0.00108362 0.        ], ([3.5696989e-04 8.0886687e-04 3.5513833e-04 6.5214183e-05 0.0000000e+00]) 	 loss 8.023E-02 	 horizons 9.0
step 13500 	 return [0.         0.         0.00414952 0.00404548 0.01021202], ([0.0000000e+00 0.0000000e+00 1.4088987e-04 6.5052925e-05 1.4750195e-05]) 	 loss 7.274E-02 	 horizons 9.0
