step 17518 	 return [0.00412982 0.00860554 0.00816574 0.01164553 0.00894286], ([0.00092607 0.00189148 0.00228856 0.00472634 0.00372192]) 	 loss 2.664E-01 	 horizons 19.0
step 17708 	 return [0.00303689 0.00996818 0.00945417 0.01120748 0.01035186], ([0.0001673  0.00149184 0.00126592 0.00219836 0.00152286]) 	 loss 2.886E-01 	 horizons 19.0
step 17898 	 return [0.00415043 0.00898491 0.00561181 0.01387248 0.00618152], ([0.00082038 0.00233344 0.0018744  0.00484063 0.00266174]) 	 loss 2.753E-01 	 horizons 19.0
step 18088 	 return [0.00342507 0.00990885 0.00942766 0.00999896 0.01051747], ([0.00038317 0.00072319 0.00052226 0.00301869 0.00156435]) 	 loss 2.419E-01 	 horizons 19.0
step 18278 	 return [0.00387758 0.01062332 0.00821587 0.01471362 0.00778513], ([0.00036584 0.00131344 0.00126092 0.0011279  0.00152027]) 	 loss 2.554E-01 	 horizons 19.0
step 18468 	 return [0.0030642  0.01021435 0.00908727 0.01088123 0.01036009], ([9.3167764e-05 1.0002985e-03 4.6101914e-04 2.4391362e-03 2.3398271e-03]) 	 loss 2.455E-01 	 horizons 19.0
step 18658 	 return [0.00312317 0.01173177 0.00750432 0.01287225 0.00717086], ([0.00028779 0.00060229 0.00083013 0.00133453 0.00056263]) 	 loss 2.271E-01 	 horizons 19.0
step 18848 	 return [0.00368306 0.01004999 0.00898031 0.01220634 0.00971162], ([0.0004428  0.00095319 0.00017844 0.0024719  0.00160923]) 	 loss 2.375E-01 	 horizons 19.0
step 19038 	 return [0.00346121 0.01062009 0.00891803 0.01188588 0.00924447], ([0.00037284 0.00077098 0.00124755 0.00179192 0.00177498]) 	 loss 2.290E-01 	 horizons 19.0
step 19228 	 return [0.00351404 0.00995503 0.00876203 0.01266144 0.01033469], ([0.00044481 0.00047792 0.00055119 0.00161806 0.00175623]) 	 loss 2.384E-01 	 horizons 19.0
step 19418 	 return [0.00341093 0.01058921 0.00822548 0.01400414 0.00864386], ([0.00044022 0.0007368  0.00100129 0.00201342 0.00181102]) 	 loss 2.107E-01 	 horizons 19.0
step 19608 	 return [0.0042303  0.00788985 0.00764758 0.00959366 0.00674234], ([0.00039844 0.00103177 0.00125655 0.00245076 0.00277635]) 	 loss 2.059E-01 	 horizons 19.0
step 19798 	 return [0.00398924 0.01022516 0.00901298 0.01301689 0.00753009], ([0.00026013 0.00085308 0.00108341 0.00156856 0.00072554]) 	 loss 2.132E-01 	 horizons 19.0
step 19988 	 return [0.00416905 0.00808142 0.00771961 0.01202576 0.00775902], ([0.00052794 0.00206511 0.00161732 0.00336673 0.0022157 ]) 	 loss 2.088E-01 	 horizons 19.0
step 20178 	 return [0.003252   0.0107205  0.00903684 0.01318557 0.01117584], ([2.7599937e-04 7.3936343e-04 6.2353116e-05 3.7348724e-04 1.2321944e-03]) 	 loss 2.152E-01 	 horizons 19.0
step 20368 	 return [0.00878247 0.00527631 0.00308914 0.00200321 0.        ], ([0.00176813 0.00081553 0.00147864 0.00065613 0.        ]) 	 loss 2.053E-01 	 horizons 19.0
step 20558 	 return [0.00382283 0.00629267 0.00859742 0.01003054 0.01056905], ([0.0001416  0.00198177 0.00079171 0.00159305 0.00114573]) 	 loss 2.221E-01 	 horizons 19.0
step 20748 	 return [0.00381954 0.00989191 0.00758428 0.01493099 0.00804926], ([0.00040385 0.0007693  0.00121115 0.00217068 0.00123255]) 	 loss 2.423E-01 	 horizons 19.0
step 20938 	 return [0.0032874  0.0108783  0.00908106 0.01312941 0.01114014], ([2.6578020e-04 5.8677373e-04 3.0251595e-05 4.0292335e-04 1.1256802e-03]) 	 loss 2.166E-01 	 horizons 19.0
step 21128 	 return [0.         0.010911   0.0080159  0.00773962 0.00716457], ([0.         0.00189251 0.00179988 0.00383179 0.00294466]) 	 loss 2.087E-01 	 horizons 19.0
step 21318 	 return [0.         0.01070331 0.00843219 0.00961541 0.00910963], ([0.         0.00130588 0.00157429 0.00420147 0.00252057]) 	 loss 1.871E-01 	 horizons 19.0
step 21508 	 return [0.00330663 0.01032021 0.00897411 0.01270664 0.01117971], ([0.00033672 0.0008693  0.00015226 0.00131731 0.00124159]) 	 loss 1.787E-01 	 horizons 19.0
step 21698 	 return [0.00314468 0.01065092 0.00903881 0.01213111 0.01076139], ([0.00013291 0.00082196 0.0001848  0.00192148 0.00146503]) 	 loss 1.770E-01 	 horizons 19.0
step 21888 	 return [0.00861677 0.00557493 0.00251877 0.00203962 0.        ], ([0.00170161 0.00064039 0.00147911 0.00064252 0.        ]) 	 loss 1.719E-01 	 horizons 19.0
step 22078 	 return [8.4772315e-03 5.3036828e-03 2.8862194e-03 1.9425827e-03 2.5923951e-05], ([1.6532748e-03 1.0342926e-03 2.0651550e-03 9.6238742e-04 7.7771860e-05]) 	 loss 1.783E-01 	 horizons 19.0
