step 5130 	 return [0.         0.00021977 0.00788413 0.00355317 0.        ], ([0.         0.00021977 0.00103659 0.00033337 0.        ]) 	 loss 3.824E-01 	 horizons 9.0
step 5220 	 return [0.00127471 0.00731826 0.00139504 0.00147323 0.        ], ([0.00111181 0.0007742  0.00071473 0.00025366 0.        ]) 	 loss 3.527E-01 	 horizons 9.0
step 5310 	 return [0.         0.00231822 0.00715972 0.00302684 0.00056069], ([0.         0.00326804 0.00149172 0.00110048 0.00168206]) 	 loss 3.591E-01 	 horizons 9.0
step 5400 	 return [0.         0.         0.00542874 0.00301225 0.00818281], ([0.         0.         0.00076235 0.00158718 0.00191714]) 	 loss 3.474E-01 	 horizons 9.0
step 5490 	 return [0.0000000e+00 8.8363377e-05 9.3614729e-03 3.1274897e-03 1.3901378e-03], ([0.         0.00017673 0.00128982 0.0003493  0.00222634]) 	 loss 3.210E-01 	 horizons 9.0
step 5580 	 return [0.         0.         0.01004343 0.00306116 0.00062029], ([0.         0.         0.0014472  0.00076608 0.00186088]) 	 loss 3.168E-01 	 horizons 9.0
step 5670 	 return [0.         0.         0.00539757 0.00381314 0.00779797], ([0.         0.         0.00107511 0.00122244 0.00081646]) 	 loss 2.925E-01 	 horizons 9.0
step 5760 	 return [0.00032138 0.00741467 0.00308923 0.00155156 0.        ], ([0.00049092 0.00226462 0.00123929 0.00123518 0.        ]) 	 loss 2.561E-01 	 horizons 9.0
step 5850 	 return [0.         0.00454699 0.00668076 0.00256956 0.        ], ([0.         0.00363027 0.00183128 0.00084209 0.        ]) 	 loss 2.405E-01 	 horizons 9.0
step 5940 	 return [0.         0.0053894  0.00888684 0.00171457 0.        ], ([0.         0.00271776 0.001259   0.00097392 0.        ]) 	 loss 2.436E-01 	 horizons 9.0
step 6030 	 return [0.         0.         0.00624019 0.00472766 0.00613237], ([0.         0.         0.00053271 0.00050637 0.00021166]) 	 loss 2.254E-01 	 horizons 9.0
step 6120 	 return [0.         0.         0.00382734 0.00389072 0.00934333], ([0.         0.         0.00056512 0.001848   0.00304281]) 	 loss 2.109E-01 	 horizons 9.0
step 6210 	 return [0.00260498 0.00669208 0.00110601 0.00156355 0.        ], ([0.00037435 0.00050765 0.00045807 0.00023269 0.        ]) 	 loss 2.145E-01 	 horizons 9.0
step 6300 	 return [0.         0.00079574 0.00513178 0.00467757 0.0003544 ], ([0.         0.00071919 0.00141911 0.00088616 0.0007088 ]) 	 loss 1.907E-01 	 horizons 9.0
step 6390 	 return [0.         0.         0.00587885 0.00358897 0.00778516], ([0.         0.         0.00089208 0.00105058 0.00129414]) 	 loss 1.938E-01 	 horizons 9.0
step 6480 	 return [0.         0.00026509 0.00828522 0.00365584 0.00031   ], ([0.         0.00021645 0.00098714 0.00091551 0.00093001]) 	 loss 1.684E-01 	 horizons 9.0
step 6570 	 return [0.         0.         0.00729585 0.00386814 0.00552052], ([0.         0.         0.00111739 0.00084081 0.00093263]) 	 loss 1.880E-01 	 horizons 9.0
step 6660 	 return [0.00074231 0.00794311 0.0030161  0.00120022 0.        ], ([0.00048607 0.0007614  0.00075383 0.00021737 0.        ]) 	 loss 1.630E-01 	 horizons 9.0
step 6750 	 return [0.         0.         0.01098485 0.00246235 0.        ], ([0.0000000e+00 0.0000000e+00 9.3132257e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.758E-01 	 horizons 9.0
step 6840 	 return [0.00076739 0.00735174 0.0029667  0.00150308 0.        ], ([0.00086723 0.00043662 0.00127581 0.00054025 0.        ]) 	 loss 1.535E-01 	 horizons 9.0
step 6930 	 return [0.         0.         0.01049978 0.0027354  0.00087198], ([0.         0.         0.00065683 0.00034929 0.00133197]) 	 loss 1.755E-01 	 horizons 9.0
step 7020 	 return [0.         0.         0.00409553 0.00389856 0.00986122], ([0.         0.         0.0005074  0.00173964 0.0025018 ]) 	 loss 1.605E-01 	 horizons 9.0
step 7110 	 return [0.         0.00101604 0.00796197 0.00322372 0.        ], ([0.         0.00187458 0.00085302 0.00040514 0.        ]) 	 loss 1.601E-01 	 horizons 9.0
step 7200 	 return [0.         0.         0.00446469 0.00497331 0.0078106 ], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.535E-01 	 horizons 9.0
step 7290 	 return [0.00274297 0.00691706 0.00052416 0.00032119 0.        ], ([0.00115379 0.00088783 0.00042233 0.00032324 0.        ]) 	 loss 1.550E-01 	 horizons 9.0
step 7380 	 return [0.00347901 0.00461387 0.00122995 0.00136806 0.        ], ([0.0001931  0.00039067 0.00033309 0.00027529 0.        ]) 	 loss 1.563E-01 	 horizons 9.0
step 7470 	 return [0.         0.         0.00644337 0.00469709 0.00592554], ([0.         0.         0.00070157 0.00084919 0.00045644]) 	 loss 1.608E-01 	 horizons 9.0
step 7560 	 return [0.00242057 0.00721907 0.00108431 0.0011871  0.        ], ([0.00028242 0.00096456 0.00070344 0.0001678  0.        ]) 	 loss 1.567E-01 	 horizons 9.0
step 7650 	 return [0.         0.         0.00554024 0.00368317 0.0084416 ], ([0.         0.         0.00070313 0.0010033  0.00137859]) 	 loss 1.496E-01 	 horizons 9.0
step 7740 	 return [0.00276952 0.00609561 0.00231353 0.00134467 0.        ], ([0.00035336 0.00060513 0.000533   0.00052458 0.        ]) 	 loss 1.449E-01 	 horizons 9.0
step 7830 	 return [0.00320477 0.00547465 0.00064998 0.00091141 0.        ], ([0.00071997 0.00060878 0.00028302 0.0003225  0.        ]) 	 loss 1.351E-01 	 horizons 9.0
step 7920 	 return [0.         0.00094759 0.0043348  0.00500386 0.00072664], ([0.         0.00047379 0.00010835 0.000373   0.00167477]) 	 loss 1.533E-01 	 horizons 9.0
step 8010 	 return [0.         0.         0.00576879 0.00475259 0.00520606], ([0.         0.         0.00165119 0.00097175 0.00086988]) 	 loss 1.343E-01 	 horizons 9.0
step 8100 	 return [0.00310474 0.00558612 0.00220983 0.00180418 0.        ], ([0.00032869 0.00076552 0.00046907 0.00043697 0.        ]) 	 loss 1.200E-01 	 horizons 9.0
step 8190 	 return [0.00121094 0.00758875 0.00403771 0.00140575 0.        ], ([0.00079254 0.00065657 0.00117371 0.00080263 0.        ]) 	 loss 1.250E-01 	 horizons 9.0
step 8280 	 return [0.00095861 0.00737359 0.00429628 0.00094438 0.        ], ([0.00031955 0.0005621  0.00034147 0.00022218 0.        ]) 	 loss 1.565E-01 	 horizons 9.0
step 8370 	 return [0.00414302 0.00440962 0.00067234 0.00067197 0.        ], ([0.00027435 0.00067332 0.00026892 0.00026057 0.        ]) 	 loss 1.378E-01 	 horizons 9.0
