step 20321 	 return [0.00826258 0.0112074  0.01094371], ([0.00077735 0.00133888 0.00187642]) 	 loss 2.874E-01 	 horizons 19.0
step 20511 	 return [0.00918236 0.01100946 0.01071798], ([0.00073488 0.00136817 0.00273095]) 	 loss 2.698E-01 	 horizons 19.0
step 20701 	 return [0.00930645 0.0109536  0.00995519], ([0.00078138 0.00146353 0.00228452]) 	 loss 2.594E-01 	 horizons 19.0
step 20891 	 return [0.00955426 0.0116455  0.01099983], ([0.000426   0.00129146 0.00159882]) 	 loss 2.657E-01 	 horizons 19.0
step 21081 	 return [0.00865928 0.01134913 0.00991913], ([0.0006978  0.00072028 0.00042696]) 	 loss 2.399E-01 	 horizons 19.0
step 21271 	 return [0.00962443 0.01076413 0.01140296], ([0.00044587 0.00064967 0.00137217]) 	 loss 2.385E-01 	 horizons 19.0
step 21461 	 return [0.00918932 0.01258425 0.01016637], ([0.00053223 0.0010339  0.00065174]) 	 loss 2.422E-01 	 horizons 19.0
step 21651 	 return [0.00896697 0.01016505 0.0127166 ], ([0.0002811  0.00056953 0.00077679]) 	 loss 2.282E-01 	 horizons 19.0
step 21841 	 return [0.00939861 0.01131064 0.01043963], ([0.00025188 0.0010401  0.00140192]) 	 loss 2.163E-01 	 horizons 19.0
step 22031 	 return [0.00923075 0.01160831 0.01044192], ([0.00045287 0.00074123 0.00115979]) 	 loss 2.315E-01 	 horizons 19.0
step 22221 	 return [0.0098147  0.01212801 0.01097108], ([0.00021044 0.00095237 0.00124239]) 	 loss 2.152E-01 	 horizons 19.0
step 22411 	 return [0.00951663 0.01092598 0.01112693], ([0.00045782 0.00117353 0.00117471]) 	 loss 2.102E-01 	 horizons 19.0
step 22601 	 return [0.00933045 0.01156487 0.0109825 ], ([0.00039219 0.00046108 0.00108743]) 	 loss 2.017E-01 	 horizons 19.0
step 22791 	 return [0.00949359 0.01062048 0.01147037], ([0.00050348 0.00053555 0.00120508]) 	 loss 2.060E-01 	 horizons 19.0
step 22981 	 return [0.00931949 0.01039748 0.01217351], ([0.00033281 0.00020363 0.00101936]) 	 loss 1.974E-01 	 horizons 19.0
step 23171 	 return [0.0097865  0.0106394  0.01074533], ([0.00043886 0.0006459  0.0008461 ]) 	 loss 1.883E-01 	 horizons 19.0
step 23361 	 return [0.00970685 0.01044301 0.01102287], ([0.0004432  0.00010913 0.00098558]) 	 loss 1.957E-01 	 horizons 19.0
step 23551 	 return [0.00965008 0.01216181 0.01033528], ([0.0001877  0.00070376 0.00134487]) 	 loss 2.117E-01 	 horizons 19.0
step 23741 	 return [0.00961821 0.01280293 0.00990784], ([0.00027737 0.00091882 0.00056716]) 	 loss 1.991E-01 	 horizons 19.0
step 23931 	 return [0.01000594 0.01164106 0.01198333], ([0.00015896 0.00064664 0.0015723 ]) 	 loss 1.968E-01 	 horizons 19.0
step 24121 	 return [0.00976651 0.01313895 0.01018467], ([0.00017987 0.00079406 0.00069156]) 	 loss 1.796E-01 	 horizons 19.0
