step 10980 	 return [0.00035494 0.00193783 0.00422782 0.00362494 0.000495  ], ([0.00011831 0.00064594 0.00034551 0.00043954 0.00148501]) 	 loss 7.489E-02 	 horizons 9.0
step 11070 	 return [0.         0.         0.00354937 0.00521841 0.0083659 ], ([0.         0.         0.00034728 0.00102386 0.00137435]) 	 loss 6.589E-02 	 horizons 9.0
step 11160 	 return [0.         0.0037192  0.01043689 0.00098703 0.        ], ([0.         0.00071305 0.00037062 0.00085052 0.        ]) 	 loss 6.408E-02 	 horizons 9.0
step 11250 	 return [0.         0.         0.00623349 0.00633131 0.00623631], ([0.000000e+00 0.000000e+00 4.359138e-05 9.962890e-04 7.986506e-04]) 	 loss 7.804E-02 	 horizons 9.0
step 11340 	 return [0.0032749  0.00621008 0.00111933 0.00149949 0.        ], ([0.00045059 0.00098988 0.00041927 0.00018633 0.        ]) 	 loss 5.059E-02 	 horizons 9.0
step 11430 	 return [0.         0.00709369 0.00515722 0.00201024 0.        ], ([0.0000000e+00 5.7295570e-04 1.1001707e-03 2.3809564e-06 0.0000000e+00]) 	 loss 5.757E-02 	 horizons 9.0
step 11520 	 return [0.         0.         0.00446656 0.00408045 0.01095104], ([0.0000000e+00 0.0000000e+00 1.4947726e-06 2.2906663e-04 5.3010316e-04]) 	 loss 7.388E-02 	 horizons 9.0
step 11610 	 return [0.00239408 0.00792522 0.00060815 0.00127339 0.        ], ([2.3283064e-10 9.3132257e-10 0.0000000e+00 0.0000000e+00 0.0000000e+00]) 	 loss 8.833E-02 	 horizons 9.0
step 11700 	 return [0.00226032 0.00796056 0.00060505 0.00128186 0.        ], ([4.0032691e-04 1.5672851e-04 1.0837420e-05 2.2531116e-05 0.0000000e+00]) 	 loss 7.110E-02 	 horizons 9.0
step 11790 	 return [0.00202929 0.0065841  0.00332416 0.00197664 0.        ], ([0.00080756 0.00099761 0.00060776 0.00031214 0.        ]) 	 loss 5.855E-02 	 horizons 9.0
step 11880 	 return [0.00141895 0.00728176 0.00367302 0.00142008 0.        ], ([0.00054296 0.00012463 0.00070863 0.00050447 0.        ]) 	 loss 5.737E-02 	 horizons 9.0
step 11970 	 return [0.         0.         0.00620192 0.00734061 0.00596871], ([0.0000000e+00 0.0000000e+00 3.3451801e-05 6.8183854e-04 1.1857600e-06]) 	 loss 5.725E-02 	 horizons 9.0
step 12060 	 return [0.00322894 0.00601837 0.00112765 0.00151299 0.        ], ([0.00054664 0.00131596 0.00043167 0.00018176 0.        ]) 	 loss 6.476E-02 	 horizons 9.0
step 12150 	 return [0.         0.00058977 0.01079748 0.00658245 0.        ], ([0.         0.00090089 0.00038572 0.00083875 0.        ]) 	 loss 9.163E-02 	 horizons 9.0
step 12240 	 return [0.00335614 0.00570907 0.00148237 0.00166346 0.        ], ([2.4096059e-04 4.2370873e-04 5.1631291e-06 6.7757283e-06 0.0000000e+00]) 	 loss 9.637E-02 	 horizons 9.0
step 12330 	 return [0.00330936 0.0059239  0.00139348 0.00162251 0.        ], ([0.00031042 0.00070762 0.00026178 0.00011637 0.        ]) 	 loss 7.917E-02 	 horizons 9.0
step 12420 	 return [0.         0.01037263 0.00197009 0.0011989  0.        ], ([0.0000000e+00 7.2824492e-05 1.0691729e-04 3.3872784e-04 0.0000000e+00]) 	 loss 1.075E-01 	 horizons 9.0
