step 12535 	 return [0.00564222 0.00564182 0.00778431 0.00576645 0.00591459], ([0.0006223  0.00186374 0.00132625 0.00254558 0.00340301]) 	 loss 4.727E-01 	 horizons 19.0
step 12725 	 return [0.00533292 0.00565688 0.00813842 0.00592497 0.00605751], ([0.00108314 0.00145006 0.00111707 0.00251182 0.00391425]) 	 loss 4.390E-01 	 horizons 19.0
step 12915 	 return [0.00613116 0.00600404 0.007871   0.00544705 0.00543972], ([0.00165712 0.00122958 0.00110256 0.00198077 0.0020366 ]) 	 loss 4.431E-01 	 horizons 19.0
step 13105 	 return [0.00510794 0.00635148 0.00742158 0.0077098  0.00448114], ([0.0008692  0.00194308 0.00173173 0.00208481 0.00281155]) 	 loss 4.311E-01 	 horizons 19.0
step 13295 	 return [0.00336803 0.00814096 0.01015922 0.01335124 0.00725217], ([0.00088977 0.00174895 0.00161003 0.00180349 0.00188744]) 	 loss 3.803E-01 	 horizons 19.0
step 13485 	 return [0.0043472  0.00722113 0.00672314 0.01055301 0.00749831], ([0.00060492 0.0016107  0.00206999 0.00204516 0.00256741]) 	 loss 4.352E-01 	 horizons 19.0
step 13675 	 return [0.00648926 0.00621312 0.00715883 0.00543873 0.00576854], ([0.00163199 0.00122309 0.00091244 0.00205936 0.00196893]) 	 loss 4.248E-01 	 horizons 19.0
step 13865 	 return [0.00047692 0.00930405 0.00866705 0.01175459 0.00714059], ([0.00119624 0.00206549 0.00263219 0.00215593 0.00263387]) 	 loss 4.277E-01 	 horizons 19.0
step 14055 	 return [0.00680982 0.00626932 0.00729633 0.00540918 0.00496625], ([0.00146315 0.00178132 0.00129377 0.00240487 0.0026452 ]) 	 loss 4.305E-01 	 horizons 19.0
step 14245 	 return [0.00542536 0.00619255 0.00821652 0.00679108 0.00567777], ([0.00110644 0.00172268 0.0013669  0.00309403 0.00243551]) 	 loss 3.933E-01 	 horizons 19.0
step 14435 	 return [0.0043774  0.00674161 0.0080701  0.01045729 0.00848622], ([0.00084785 0.00242338 0.0024294  0.00305803 0.00151112]) 	 loss 3.776E-01 	 horizons 19.0
step 14625 	 return [0.00426463 0.00831858 0.00893737 0.01213557 0.00800423], ([0.00072831 0.00146211 0.00102695 0.00176553 0.00184201]) 	 loss 3.978E-01 	 horizons 19.0
step 14815 	 return [0.00492735 0.00658565 0.00847193 0.00987448 0.00766267], ([0.00063442 0.00234869 0.00141921 0.00224484 0.00090491]) 	 loss 3.615E-01 	 horizons 19.0
step 15005 	 return [0.00652555 0.00639711 0.0072373  0.00549604 0.00462633], ([0.00111929 0.00113517 0.00020649 0.00190748 0.0018848 ]) 	 loss 3.419E-01 	 horizons 19.0
step 15195 	 return [0.00656704 0.00691822 0.00654103 0.00459381 0.00491714], ([0.0011461  0.00105987 0.00118309 0.00151083 0.00259909]) 	 loss 3.476E-01 	 horizons 19.0
step 15385 	 return [0.00519056 0.00652175 0.00722933 0.00818781 0.00530014], ([0.0011042  0.00162025 0.00136534 0.00142417 0.00238381]) 	 loss 3.498E-01 	 horizons 19.0
step 15575 	 return [0.00435747 0.00452852 0.00961297 0.00865927 0.00669439], ([0.0006732  0.00088859 0.00097807 0.00178477 0.00139623]) 	 loss 3.166E-01 	 horizons 19.0
step 15765 	 return [0.00486756 0.00461922 0.00997405 0.01117671 0.01017599], ([0.00082081 0.00094708 0.00052307 0.00270829 0.00158255]) 	 loss 3.027E-01 	 horizons 19.0
step 15955 	 return [0.00476363 0.00697635 0.00908056 0.00925319 0.00690578], ([0.00090149 0.00190869 0.00174432 0.00245104 0.00273878]) 	 loss 3.271E-01 	 horizons 19.0
step 16145 	 return [0.00306917 0.00887777 0.00867775 0.01008989 0.00725694], ([0.00113356 0.00138488 0.00092194 0.00260214 0.00157024]) 	 loss 3.286E-01 	 horizons 19.0
step 16335 	 return [0.00372036 0.00769589 0.00863152 0.00924154 0.00767055], ([0.00124886 0.00120809 0.00098975 0.00189487 0.00118256]) 	 loss 3.251E-01 	 horizons 19.0
step 16525 	 return [0.00364219 0.00875199 0.00958825 0.01149591 0.00834934], ([0.00073077 0.00125129 0.00100322 0.0018305  0.00142612]) 	 loss 3.020E-01 	 horizons 19.0
