step 15618 	 return [0.00752875 0.01028909 0.00839795], ([0.00115693 0.0017894  0.00138076]) 	 loss 4.404E-01 	 horizons 19.0
step 15808 	 return [0.00695192 0.01124641 0.00866439], ([0.00102968 0.00089437 0.00143145]) 	 loss 4.109E-01 	 horizons 19.0
step 15998 	 return [0.00725232 0.01124881 0.0093801 ], ([0.00111801 0.00161551 0.00228151]) 	 loss 4.282E-01 	 horizons 19.0
step 16188 	 return [0.00674472 0.0107817  0.00984337], ([0.00063257 0.00166118 0.00169798]) 	 loss 3.939E-01 	 horizons 19.0
step 16378 	 return [0.00722313 0.01092339 0.00992597], ([0.00133556 0.00230986 0.00182035]) 	 loss 4.147E-01 	 horizons 19.0
step 16568 	 return [0.0072015  0.01123686 0.01001288], ([0.00131618 0.00133281 0.00164738]) 	 loss 3.927E-01 	 horizons 19.0
step 16758 	 return [0.00683806 0.01120156 0.0102579 ], ([0.00070591 0.00117873 0.00114908]) 	 loss 4.020E-01 	 horizons 19.0
step 16948 	 return [0.00689832 0.01132972 0.01009571], ([0.00103338 0.00061404 0.00096962]) 	 loss 3.904E-01 	 horizons 19.0
step 17138 	 return [0.00811946 0.01162438 0.00861647], ([0.00116248 0.00158293 0.00163606]) 	 loss 4.049E-01 	 horizons 19.0
step 17328 	 return [0.00769833 0.0114689  0.00931082], ([0.00117021 0.00176315 0.00199719]) 	 loss 3.790E-01 	 horizons 19.0
step 17518 	 return [0.00737003 0.01140756 0.00981053], ([0.0007853  0.00176507 0.00217717]) 	 loss 3.894E-01 	 horizons 19.0
step 17708 	 return [0.00714873 0.01078505 0.00962297], ([0.00131394 0.001253   0.00180163]) 	 loss 3.930E-01 	 horizons 19.0
step 17898 	 return [0.00839888 0.01137872 0.00967274], ([0.00137057 0.00185887 0.00136789]) 	 loss 3.535E-01 	 horizons 19.0
step 18088 	 return [0.0076468  0.01153628 0.01050028], ([0.00091811 0.00095553 0.0015112 ]) 	 loss 3.571E-01 	 horizons 19.0
step 18278 	 return [0.00743329 0.0117489  0.0099714 ], ([0.00123513 0.00135822 0.00176841]) 	 loss 3.515E-01 	 horizons 19.0
step 18468 	 return [0.00727573 0.01154032 0.01004593], ([0.00109912 0.00104969 0.00112591]) 	 loss 3.606E-01 	 horizons 19.0
step 18658 	 return [0.00752408 0.01170975 0.01018454], ([0.0009787  0.00092205 0.000674  ]) 	 loss 3.660E-01 	 horizons 19.0
step 18848 	 return [0.0080663  0.01035474 0.00957501], ([0.00134898 0.00214801 0.00137125]) 	 loss 3.372E-01 	 horizons 19.0
step 19038 	 return [0.00796101 0.01087727 0.0106237 ], ([0.00102923 0.00132253 0.00220863]) 	 loss 3.467E-01 	 horizons 19.0
step 19228 	 return [0.00782889 0.01140197 0.01067888], ([0.00104797 0.00109776 0.00120557]) 	 loss 3.318E-01 	 horizons 19.0
step 19418 	 return [0.00841566 0.01173207 0.01002844], ([0.00101406 0.00102439 0.00152902]) 	 loss 3.258E-01 	 horizons 19.0
step 19608 	 return [0.00788654 0.01179138 0.01067687], ([0.00105575 0.00077576 0.00162906]) 	 loss 3.222E-01 	 horizons 19.0
