step 5130 	 return [0.         0.0037955  0.00568242], ([0.         0.00084942 0.0008955 ]) 	 loss 4.816E-01 	 horizons 9.0
step 5220 	 return [0.         0.00358295 0.00597408], ([0.         0.00057116 0.00023926]) 	 loss 4.709E-01 	 horizons 9.0
step 5310 	 return [0.0023431  0.00339272 0.00023362], ([0.00081098 0.00100492 0.0003587 ]) 	 loss 4.173E-01 	 horizons 9.0
step 5400 	 return [0.00273734 0.00154339 0.00061164], ([0.00059039 0.00043881 0.00038424]) 	 loss 4.408E-01 	 horizons 9.0
step 5490 	 return [0.00203401 0.00263542 0.00059185], ([0.00059675 0.00065451 0.00049771]) 	 loss 4.789E-01 	 horizons 9.0
step 5580 	 return [1.5184635e-03 4.0872293e-03 9.7928780e-05], ([0.00042156 0.000783   0.00029379]) 	 loss 5.119E-01 	 horizons 9.0
step 5670 	 return [0.00315139 0.00196103 0.00070796], ([0.00027086 0.00033768 0.00038708]) 	 loss 5.190E-01 	 horizons 9.0
step 5760 	 return [0.0028607  0.00267218 0.00040887], ([0.00067073 0.00055492 0.00041345]) 	 loss 4.709E-01 	 horizons 9.0
step 5850 	 return [0.00278692 0.00317637 0.00017444], ([0.00065496 0.00052277 0.00035101]) 	 loss 4.766E-01 	 horizons 9.0
step 5940 	 return [0.00275626 0.00182116 0.00049657], ([0.0006069  0.00034354 0.00032609]) 	 loss 4.811E-01 	 horizons 9.0
step 6030 	 return [0.00254358 0.00254227 0.00052746], ([0.00063403 0.00049163 0.00034633]) 	 loss 4.582E-01 	 horizons 9.0
step 6120 	 return [0.00311116 0.0026188  0.00042887], ([0.00117557 0.00086845 0.0003857 ]) 	 loss 4.879E-01 	 horizons 9.0
step 6210 	 return [0.00321535 0.0025472  0.00068158], ([0.00032191 0.0003519  0.00034921]) 	 loss 4.431E-01 	 horizons 9.0
step 6300 	 return [0.0032318  0.00298989 0.00034444], ([0.00048846 0.00052989 0.00042689]) 	 loss 4.453E-01 	 horizons 9.0
step 6390 	 return [0.         0.00369932 0.0058245 ], ([0.         0.00074138 0.0002629 ]) 	 loss 4.414E-01 	 horizons 9.0
step 6480 	 return [0.         0.00416914 0.00553712], ([0.         0.0008825  0.00060222]) 	 loss 3.925E-01 	 horizons 9.0
step 6570 	 return [0.00325959 0.00220314 0.00051375], ([0.00055189 0.00053288 0.00044459]) 	 loss 3.737E-01 	 horizons 9.0
step 6660 	 return [0.         0.00349926 0.00600307], ([0.         0.00024018 0.00031523]) 	 loss 3.514E-01 	 horizons 9.0
step 6750 	 return [2.9920181e-03 3.6111306e-03 9.7420125e-05], ([0.00045286 0.00048067 0.00029226]) 	 loss 3.269E-01 	 horizons 9.0
step 6840 	 return [0.00286971 0.00376574 0.        ], ([0.00056497 0.00029374 0.        ]) 	 loss 3.250E-01 	 horizons 9.0
step 6930 	 return [0.00296199 0.0035092  0.00027326], ([0.00041159 0.00032373 0.00041958]) 	 loss 3.383E-01 	 horizons 9.0
step 7020 	 return [0.00295561 0.00268276 0.00052793], ([0.00041539 0.00055212 0.00035381]) 	 loss 3.344E-01 	 horizons 9.0
step 7110 	 return [0.00256637 0.00425642 0.        ], ([0.00012422 0.00028843 0.        ]) 	 loss 3.377E-01 	 horizons 9.0
step 7200 	 return [0.00291928 0.00280608 0.00068486], ([0.00022857 0.00038098 0.00037598]) 	 loss 3.180E-01 	 horizons 9.0
