step 7830 	 return [0.         0.00333673 0.00637855], ([0.         0.00054901 0.00029177]) 	 loss 1.248E-01 	 horizons 9.0
step 7920 	 return [0.00056365 0.00583742 0.00103091], ([0.00046206 0.00070325 0.00157474]) 	 loss 9.820E-02 	 horizons 9.0
step 8010 	 return [0.00099943 0.00604982 0.        ], ([0.00068221 0.00039858 0.        ]) 	 loss 9.821E-02 	 horizons 9.0
step 8100 	 return [0.00287082 0.00390009 0.0004984 ], ([0.00084279 0.00079524 0.00050625]) 	 loss 1.016E-01 	 horizons 9.0
step 8190 	 return [0.00239611 0.00384144 0.00041283], ([0.00091869 0.00065147 0.00050728]) 	 loss 1.023E-01 	 horizons 9.0
step 8280 	 return [0.00423993 0.00279466 0.00035965], ([0.00031229 0.00046438 0.00054938]) 	 loss 1.040E-01 	 horizons 9.0
step 8370 	 return [0.00372725 0.00304873 0.00065263], ([0.00034254 0.00065459 0.00054201]) 	 loss 1.301E-01 	 horizons 9.0
step 8460 	 return [0.00384862 0.00264394 0.0005254 ], ([0.00132864 0.00095587 0.00057618]) 	 loss 1.107E-01 	 horizons 9.0
step 8550 	 return [0.00418562 0.00258036 0.00095024], ([0.00021913 0.00048098 0.00047837]) 	 loss 9.940E-02 	 horizons 9.0
step 8640 	 return [0.         0.00504707 0.00541057], ([0.         0.00018987 0.00027795]) 	 loss 1.010E-01 	 horizons 9.0
step 8730 	 return [0.00086593 0.00534228 0.00133675], ([0.00064918 0.00112101 0.00163827]) 	 loss 1.093E-01 	 horizons 9.0
step 8820 	 return [0.00372481 0.0036225  0.00036725], ([0.00044688 0.00029134 0.00045201]) 	 loss 1.089E-01 	 horizons 9.0
step 8910 	 return [0.00367706 0.00267115 0.00104889], ([0.00028875 0.00041196 0.00038091]) 	 loss 1.040E-01 	 horizons 9.0
step 9000 	 return [0.00214699 0.00507467 0.00019938], ([0.00035904 0.00062793 0.00039876]) 	 loss 8.329E-02 	 horizons 9.0
step 9090 	 return [0.00162168 0.00503901 0.00020253], ([0.00066178 0.00062075 0.00040505]) 	 loss 7.849E-02 	 horizons 9.0
step 9180 	 return [0.00148076 0.00561712 0.        ], ([0.00049408 0.00040167 0.        ]) 	 loss 8.743E-02 	 horizons 9.0
step 9270 	 return [0.00104922 0.00625556 0.        ], ([2.1780664e-04 7.0917682e-05 0.0000000e+00]) 	 loss 7.566E-02 	 horizons 9.0
step 9360 	 return [2.1615508e-03 4.8204227e-03 9.9689132e-05], ([0.00073938 0.00058315 0.00029907]) 	 loss 7.681E-02 	 horizons 9.0
step 9450 	 return [0.00328322 0.00339898 0.00084762], ([0.00040472 0.00056766 0.00043796]) 	 loss 8.384E-02 	 horizons 9.0
step 9540 	 return [0.00058612 0.00639328 0.0006645 ], ([0.00047857 0.00015161 0.001329  ]) 	 loss 7.248E-02 	 horizons 9.0
step 9630 	 return [0.0011946  0.00620973 0.        ], ([0.00033259 0.00010892 0.        ]) 	 loss 6.977E-02 	 horizons 9.0
step 9720 	 return [0.003704   0.00357805 0.00040391], ([0.00025718 0.00044784 0.0005061 ]) 	 loss 5.042E-02 	 horizons 9.0
step 9810 	 return [0.         0.00482869 0.00561195], ([0.         0.00046526 0.00032617]) 	 loss 4.931E-02 	 horizons 9.0
step 9900 	 return [0.         0.00343575 0.00658247], ([0.000000e+00 1.313455e-04 3.704819e-05]) 	 loss 3.687E-02 	 horizons 9.0
step 9990 	 return [0.00071941 0.00386636 0.00382061], ([0.00038277 0.00034989 0.0009717 ]) 	 loss 4.069E-02 	 horizons 9.0
step 10080 	 return [0.00104979 0.00366196 0.00332695], ([0.00015637 0.00014481 0.0002104 ]) 	 loss 4.114E-02 	 horizons 9.0
step 10170 	 return [0.00097687 0.00628103 0.        ], ([1.1641532e-10 4.6566129e-10 0.0000000e+00]) 	 loss 3.114E-02 	 horizons 9.0
step 10260 	 return [0.00186147 0.00542273 0.        ], ([0.00062975 0.00026391 0.        ]) 	 loss 3.413E-02 	 horizons 9.0
step 10350 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.458E-02 	 horizons 9.0
step 10440 	 return [4.2295987e-03 3.4988378e-03 9.2615599e-05], ([6.8796151e-05 1.1925143e-04 2.7784679e-04]) 	 loss 2.281E-02 	 horizons 9.0
step 10530 	 return [0.0027842  0.00392357 0.00099617], ([7.7365903e-06 2.3272213e-04 1.4446676e-06]) 	 loss 2.224E-02 	 horizons 9.0
step 10620 	 return [0.00384799 0.00211152 0.00111739], ([0.00128266 0.00062774 0.00024436]) 	 loss 2.184E-02 	 horizons 9.0
step 10710 	 return [0.00092426 0.0037913  0.00374691], ([0.00014915 0.00014673 0.00032246]) 	 loss 3.652E-02 	 horizons 9.0
step 10800 	 return [0.00264211 0.00540221 0.        ], ([3.612413e-04 7.950775e-05 0.000000e+00]) 	 loss 1.729E-02 	 horizons 9.0
step 10890 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.042E-02 	 horizons 9.0
step 10980 	 return [0.00074395 0.00397774 0.00390585], ([0.00024798 0.00027115 0.00015649]) 	 loss 2.080E-02 	 horizons 9.0
step 11070 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 1.566E-02 	 horizons 9.0
step 11160 	 return [0.00131915 0.00374669 0.00292891], ([0.00050119 0.00053859 0.0009763 ]) 	 loss 1.612E-02 	 horizons 9.0
step 11250 	 return [0.00359717 0.00345787 0.00087629], ([0.00038931 0.00023409 0.00029258]) 	 loss 1.847E-02 	 horizons 9.0
step 11340 	 return [0.00050476 0.00048492 0.00034589], ([0.00151429 0.00076989 0.0001153 ]) 	 loss 1.950E-02 	 horizons 9.0
step 11430 	 return [0.00278133 0.00406191 0.0008972 ], ([2.9982764e-06 6.5948254e-05 2.9906741e-04]) 	 loss 8.805E-02 	 horizons 9.0
step 11520 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.248E-02 	 horizons 9.0
step 11610 	 return [0.00355967 0.0033501  0.00078633], ([4.2436522e-04 7.9307443e-05 3.9316883e-04]) 	 loss 2.614E-02 	 horizons 9.0
step 11700 	 return [0.00048843 0.00655159 0.        ], ([0.00048843 0.00027056 0.        ]) 	 loss 2.272E-02 	 horizons 9.0
step 11790 	 return [0.00057863 0.00380515 0.00411515], ([0.0003788  0.00021784 0.00080872]) 	 loss 2.640E-02 	 horizons 9.0
step 11880 	 return [0.         0.00750271 0.00327402], ([0.         0.00031133 0.00040827]) 	 loss 3.733E-02 	 horizons 9.0
step 11970 	 return [0.00282273 0.00536246 0.        ], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 2.538E-02 	 horizons 9.0
step 12060 	 return [0.00407385 0.00287231 0.00106312], ([0.00041543 0.0003671  0.00015846]) 	 loss 1.877E-02 	 horizons 9.0
step 12150 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.750E-02 	 horizons 9.0
step 12240 	 return [0.00437408 0.00313855 0.00076819], ([9.622458e-05 3.144641e-04 3.924754e-04]) 	 loss 2.034E-02 	 horizons 9.0
step 12330 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.619E-02 	 horizons 9.0
step 12420 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 1.658E-02 	 horizons 9.0
step 12510 	 return [0.         0.00518078 0.0049529 ], ([0.         0.00059101 0.00165097]) 	 loss 1.235E-02 	 horizons 9.0
step 12600 	 return [0.         0.00760648 0.00313794], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.710E-02 	 horizons 9.0
step 12690 	 return [0.00414793 0.00341175 0.00038166], ([0.00024854 0.00016346 0.00046777]) 	 loss 1.142E-02 	 horizons 9.0
step 12780 	 return [0.         0.00760648 0.00313794], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.334E-02 	 horizons 9.0
step 12870 	 return [0.         0.00760648 0.00313794], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 9.699E-03 	 horizons 9.0
step 12960 	 return [0.00170264 0.00604335 0.        ], ([2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 7.223E-03 	 horizons 9.0
step 13050 	 return [0.00411213 0.00324515 0.00085594], ([0.00035603 0.00012375 0.00028653]) 	 loss 7.826E-03 	 horizons 9.0
step 13140 	 return [0.00101957 0.00369461 0.00346656], ([0.00016242 0.0001561  0.00032175]) 	 loss 7.936E-03 	 horizons 9.0
step 13230 	 return [0.         0.00760648 0.00313794], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.471E-02 	 horizons 9.0
step 13320 	 return [0.00390938 0.00325364 0.00096535], ([3.4474718e-04 7.3688592e-05 2.5661471e-05]) 	 loss 1.189E-02 	 horizons 9.0
step 13410 	 return [0.00294827 0.00395233 0.00098982], ([3.3706985e-04 2.2068211e-04 1.6889653e-05]) 	 loss 1.185E-02 	 horizons 9.0
step 13500 	 return [0.         0.00367558 0.00652228], ([0.         0.00012668 0.000141  ]) 	 loss 1.678E-02 	 horizons 9.0
step 13590 	 return [0.00280153 0.00470119 0.00049845], ([2.1198066e-05 6.6126348e-04 4.9844565e-04]) 	 loss 3.342E-02 	 horizons 9.0
step 13680 	 return [0.00287067 0.00396612 0.00099542], ([2.7100585e-04 2.2141323e-04 4.4212093e-06]) 	 loss 1.736E-02 	 horizons 9.0
step 13770 	 return [0.00261071 0.00396778 0.00122125], ([0.00050887 0.00021644 0.00067307]) 	 loss 1.154E-02 	 horizons 9.0
step 13860 	 return [0.         0.00359326 0.00595477], ([0.         0.0007184  0.00023147]) 	 loss 1.650E-02 	 horizons 9.0
step 13950 	 return [0.00277131 0.00431996 0.00049845], ([0.00023692 0.00030867 0.00049845]) 	 loss 5.973E-02 	 horizons 9.0
step 14040 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.697E-02 	 horizons 9.0
step 14130 	 return [0.         0.00417782 0.00579861], ([0.         0.0008311  0.00029976]) 	 loss 2.558E-02 	 horizons 9.0
step 14220 	 return [0.         0.00343936 0.00601135], ([0.         0.00056424 0.00017906]) 	 loss 3.240E-02 	 horizons 9.0
step 14310 	 return [0.         0.00750271 0.00327402], ([0.         0.00031133 0.00040827]) 	 loss 3.168E-02 	 horizons 9.0
