step 11610 	 return [0.00268197 0.00484985 0.0003841 ], ([1.5481828e-04 9.3168695e-05 4.7042026e-04]) 	 loss 6.594E-02 	 horizons 9.0
step 11700 	 return [5.0242404e-03 2.7277754e-03 4.4205048e-05], ([7.0225680e-05 2.0047606e-04 1.3261515e-04]) 	 loss 6.182E-02 	 horizons 9.0
step 11790 	 return [0.         0.00382997 0.00604317], ([0.0000000e+00 5.6136400e-06 4.2726053e-05]) 	 loss 6.046E-02 	 horizons 9.0
step 11880 	 return [0.         0.00485312 0.00541269], ([0.0000000e+00 2.1776466e-05 1.8106641e-04]) 	 loss 5.854E-02 	 horizons 9.0
step 11970 	 return [0.00225574 0.00503539 0.00067217], ([0.00036144 0.00045773 0.00044004]) 	 loss 5.793E-02 	 horizons 9.0
step 12060 	 return [9.490306e-04 6.007430e-03 9.859800e-05], ([0.00080314 0.00034153 0.00029579]) 	 loss 6.435E-02 	 horizons 9.0
step 12150 	 return [0.00170364 0.00573458 0.        ], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 6.047E-02 	 horizons 9.0
step 12240 	 return [0.         0.00492295 0.00538342], ([0.         0.00023124 0.00026889]) 	 loss 5.981E-02 	 horizons 9.0
step 12330 	 return [0.00383364 0.00311708 0.00104167], ([0.00067361 0.00035197 0.00016334]) 	 loss 6.076E-02 	 horizons 9.0
step 12420 	 return [0.         0.0042352  0.00582367], ([0.         0.0004986  0.00028628]) 	 loss 4.367E-02 	 horizons 9.0
step 12510 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 5.823E-02 	 horizons 9.0
step 12600 	 return [0.         0.00492295 0.00538342], ([0.         0.00023124 0.00026889]) 	 loss 4.267E-02 	 horizons 9.0
step 12690 	 return [0.00265037 0.00483083 0.00048012], ([1.5801075e-04 9.5089898e-05 4.8012059e-04]) 	 loss 4.300E-02 	 horizons 9.0
step 12780 	 return [0.00348496 0.0038229  0.00094547], ([2.4043726e-04 1.7845804e-04 2.0694028e-05]) 	 loss 4.358E-02 	 horizons 9.0
step 12870 	 return [0.         0.00484586 0.00547305], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 3.958E-02 	 horizons 9.0
step 12960 	 return [0.         0.00382997 0.00604317], ([0.0000000e+00 5.6136405e-06 4.2726057e-05]) 	 loss 4.213E-02 	 horizons 9.0
step 13050 	 return [0.00417107 0.00344827 0.00019083], ([0.00017718 0.00011896 0.00038187]) 	 loss 3.605E-02 	 horizons 9.0
step 13140 	 return [0.00053002 0.00159247 0.00306744], ([0.00043345 0.00034214 0.00123047]) 	 loss 3.426E-02 	 horizons 9.0
step 13230 	 return [0.         0.00284551 0.00695774], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 3.783E-02 	 horizons 9.0
step 13320 	 return [0.         0.00382997 0.00604317], ([0.0000000e+00 5.6136400e-06 4.2726053e-05]) 	 loss 3.438E-02 	 horizons 9.0
step 13410 	 return [0.         0.00492295 0.00538342], ([0.         0.00023124 0.00026889]) 	 loss 3.025E-02 	 horizons 9.0
step 13500 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.343E-02 	 horizons 9.0
step 13590 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.079E-02 	 horizons 9.0
