step 5940 	 return [0.00267911 0.00637427 0.0013766  0.00156555 0.        ], ([5.7833770e-04 7.1290910e-04 3.5772377e-05 9.4674193e-05 0.0000000e+00]) 	 loss 2.472E-01 	 horizons 9.0
step 6030 	 return [0.         0.00795911 0.0030759  0.00200768 0.        ], ([0.         0.0003352  0.00062463 0.00024064 0.        ]) 	 loss 2.768E-01 	 horizons 9.0
step 6120 	 return [0.0014369  0.00733007 0.00128384 0.00154145 0.        ], ([0.00100132 0.00031772 0.00023965 0.00012567 0.        ]) 	 loss 2.642E-01 	 horizons 9.0
step 6210 	 return [0.00233768 0.00700582 0.00141068 0.00163723 0.        ], ([3.5089671e-04 4.2175304e-04 5.0691870e-05 2.2200802e-05 0.0000000e+00]) 	 loss 2.408E-01 	 horizons 9.0
step 6300 	 return [0.00210888 0.00704496 0.00111707 0.00147288 0.        ], ([0.00056181 0.00061317 0.00034033 0.00022192 0.        ]) 	 loss 2.353E-01 	 horizons 9.0
step 6390 	 return [0.         0.         0.00617724 0.0074221  0.00614111], ([0.0000000e+00 0.0000000e+00 2.3878925e-05 7.7827758e-04 5.1895954e-04]) 	 loss 2.196E-01 	 horizons 9.0
step 6480 	 return [0.         0.00731122 0.00337822 0.00203545 0.        ], ([0.         0.00120437 0.00102098 0.00029256 0.        ]) 	 loss 2.268E-01 	 horizons 9.0
step 6570 	 return [0.         0.         0.00617724 0.0074221  0.00614111], ([0.0000000e+00 0.0000000e+00 2.3878925e-05 7.7827764e-04 5.1895954e-04]) 	 loss 2.538E-01 	 horizons 9.0
step 6660 	 return [0.         0.         0.00616928 0.00716268 0.00631409], ([0.0000000e+00 0.0000000e+00 3.1838568e-05 1.0377035e-03 6.9194607e-04]) 	 loss 2.140E-01 	 horizons 9.0
step 6750 	 return [0.0012323  0.00733746 0.00168277 0.00177044 0.        ], ([0.00127898 0.00053431 0.0004533  0.00020759 0.        ]) 	 loss 2.123E-01 	 horizons 9.0
step 6840 	 return [0.         0.00652569 0.00564095 0.0016898  0.        ], ([0.         0.00126818 0.00076835 0.00052592 0.        ]) 	 loss 2.043E-01 	 horizons 9.0
step 6930 	 return [0.00134254 0.0068025  0.00330098 0.00196981 0.        ], ([0.00109619 0.00075921 0.00077127 0.00025666 0.        ]) 	 loss 2.128E-01 	 horizons 9.0
step 7020 	 return [0.00200034 0.00726255 0.00128282 0.00154106 0.        ], ([0.00066687 0.00040743 0.00024475 0.00013831 0.        ]) 	 loss 2.039E-01 	 horizons 9.0
step 7110 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.900E-01 	 horizons 9.0
step 7200 	 return [0.00111245 0.00753111 0.00205645 0.001873   0.        ], ([0.00111248 0.00070039 0.00054326 0.00026182 0.        ]) 	 loss 1.841E-01 	 horizons 9.0
step 7290 	 return [0.0024657  0.00671511 0.00193282 0.00173341 0.        ], ([0.0004834  0.00061434 0.00053257 0.00023652 0.        ]) 	 loss 1.568E-01 	 horizons 9.0
step 7380 	 return [0.00223101 0.00616779 0.00363136 0.00200121 0.        ], ([3.5081059e-06 3.5024690e-04 3.4932190e-04 5.9825696e-05 0.0000000e+00]) 	 loss 1.648E-01 	 horizons 9.0
step 7470 	 return [0.0019996  0.00701212 0.00270812 0.00209074 0.        ], ([0.00066654 0.00041725 0.00034744 0.00021189 0.        ]) 	 loss 1.433E-01 	 horizons 9.0
step 7560 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.595E-01 	 horizons 9.0
step 7650 	 return [0.00156921 0.00702601 0.00283966 0.00200975 0.        ], ([0.00102734 0.00067376 0.00045511 0.00027604 0.        ]) 	 loss 1.433E-01 	 horizons 9.0
step 7740 	 return [0.00156386 0.00707656 0.00272112 0.00202527 0.        ], ([0.00102385 0.00049397 0.00034406 0.00027653 0.        ]) 	 loss 1.234E-01 	 horizons 9.0
step 7830 	 return [0.         0.         0.00617724 0.0074221  0.00614111], ([0.0000000e+00 0.0000000e+00 2.3878925e-05 7.7827764e-04 5.1895954e-04]) 	 loss 1.259E-01 	 horizons 9.0
step 7920 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 9.470E-02 	 horizons 9.0
step 8010 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 9.334E-02 	 horizons 9.0
step 8100 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 6.564E-02 	 horizons 9.0
step 8190 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 7.160E-02 	 horizons 9.0
step 8280 	 return [0.00343229 0.00601202 0.00257277 0.00216739 0.        ], ([2.3283064e-10 0.0000000e+00 0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 5.592E-02 	 horizons 9.0
step 8370 	 return [0.00223511 0.0073598  0.00258767 0.00218685 0.        ], ([1.4672390e-05 1.4347816e-04 4.4427943e-06 6.4872788e-06 0.0000000e+00]) 	 loss 6.101E-02 	 horizons 9.0
