step 12420 	 return [0.         0.00283522 0.00691111], ([0.0000000e+00 1.5132547e-05 1.9856867e-05]) 	 loss 5.494E-02 	 horizons 9.0
step 12510 	 return [0.         0.00493714 0.00536751], ([0.         0.00034549 0.000492  ]) 	 loss 4.316E-02 	 horizons 9.0
step 12600 	 return [0.         0.00420324 0.00635572], ([0.0000000e+00 2.5128136e-06 4.2665590e-05]) 	 loss 5.700E-02 	 horizons 9.0
step 12690 	 return [0.00374129 0.00334757 0.00087828], ([0.00022296 0.00020402 0.00029325]) 	 loss 5.602E-02 	 horizons 9.0
step 12780 	 return [0.00088575 0.00331443 0.00417699], ([0.00013348 0.00036213 0.00053369]) 	 loss 4.900E-02 	 horizons 9.0
step 12870 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 4.394E-02 	 horizons 9.0
step 12960 	 return [0.         0.00495405 0.00538617], ([0.         0.00018359 0.00029098]) 	 loss 3.836E-02 	 horizons 9.0
step 13050 	 return [0.00074395 0.00404843 0.00401371], ([0.00024798 0.00048322 0.00016709]) 	 loss 4.079E-02 	 horizons 9.0
step 13140 	 return [0.00102504 0.0031777  0.00368925], ([0.00015067 0.00038953 0.00043954]) 	 loss 3.747E-02 	 horizons 9.0
step 13230 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.631E-02 	 horizons 9.0
step 13320 	 return [0.         0.00495349 0.00537746], ([0.         0.00018381 0.00028904]) 	 loss 3.338E-02 	 horizons 9.0
step 13410 	 return [0.         0.00506749 0.00519737], ([0.         0.00028189 0.00044673]) 	 loss 4.216E-02 	 horizons 9.0
step 13500 	 return [0.00056832 0.00301095 0.00531996], ([0.00037205 0.00011834 0.00104599]) 	 loss 4.712E-02 	 horizons 9.0
step 13590 	 return [0.00087869 0.00328815 0.0034553 ], ([0.00032638 0.00079896 0.00121849]) 	 loss 4.236E-02 	 horizons 9.0
step 13680 	 return [0.00375517 0.00328394 0.00097649], ([2.1445754e-04 5.3841155e-05 1.6987306e-05]) 	 loss 4.448E-02 	 horizons 9.0
step 13770 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 4.102E-02 	 horizons 9.0
step 13860 	 return [0.         0.00500598 0.00529486], ([0.         0.00024606 0.00038994]) 	 loss 6.341E-02 	 horizons 9.0
step 13950 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 4.235E-02 	 horizons 9.0
step 14040 	 return [0.         0.00494446 0.00539234], ([0.         0.00018454 0.00029246]) 	 loss 5.595E-02 	 horizons 9.0
step 14130 	 return [0.00074248 0.00376034 0.00424477], ([0.00024753 0.0002644  0.00066589]) 	 loss 4.829E-02 	 horizons 9.0
step 14220 	 return [0.         0.00500541 0.00528615], ([0.         0.00024634 0.00038645]) 	 loss 4.235E-02 	 horizons 9.0
step 14310 	 return [0.00081188 0.00308843 0.0046352 ], ([5.8207661e-11 2.3283064e-10 0.0000000e+00]) 	 loss 4.177E-02 	 horizons 9.0
step 14400 	 return [0.0008341  0.00502393 0.00029907], ([0.00127411 0.00064418 0.00045683]) 	 loss 3.859E-02 	 horizons 9.0
step 14490 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 4.651E-02 	 horizons 9.0
step 14580 	 return [0.00387026 0.00317668 0.00096299], ([3.5504470e-04 1.8719952e-04 2.4901095e-05]) 	 loss 5.071E-02 	 horizons 9.0
step 14670 	 return [0.         0.00488239 0.00548112], ([0.0000000e+00 1.6864388e-06 2.6127233e-05]) 	 loss 3.920E-02 	 horizons 9.0
