step 4500 	 return [0.00340659 0.00535081 0.00106131 0.00112288 0.        ], ([0.00018775 0.00085246 0.00032171 0.00033434 0.        ]) 	 loss 4.364E-01 	 horizons 9.0
step 4590 	 return [0.00291516 0.00548833 0.00098622 0.00113862 0.        ], ([0.00088585 0.00207763 0.00032054 0.00029671 0.        ]) 	 loss 3.911E-01 	 horizons 9.0
step 4680 	 return [0.         0.00706237 0.00514574 0.00149603 0.        ], ([0.         0.00210282 0.0012733  0.00019702 0.        ]) 	 loss 3.921E-01 	 horizons 9.0
step 4770 	 return [0.         0.00590418 0.00644863 0.00157299 0.        ], ([0.         0.00127079 0.00041695 0.00061959 0.        ]) 	 loss 3.813E-01 	 horizons 9.0
step 4860 	 return [0.00226444 0.00671437 0.00111659 0.0013011  0.        ], ([0.00090156 0.00103782 0.00038756 0.00031727 0.        ]) 	 loss 4.080E-01 	 horizons 9.0
step 4950 	 return [0.         0.         0.00610763 0.00509095 0.00777657], ([0.0000000e+00 0.0000000e+00 1.4008954e-06 2.4811829e-06 5.3909469e-05]) 	 loss 3.766E-01 	 horizons 9.0
step 5040 	 return [0.         0.         0.00610752 0.00501511 0.00677511], ([0.0000000e+00 0.0000000e+00 5.2567109e-05 8.9685037e-04 1.4503510e-03]) 	 loss 3.569E-01 	 horizons 9.0
step 5130 	 return [0.00263623 0.0068301  0.00119791 0.00113999 0.        ], ([0.00099483 0.00085433 0.00068887 0.00026054 0.        ]) 	 loss 3.753E-01 	 horizons 9.0
step 5220 	 return [0.00021208 0.0071574  0.00303096 0.00114946 0.        ], ([0.00042416 0.00147285 0.00140449 0.00030713 0.        ]) 	 loss 3.516E-01 	 horizons 9.0
step 5310 	 return [0.         0.         0.00586499 0.00493066 0.00795063], ([0.         0.         0.0006685  0.00106009 0.00139207]) 	 loss 3.297E-01 	 horizons 9.0
step 5400 	 return [0.00250304 0.00691522 0.00098112 0.00129811 0.        ], ([0.00083346 0.00083131 0.00037139 0.00015325 0.        ]) 	 loss 3.034E-01 	 horizons 9.0
step 5490 	 return [0.00234015 0.00623513 0.00183707 0.00153464 0.        ], ([0.00105393 0.00086614 0.00095365 0.00018224 0.        ]) 	 loss 2.868E-01 	 horizons 9.0
step 5580 	 return [0.00021316 0.00605453 0.00451905 0.0016793  0.00055903], ([0.00042632 0.00258933 0.00090891 0.00057913 0.00167708]) 	 loss 3.091E-01 	 horizons 9.0
step 5670 	 return [0.         0.         0.00609946 0.00521218 0.00741283], ([0.0000000e+00 0.0000000e+00 1.5388428e-05 2.4410932e-04 6.9153681e-04]) 	 loss 2.950E-01 	 horizons 9.0
step 5760 	 return [0.00280847 0.00639819 0.00128731 0.00151298 0.        ], ([0.00050153 0.00054161 0.0002562  0.0001574  0.        ]) 	 loss 2.792E-01 	 horizons 9.0
step 5850 	 return [0.         0.00369818 0.00710329 0.00176287 0.00100037], ([0.         0.00151777 0.00060496 0.00067477 0.00300111]) 	 loss 2.804E-01 	 horizons 9.0
step 5940 	 return [0.00335146 0.00622081 0.00095788 0.00114493 0.        ], ([0.00056444 0.00074786 0.0006949  0.00016733 0.        ]) 	 loss 2.845E-01 	 horizons 9.0
step 6030 	 return [0.         0.00057642 0.00758054 0.00359113 0.00128587], ([0.         0.0008805  0.00072525 0.00152508 0.00302804]) 	 loss 2.770E-01 	 horizons 9.0
step 6120 	 return [0.         0.         0.00610716 0.00509012 0.0077586 ], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.638E-01 	 horizons 9.0
step 6210 	 return [0.00351615 0.0060225  0.00087699 0.00120861 0.        ], ([0.00045285 0.00093406 0.00035205 0.00010903 0.        ]) 	 loss 2.548E-01 	 horizons 9.0
step 6300 	 return [0.         0.0073535  0.00583681 0.00145163 0.        ], ([0.         0.00149401 0.00160819 0.00022271 0.        ]) 	 loss 2.522E-01 	 horizons 9.0
step 6390 	 return [0.         0.00830289 0.00437257 0.00159276 0.        ], ([0.         0.00109846 0.00063296 0.00012824 0.        ]) 	 loss 2.488E-01 	 horizons 9.0
step 6480 	 return [0.00299684 0.00639807 0.00153088 0.00159423 0.        ], ([0.00069979 0.00091469 0.00058631 0.00011738 0.        ]) 	 loss 2.468E-01 	 horizons 9.0
step 6570 	 return [0.0029461  0.00699785 0.00112932 0.001198   0.        ], ([0.0006859  0.00080801 0.00074614 0.0001157  0.        ]) 	 loss 2.451E-01 	 horizons 9.0
step 6660 	 return [0.         0.         0.00611948 0.00523983 0.00740696], ([0.0000000e+00 0.0000000e+00 5.1087220e-05 3.0573423e-04 7.0339290e-04]) 	 loss 2.282E-01 	 horizons 9.0
step 6750 	 return [0.         0.         0.00610331 0.00515115 0.00758571], ([0.0000000e+00 0.0000000e+00 1.1541322e-05 1.8308200e-04 5.1865261e-04]) 	 loss 2.236E-01 	 horizons 9.0
step 6840 	 return [0.         0.0076615  0.00434385 0.00142937 0.        ], ([0.         0.00278177 0.00143885 0.00026053 0.        ]) 	 loss 1.892E-01 	 horizons 9.0
step 6930 	 return [0.00344763 0.00546909 0.00136983 0.00154425 0.        ], ([0.0004001  0.00083322 0.00051295 0.00014187 0.        ]) 	 loss 2.072E-01 	 horizons 9.0
step 7020 	 return [0.         0.         0.00610716 0.00509012 0.0077586 ], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.861E-01 	 horizons 9.0
step 7110 	 return [0.         0.00489324 0.00757824 0.00201024 0.        ], ([0.         0.00191012 0.00052027 0.00091121 0.        ]) 	 loss 1.751E-01 	 horizons 9.0
step 7200 	 return [0.         0.00878985 0.00389595 0.00139738 0.        ], ([0.         0.00106881 0.00097404 0.00016579 0.        ]) 	 loss 1.685E-01 	 horizons 9.0
step 7290 	 return [0.00287646 0.00663943 0.00128348 0.00157465 0.        ], ([0.00037834 0.00059912 0.00035833 0.00014257 0.        ]) 	 loss 1.858E-01 	 horizons 9.0
step 7380 	 return [0.         0.         0.00610567 0.00479012 0.00807084], ([0.0000000e+00 0.0000000e+00 5.8728867e-05 1.0254465e-03 1.3918767e-03]) 	 loss 1.607E-01 	 horizons 9.0
step 7470 	 return [0.00199691 0.00726441 0.002027   0.00157214 0.        ], ([0.00046266 0.00083463 0.00068882 0.00013354 0.        ]) 	 loss 1.579E-01 	 horizons 9.0
step 7560 	 return [0.00339231 0.00507256 0.00138517 0.00162295 0.        ], ([3.1176404e-04 3.3595017e-04 2.7334035e-04 9.9485296e-05 0.0000000e+00]) 	 loss 1.738E-01 	 horizons 9.0
step 7650 	 return [0.00326358 0.00617153 0.00145287 0.00152767 0.        ], ([0.00021383 0.00055752 0.00031703 0.00021614 0.        ]) 	 loss 1.342E-01 	 horizons 9.0
step 7740 	 return [0.00381811 0.0051658  0.0010198  0.00142837 0.        ], ([0.00054174 0.00049289 0.00043166 0.00018877 0.        ]) 	 loss 1.355E-01 	 horizons 9.0
step 7830 	 return [0.         0.         0.00610716 0.00509012 0.0077586 ], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.456E-01 	 horizons 9.0
step 7920 	 return [0.         0.         0.00589988 0.00537091 0.00751784], ([0.         0.         0.00067745 0.00060732 0.00054773]) 	 loss 1.480E-01 	 horizons 9.0
step 8010 	 return [0.0033048  0.00686831 0.00086209 0.00140394 0.        ], ([0.00013961 0.0012341  0.00040394 0.00016935 0.        ]) 	 loss 1.177E-01 	 horizons 9.0
step 8100 	 return [0.         0.00599246 0.00475198 0.00158114 0.        ], ([0.         0.00183405 0.00062571 0.00011147 0.        ]) 	 loss 1.190E-01 	 horizons 9.0
step 8190 	 return [0.         0.         0.00608875 0.0043839  0.00865862], ([0.0000000e+00 0.0000000e+00 4.0402207e-05 1.2566933e-03 1.6042879e-03]) 	 loss 1.314E-01 	 horizons 9.0
step 8280 	 return [0.         0.         0.00604998 0.00342752 0.00987508], ([0.0000000e+00 0.0000000e+00 6.2054627e-05 1.5370862e-03 1.9588007e-03]) 	 loss 1.459E-01 	 horizons 9.0
step 8370 	 return [0.         0.00019214 0.00699242 0.00337391 0.00425889], ([0.         0.00057642 0.00067484 0.00074443 0.00312078]) 	 loss 1.268E-01 	 horizons 9.0
step 8460 	 return [0.0032575  0.00714401 0.00088372 0.00136806 0.        ], ([6.6498316e-05 7.6153857e-04 4.6689319e-04 1.6865038e-04 0.0000000e+00]) 	 loss 1.106E-01 	 horizons 9.0
step 8550 	 return [0.00393238 0.00537768 0.00091342 0.00130374 0.        ], ([0.00054974 0.00070352 0.00040444 0.00031975 0.        ]) 	 loss 1.361E-01 	 horizons 9.0
step 8640 	 return [0.00384772 0.00573018 0.00093447 0.00141554 0.        ], ([0.00049732 0.00064135 0.00041921 0.00018597 0.        ]) 	 loss 1.178E-01 	 horizons 9.0
step 8730 	 return [0.         0.00985361 0.00327152 0.001418   0.        ], ([0.         0.00061758 0.00024213 0.0001042  0.        ]) 	 loss 1.240E-01 	 horizons 9.0
step 8820 	 return [0.00162828 0.00730585 0.00259404 0.0013817  0.        ], ([0.0007381  0.00119824 0.00117675 0.00018951 0.        ]) 	 loss 1.348E-01 	 horizons 9.0
step 8910 	 return [0.         0.         0.00588553 0.00521408 0.00780108], ([0.         0.         0.00067096 0.00063345 0.00033872]) 	 loss 1.371E-01 	 horizons 9.0
step 9000 	 return [0.         0.00667887 0.00684515 0.00164996 0.0002853 ], ([0.         0.00225357 0.00019002 0.00071712 0.0008559 ]) 	 loss 1.323E-01 	 horizons 9.0
step 9090 	 return [0.         0.         0.00686646 0.00423038 0.00423382], ([0.         0.         0.0004606  0.0007014  0.00219141]) 	 loss 1.379E-01 	 horizons 9.0
step 9180 	 return [0.         0.00091878 0.00724053 0.00376579 0.00228397], ([0.         0.00183757 0.00014735 0.00013595 0.00114198]) 	 loss 1.360E-01 	 horizons 9.0
step 9270 	 return [0.0020481  0.00695977 0.00171852 0.00161449 0.        ], ([0.00069376 0.00071124 0.00046963 0.00011192 0.        ]) 	 loss 1.223E-01 	 horizons 9.0
step 9360 	 return [0.00325239 0.00708589 0.0008787  0.001381   0.        ], ([6.9681912e-05 7.3488057e-04 4.6778680e-04 1.5341179e-04 0.0000000e+00]) 	 loss 1.516E-01 	 horizons 9.0
step 9450 	 return [0.         0.00742154 0.00672085 0.00153121 0.        ], ([0.         0.00057829 0.00042106 0.00017134 0.        ]) 	 loss 1.505E-01 	 horizons 9.0
step 9540 	 return [0.00054924 0.00709574 0.00380208 0.00154761 0.        ], ([0.00089013 0.00087013 0.00082767 0.00016736 0.        ]) 	 loss 1.260E-01 	 horizons 9.0
step 9630 	 return [0.00228113 0.0072088  0.00186405 0.00150891 0.        ], ([0.00070221 0.00075903 0.00062882 0.00021831 0.        ]) 	 loss 1.296E-01 	 horizons 9.0
step 9720 	 return [0.00291809 0.0072524  0.00131097 0.00126918 0.        ], ([0.0006623  0.00073218 0.00082565 0.00010716 0.        ]) 	 loss 1.214E-01 	 horizons 9.0
step 9810 	 return [0.         0.00895198 0.00513986 0.00139109 0.        ], ([0.0000000e+00 4.1045907e-05 2.9955749e-04 6.7381283e-05 0.0000000e+00]) 	 loss 1.399E-01 	 horizons 9.0
step 9900 	 return [0.         0.0086513  0.00582614 0.00140663 0.        ], ([0.         0.00080386 0.00065177 0.00014454 0.        ]) 	 loss 1.360E-01 	 horizons 9.0
step 9990 	 return [0.         0.00765729 0.00661441 0.00138143 0.        ], ([0.0000000e+00 4.7024808e-04 3.7332240e-04 6.9026290e-05 0.0000000e+00]) 	 loss 1.154E-01 	 horizons 9.0
step 10080 	 return [0.00324939 0.00676762 0.00124004 0.00132791 0.        ], ([7.1139410e-05 7.2068174e-04 5.5604189e-04 1.9189830e-04 0.0000000e+00]) 	 loss 1.294E-01 	 horizons 9.0
step 10170 	 return [0.00110501 0.00748297 0.00178173 0.0014436  0.        ], ([0.00099956 0.00041793 0.00046016 0.00025758 0.        ]) 	 loss 1.341E-01 	 horizons 9.0
step 10260 	 return [0.         0.         0.00601197 0.00278928 0.01068101], ([0.0000000e+00 0.0000000e+00 6.6714834e-05 1.3673913e-03 1.7387802e-03]) 	 loss 1.563E-01 	 horizons 9.0
step 10350 	 return [0.         0.00647206 0.00728084 0.00164379 0.        ], ([0.         0.00037276 0.00023165 0.00018445 0.        ]) 	 loss 1.232E-01 	 horizons 9.0
step 10440 	 return [0.0001063  0.00919608 0.00356175 0.00135371 0.        ], ([3.1889314e-04 1.0997972e-03 6.6322065e-04 9.3020550e-05 0.0000000e+00]) 	 loss 1.264E-01 	 horizons 9.0
step 10530 	 return [0.         0.00468659 0.00757346 0.00261482 0.0002855 ], ([0.         0.00175238 0.00032849 0.00095483 0.00085649]) 	 loss 1.301E-01 	 horizons 9.0
step 10620 	 return [0.         0.00727027 0.00681434 0.00146397 0.        ], ([0.         0.0005989  0.00039558 0.00015727 0.        ]) 	 loss 1.371E-01 	 horizons 9.0
step 10710 	 return [0.         0.00842264 0.00558468 0.00132636 0.        ], ([0.         0.00172475 0.00078725 0.00010679 0.        ]) 	 loss 1.433E-01 	 horizons 9.0
step 10800 	 return [0.0001063  0.00944825 0.00333935 0.00139397 0.        ], ([0.00031889 0.00104057 0.00033656 0.00011226 0.        ]) 	 loss 1.245E-01 	 horizons 9.0
