step 15020 	 return [0.00742869 0.01026345 0.00983253], ([0.00102739 0.00213141 0.00235532]) 	 loss 3.680E-01 	 horizons 19.0
step 15210 	 return [0.0084238  0.01035897 0.0102364 ], ([0.00070365 0.00146992 0.00197999]) 	 loss 3.516E-01 	 horizons 19.0
step 15400 	 return [0.00841037 0.01097756 0.00896521], ([0.00081746 0.00065867 0.00120561]) 	 loss 3.691E-01 	 horizons 19.0
step 15590 	 return [0.00795012 0.01107506 0.01083823], ([0.00071343 0.00094859 0.00247503]) 	 loss 3.292E-01 	 horizons 19.0
step 15780 	 return [0.00875272 0.01176708 0.0089763 ], ([0.00080923 0.00135468 0.00153289]) 	 loss 3.252E-01 	 horizons 19.0
step 15970 	 return [0.00811707 0.01119839 0.01104427], ([0.00086005 0.00145606 0.001716  ]) 	 loss 3.361E-01 	 horizons 19.0
step 16160 	 return [0.00754183 0.01127092 0.0110339 ], ([0.00096356 0.00136339 0.0016373 ]) 	 loss 3.330E-01 	 horizons 19.0
step 16350 	 return [0.00896051 0.01117083 0.00950138], ([0.00073225 0.00080867 0.00130315]) 	 loss 3.651E-01 	 horizons 19.0
step 16540 	 return [0.00869041 0.01098609 0.00992039], ([0.00070127 0.00103277 0.00199001]) 	 loss 3.161E-01 	 horizons 19.0
step 16730 	 return [0.00852269 0.01051539 0.01010347], ([0.00087645 0.00079048 0.00183254]) 	 loss 3.463E-01 	 horizons 19.0
step 16920 	 return [0.00807757 0.01037961 0.01159422], ([0.00113001 0.00163686 0.0019825 ]) 	 loss 3.313E-01 	 horizons 19.0
step 17110 	 return [0.00814012 0.01144226 0.01009082], ([0.00144887 0.00140723 0.00204137]) 	 loss 3.230E-01 	 horizons 19.0
step 17300 	 return [0.00693139 0.0118783  0.01059863], ([0.00121457 0.00177543 0.00197172]) 	 loss 3.511E-01 	 horizons 19.0
step 17490 	 return [0.00903418 0.01034283 0.01101382], ([0.00094494 0.00080408 0.00207234]) 	 loss 3.344E-01 	 horizons 19.0
step 17680 	 return [0.00868757 0.01080175 0.00972413], ([0.00104685 0.00187588 0.00261601]) 	 loss 3.366E-01 	 horizons 19.0
