step 16189 	 return [0.00449372 0.00873944 0.01010183 0.01244606 0.00837171], ([0.00045548 0.00015826 0.00117859 0.00126487 0.00127915]) 	 loss 3.156E-01 	 horizons 19.0
step 16379 	 return [0.00468495 0.00714952 0.0079554  0.0146517  0.0094925 ], ([0.00056908 0.0018129  0.00112302 0.00216521 0.00181448]) 	 loss 3.228E-01 	 horizons 19.0
step 16569 	 return [0.00437095 0.01106297 0.00805548 0.01748915 0.00931223], ([0.00024802 0.00173487 0.00133806 0.00118931 0.00148234]) 	 loss 3.318E-01 	 horizons 19.0
step 16759 	 return [0.00437947 0.00840348 0.00941166 0.01339126 0.00815328], ([0.00036767 0.00088476 0.00136683 0.00227065 0.00142545]) 	 loss 2.984E-01 	 horizons 19.0
step 16949 	 return [0.00407346 0.0089188  0.00896379 0.01296143 0.00815205], ([0.0001916  0.00060943 0.00027389 0.00155139 0.0016059 ]) 	 loss 2.950E-01 	 horizons 19.0
step 17139 	 return [0.00539025 0.00848149 0.00753155 0.01397473 0.00813731], ([0.0002228  0.00039978 0.00073473 0.00197695 0.0019591 ]) 	 loss 2.835E-01 	 horizons 19.0
step 17329 	 return [0.00563004 0.00684578 0.00952062 0.01365806 0.00775213], ([0.00023906 0.00167442 0.0010122  0.00109139 0.00258182]) 	 loss 2.504E-01 	 horizons 19.0
step 17519 	 return [0.00440532 0.0082497  0.01129958 0.01124922 0.00956524], ([0.00046914 0.00131466 0.0008617  0.00165089 0.00183311]) 	 loss 2.559E-01 	 horizons 19.0
step 17709 	 return [0.00463287 0.00904552 0.00853291 0.01485048 0.0083821 ], ([0.00054618 0.00096078 0.0015088  0.00139209 0.00145198]) 	 loss 2.324E-01 	 horizons 19.0
step 17899 	 return [0.0054195  0.00872539 0.00715415 0.01488834 0.00988436], ([8.0433390e-05 8.4151071e-04 9.7108079e-04 1.3127966e-03 9.6680445e-04]) 	 loss 2.612E-01 	 horizons 19.0
step 18089 	 return [0.00439043 0.00948741 0.00775796 0.01678245 0.00889279], ([0.00036722 0.00231831 0.00214041 0.00193022 0.00175886]) 	 loss 2.302E-01 	 horizons 19.0
step 18279 	 return [0.00433071 0.01307725 0.00809066 0.01896334 0.00953966], ([4.7148409e-05 2.5554355e-03 1.0790823e-03 1.0161542e-03 1.6650666e-03]) 	 loss 2.434E-01 	 horizons 19.0
step 18469 	 return [0.00519851 0.00823566 0.00903656 0.01301478 0.00905211], ([0.000376   0.00097858 0.00098317 0.00201116 0.00133201]) 	 loss 2.558E-01 	 horizons 19.0
step 18659 	 return [0.00423104 0.00873956 0.010655   0.01359976 0.00918127], ([4.3463613e-05 4.3919098e-04 1.2061803e-03 1.8033282e-03 1.8181934e-03]) 	 loss 2.221E-01 	 horizons 19.0
step 18849 	 return [0.00427376 0.00887237 0.01165084 0.01205583 0.01097208], ([1.9637432e-06 4.0632047e-05 4.8924715e-04 1.5303541e-03 3.9348827e-04]) 	 loss 2.412E-01 	 horizons 19.0
step 19039 	 return [0.00526556 0.00976542 0.00762564 0.01715333 0.00924914], ([0.00044121 0.00157899 0.00134307 0.00178543 0.00096145]) 	 loss 2.289E-01 	 horizons 19.0
step 19229 	 return [0.00456867 0.01406525 0.00757531 0.01903695 0.00947283], ([0.0004291  0.002438   0.00057427 0.00099362 0.00159612]) 	 loss 2.218E-01 	 horizons 19.0
step 19419 	 return [0.00426397 0.00845702 0.01134833 0.01218233 0.01049823], ([1.9007744e-05 1.1522571e-03 6.5578846e-04 1.1475082e-03 1.2454310e-03]) 	 loss 2.051E-01 	 horizons 19.0
step 19609 	 return [0.00426602 0.00885382 0.01131046 0.01320666 0.010553  ], ([1.9632575e-05 1.6298715e-03 1.2569529e-03 9.6417521e-04 8.0085034e-04]) 	 loss 2.242E-01 	 horizons 19.0
step 19799 	 return [0.00428895 0.00976683 0.00951135 0.01884148 0.0093353 ], ([0.00013493 0.0015699  0.0009523  0.00141518 0.00094757]) 	 loss 1.863E-01 	 horizons 19.0
step 19989 	 return [0.00452394 0.01085701 0.00816009 0.01746813 0.00896696], ([0.00046451 0.00276844 0.00151888 0.00137033 0.00207218]) 	 loss 1.780E-01 	 horizons 19.0
step 20179 	 return [0.00443373 0.00752708 0.01103642 0.01223904 0.01030566], ([0.0005177  0.00199098 0.00102315 0.00216298 0.00087739]) 	 loss 1.932E-01 	 horizons 19.0
step 20369 	 return [0.00437045 0.0086916  0.00938839 0.01233393 0.00957829], ([0.00034189 0.00030327 0.00077027 0.00062852 0.00103308]) 	 loss 1.721E-01 	 horizons 19.0
step 20559 	 return [0.00420785 0.01259646 0.00750577 0.01814314 0.01002441], ([0.00021932 0.00172418 0.00091775 0.00112779 0.00046365]) 	 loss 1.754E-01 	 horizons 19.0
step 20749 	 return [0.00423796 0.00973837 0.00866774 0.01833314 0.00960208], ([0.00015137 0.00126103 0.00116649 0.00166173 0.00071921]) 	 loss 1.808E-01 	 horizons 19.0
step 20939 	 return [0.0041823  0.00875673 0.01052327 0.01252454 0.01067998], ([0.00019418 0.00020258 0.00098191 0.00085461 0.00098091]) 	 loss 1.844E-01 	 horizons 19.0
step 21129 	 return [0.00431153 0.01276005 0.00821841 0.01780544 0.01007179], ([7.5568518e-05 3.6835126e-03 1.4838647e-03 2.6412832e-03 1.0908068e-03]) 	 loss 1.695E-01 	 horizons 19.0
step 21319 	 return [0.00422465 0.01079785 0.00866518 0.01908975 0.01003586], ([0.00018071 0.00145781 0.00127549 0.00069036 0.00036941]) 	 loss 1.705E-01 	 horizons 19.0
step 21509 	 return [0.00431872 0.0088283  0.01110623 0.01307548 0.01058711], ([0.00012784 0.00014877 0.00098999 0.00128498 0.00074198]) 	 loss 1.612E-01 	 horizons 19.0
step 21699 	 return [0.004274   0.00895143 0.01027172 0.01363897 0.01072049], ([1.9048543e-05 3.0573923e-04 1.1380601e-03 1.8774096e-03 2.0644789e-04]) 	 loss 1.538E-01 	 horizons 19.0
step 21889 	 return [0.00427716 0.00857602 0.01094844 0.01320156 0.01064296], ([1.7154014e-05 9.1507507e-04 1.4064902e-03 4.8543050e-04 6.4675912e-04]) 	 loss 1.465E-01 	 horizons 19.0
step 22079 	 return [0.00538126 0.00947353 0.00707395 0.01830732 0.00961569], ([0.00017406 0.00216074 0.00100138 0.00122045 0.00068175]) 	 loss 1.566E-01 	 horizons 19.0
step 22269 	 return [0.00435375 0.01230434 0.00839968 0.01886561 0.00998204], ([1.8477669e-05 2.6239173e-03 1.2903285e-03 1.2553262e-03 3.7413475e-04]) 	 loss 1.363E-01 	 horizons 19.0
step 22459 	 return [0.00433776 0.01258813 0.00773245 0.01826189 0.01016655], ([6.9220820e-05 1.2338895e-03 7.8332570e-04 6.0933450e-04 4.4992144e-04]) 	 loss 1.199E-01 	 horizons 19.0
step 22649 	 return [0.00563662 0.00788091 0.00894733 0.01345401 0.00941549], ([0.00055968 0.00174437 0.00139019 0.00250702 0.00264241]) 	 loss 1.327E-01 	 horizons 19.0
step 22839 	 return [0.00437305 0.01447422 0.00762524 0.01926171 0.0098487 ], ([0.00010012 0.00229988 0.00054898 0.00128207 0.0002743 ]) 	 loss 1.265E-01 	 horizons 19.0
step 23029 	 return [0.00435878 0.01523192 0.00763262 0.01915469 0.00990287], ([2.3331781e-05 2.1228218e-03 7.4200693e-04 1.5780537e-03 1.7951694e-04]) 	 loss 8.623E-02 	 horizons 19.0
step 23219 	 return [0.00459654 0.01008855 0.00915712 0.01849142 0.00950644], ([0.00046477 0.00223768 0.00141574 0.00161747 0.00016812]) 	 loss 1.053E-01 	 horizons 19.0
step 23409 	 return [0.00426869 0.00855749 0.01171498 0.01341178 0.01087965], ([1.1240972e-05 9.9382875e-04 3.6939917e-04 8.3905295e-04 7.0519233e-04]) 	 loss 9.716E-02 	 horizons 19.0
step 23599 	 return [0.00430905 0.00960437 0.00973256 0.01883163 0.00967742], ([7.2606264e-05 1.7859560e-03 8.6943118e-04 1.5284412e-03 4.1497845e-04]) 	 loss 9.502E-02 	 horizons 19.0
step 23789 	 return [0.00528697 0.01285536 0.00661261 0.01882455 0.00998602], ([0.00046001 0.00242948 0.00110899 0.00079624 0.00046659]) 	 loss 8.908E-02 	 horizons 19.0
step 23979 	 return [0.00532101 0.01455295 0.00654454 0.01909916 0.00980935], ([0.00040218 0.00194699 0.0008683  0.00089217 0.0003344 ]) 	 loss 7.408E-02 	 horizons 19.0
step 24169 	 return [0.00434594 0.01423037 0.00810632 0.01783338 0.00968147], ([2.3402185e-05 1.7855868e-03 1.0577397e-03 2.2869131e-03 1.1008757e-03]) 	 loss 9.389E-02 	 horizons 19.0
step 24359 	 return [0.00460479 0.01236811 0.00797357 0.01705377 0.00959882], ([0.0004497  0.00125295 0.0011551  0.00132151 0.000191  ]) 	 loss 7.529E-02 	 horizons 19.0
step 24549 	 return [0.00427425 0.00889975 0.01186444 0.01306477 0.01093714], ([4.656613e-10 9.313226e-10 9.313226e-10 9.313226e-10 9.313226e-10]) 	 loss 5.333E-02 	 horizons 19.0
step 24739 	 return [0.00434697 0.0097085  0.01015902 0.01970707 0.00957948], ([1.7909115e-05 1.3491369e-03 1.9408292e-04 5.1814265e-04 1.8678489e-04]) 	 loss 4.768E-02 	 horizons 19.0
