step 4590 	 return [0.00104394 0.00680622 0.00335174 0.00195245 0.        ], ([0.00113566 0.00118818 0.0010618  0.00035215 0.        ]) 	 loss 3.121E-01 	 horizons 9.0
step 4680 	 return [0.00179914 0.00750257 0.00271075 0.00217649 0.        ], ([8.9959044e-04 5.3623196e-04 3.4570144e-04 6.5245600e-05 0.0000000e+00]) 	 loss 3.325E-01 	 horizons 9.0
step 4770 	 return [0.00032926 0.00649195 0.00427012 0.00196874 0.        ], ([0.00070873 0.00157309 0.00127937 0.00031509 0.        ]) 	 loss 3.186E-01 	 horizons 9.0
step 4860 	 return [0.         0.         0.00588304 0.00527457 0.00765416], ([0.         0.         0.00067148 0.00055491 0.00027958]) 	 loss 2.835E-01 	 horizons 9.0
step 4950 	 return [0.00134682 0.00744619 0.00282681 0.00215528 0.        ], ([1.0996918e-03 7.3830725e-04 4.6050764e-04 8.7095228e-05 0.0000000e+00]) 	 loss 2.432E-01 	 horizons 9.0
step 5040 	 return [0.00134127 0.00649517 0.00367134 0.00205021 0.        ], ([0.00109516 0.00111322 0.00104717 0.00010044 0.        ]) 	 loss 2.415E-01 	 horizons 9.0
step 5130 	 return [0.00055287 0.00675465 0.00396312 0.00198105 0.        ], ([0.00089674 0.00080364 0.00083069 0.00012862 0.        ]) 	 loss 2.251E-01 	 horizons 9.0
step 5220 	 return [0.00106698 0.00624965 0.00307178 0.00167062 0.        ], ([0.0008503  0.00118666 0.0011421  0.00052194 0.        ]) 	 loss 1.880E-01 	 horizons 9.0
step 5310 	 return [0.         0.         0.00487556 0.00622998 0.00704654], ([0.         0.         0.0008084  0.00078771 0.00036459]) 	 loss 1.883E-01 	 horizons 9.0
step 5400 	 return [0.00084894 0.00557017 0.00448878 0.00141631 0.        ], ([0.00042447 0.00082521 0.00078979 0.00039786 0.        ]) 	 loss 1.913E-01 	 horizons 9.0
step 5490 	 return [0.         0.         0.00450789 0.00628055 0.00677044], ([0.         0.         0.00056368 0.0010365  0.00055009]) 	 loss 1.624E-01 	 horizons 9.0
step 5580 	 return [0.         0.         0.00434634 0.00674473 0.00682879], ([0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.313226e-10]) 	 loss 1.588E-01 	 horizons 9.0
step 5670 	 return [0.00074433 0.00648082 0.00398963 0.00179429 0.        ], ([0.00086082 0.00130209 0.00035993 0.00038813 0.        ]) 	 loss 1.353E-01 	 horizons 9.0
step 5760 	 return [0.0022897  0.00702001 0.00293963 0.00213128 0.        ], ([1.2811464e-04 8.0571638e-04 5.2869605e-04 9.8417127e-05 0.0000000e+00]) 	 loss 1.460E-01 	 horizons 9.0
step 5850 	 return [0.00119084 0.00625032 0.00299934 0.00166449 0.        ], ([0.00055192 0.00108058 0.00102424 0.00051097 0.        ]) 	 loss 1.329E-01 	 horizons 9.0
step 5940 	 return [0.00220894 0.00628177 0.00227224 0.00130547 0.        ], ([0.00050291 0.00067286 0.0007267  0.00041998 0.        ]) 	 loss 1.392E-01 	 horizons 9.0
step 6030 	 return [0.00211603 0.0066102  0.00257023 0.00202536 0.        ], ([1.4901797e-04 6.0161459e-04 2.0406082e-05 3.0572235e-04 0.0000000e+00]) 	 loss 1.355E-01 	 horizons 9.0
step 6120 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.496E-01 	 horizons 9.0
step 6210 	 return [0.00220498 0.00708102 0.00282125 0.00214855 0.        ], ([1.0607412e-04 5.8166264e-04 4.6329608e-04 8.3858286e-05 0.0000000e+00]) 	 loss 1.338E-01 	 horizons 9.0
step 6300 	 return [0.         0.00674016 0.00477419 0.00200615 0.        ], ([0.0000000e+00 1.3393591e-03 1.1947450e-03 8.7909857e-06 0.0000000e+00]) 	 loss 1.420E-01 	 horizons 9.0
step 6390 	 return [0.00135154 0.0071383  0.00305995 0.0021161  0.        ], ([0.00111735 0.00118862 0.00056132 0.00011059 0.        ]) 	 loss 1.705E-01 	 horizons 9.0
step 6480 	 return [0.00144574 0.00664725 0.00373052 0.0019778  0.        ], ([0.00100632 0.00101382 0.00045052 0.00012929 0.        ]) 	 loss 1.377E-01 	 horizons 9.0
step 6570 	 return [0.00156252 0.00623032 0.00398276 0.00198605 0.        ], ([1.0229121e-03 2.7399219e-04 6.9096457e-04 8.4679241e-06 0.0000000e+00]) 	 loss 1.339E-01 	 horizons 9.0
step 6660 	 return [0.00211495 0.00593534 0.00382319 0.00189823 0.        ], ([0.00035169 0.00034709 0.00022618 0.00024912 0.        ]) 	 loss 1.253E-01 	 horizons 9.0
step 6750 	 return [0.00227826 0.00613118 0.00363225 0.00200271 0.        ], ([1.3183063e-04 5.1431032e-04 3.4607915e-04 6.4609769e-05 0.0000000e+00]) 	 loss 1.190E-01 	 horizons 9.0
step 6840 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.176E-01 	 horizons 9.0
step 6930 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.156E-01 	 horizons 9.0
step 7020 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.035E-01 	 horizons 9.0
step 7110 	 return [0.0022763  0.00598183 0.00374763 0.00198118 0.        ], ([1.3235529e-04 2.0762702e-04 5.1199464e-07 2.7667275e-07 0.0000000e+00]) 	 loss 1.058E-01 	 horizons 9.0
step 7200 	 return [0.00210702 0.00686602 0.00305604 0.00211128 0.        ], ([0.0007223  0.00098689 0.00056413 0.00010657 0.        ]) 	 loss 1.144E-01 	 horizons 9.0
step 7290 	 return [0.00224764 0.00749019 0.00259192 0.00219319 0.        ], ([9.1860848e-06 9.6159041e-05 3.2309026e-06 4.9238174e-06 0.0000000e+00]) 	 loss 1.111E-01 	 horizons 9.0
step 7380 	 return [0.00184361 0.0074406  0.00271092 0.00217699 0.        ], ([9.3020115e-04 7.2979712e-04 3.4507172e-04 6.5672808e-05 0.0000000e+00]) 	 loss 1.057E-01 	 horizons 9.0
step 7470 	 return [0.00223348 0.00621036 0.00340166 0.00204643 0.        ], ([0.00077179 0.00104276 0.00052688 0.00010057 0.        ]) 	 loss 1.005E-01 	 horizons 9.0
step 7560 	 return [0.00229337 0.00743029 0.00259218 0.00219368 0.        ], ([1.3771078e-04 2.0902658e-04 3.2178827e-06 4.8937718e-06 0.0000000e+00]) 	 loss 9.343E-02 	 horizons 9.0
step 7650 	 return [0.00200896 0.00611194 0.00374989 0.00198231 0.        ], ([6.6965312e-04 1.8269056e-04 6.2861477e-06 3.1073112e-06 0.0000000e+00]) 	 loss 8.113E-02 	 horizons 9.0
step 7740 	 return [0.0022763  0.00598183 0.00374763 0.00198118 0.        ], ([1.3235529e-04 2.0762702e-04 5.1199464e-07 2.7667275e-07 0.0000000e+00]) 	 loss 7.067E-02 	 horizons 9.0
step 7830 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 5.297E-02 	 horizons 9.0
step 7920 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 6.213E-02 	 horizons 9.0
step 8010 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 5.414E-02 	 horizons 9.0
step 8100 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 3.677E-02 	 horizons 9.0
step 8190 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 2.963E-02 	 horizons 9.0
step 8280 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.792E-02 	 horizons 9.0
step 8370 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.431E-02 	 horizons 9.0
step 8460 	 return [0.00200896 0.00637126 0.00363512 0.00200599 0.        ], ([6.6965312e-04 9.6065272e-04 3.3803278e-04 7.4144293e-05 0.0000000e+00]) 	 loss 1.179E-02 	 horizons 9.0
step 8550 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.136E-02 	 horizons 9.0
step 8640 	 return [0.00240865 0.00577421 0.00374711 0.0019809  0.        ], ([2.1613526e-04 3.3905348e-04 8.3608364e-07 4.5180457e-07 0.0000000e+00]) 	 loss 1.674E-02 	 horizons 9.0
step 8730 	 return [0.00111609 0.00635553 0.00375827 0.00198645 0.        ], ([1.1160886e-03 3.0448425e-04 1.0476913e-05 5.1788520e-06 0.0000000e+00]) 	 loss 1.252E-02 	 horizons 9.0
step 8820 	 return [0.00240865 0.00577421 0.00374711 0.0019809  0.        ], ([2.1613526e-04 3.3905348e-04 8.3608364e-07 4.5180457e-07 0.0000000e+00]) 	 loss 1.638E-02 	 horizons 9.0
