step 11501 	 return [0.00476783 0.00874821 0.00818518], ([0.00142914 0.00090396 0.00194384]) 	 loss 6.160E-01 	 horizons 19.0
step 11691 	 return [0.00544327 0.00903542 0.00748631], ([0.00157727 0.00178933 0.00205233]) 	 loss 6.158E-01 	 horizons 19.0
step 11881 	 return [0.00660654 0.00975653 0.00781813], ([0.00188712 0.0010901  0.00187866]) 	 loss 5.854E-01 	 horizons 19.0
step 12071 	 return [0.00707512 0.00910549 0.00697159], ([0.00204152 0.00126497 0.00267878]) 	 loss 5.933E-01 	 horizons 19.0
step 12261 	 return [0.00664808 0.01013557 0.00734654], ([0.00128742 0.001488   0.00148615]) 	 loss 5.705E-01 	 horizons 19.0
step 12451 	 return [0.00570643 0.01019051 0.00824588], ([0.00156389 0.00124807 0.00223247]) 	 loss 5.414E-01 	 horizons 19.0
step 12641 	 return [0.00763258 0.00968857 0.00658012], ([0.00151511 0.00139287 0.00131792]) 	 loss 5.330E-01 	 horizons 19.0
step 12831 	 return [0.00743097 0.00911656 0.00507105], ([0.00125641 0.00107684 0.00153776]) 	 loss 5.232E-01 	 horizons 19.0
step 13021 	 return [0.00725654 0.01017785 0.00765239], ([0.00121062 0.00106474 0.00110344]) 	 loss 4.902E-01 	 horizons 19.0
step 13211 	 return [0.00713836 0.0100336  0.00628891], ([0.00103269 0.00199419 0.00167592]) 	 loss 5.266E-01 	 horizons 19.0
step 13401 	 return [0.00509962 0.01013282 0.00820048], ([0.00202212 0.00071741 0.00165555]) 	 loss 5.183E-01 	 horizons 19.0
step 13591 	 return [0.00728821 0.00992692 0.00791074], ([0.00077175 0.00121968 0.00121056]) 	 loss 5.170E-01 	 horizons 19.0
step 13781 	 return [0.0081683  0.01060345 0.00746801], ([0.00102678 0.00130896 0.00176688]) 	 loss 5.047E-01 	 horizons 19.0
step 13971 	 return [0.00888691 0.00902636 0.0058515 ], ([0.00216236 0.00121422 0.00198935]) 	 loss 4.880E-01 	 horizons 19.0
step 14161 	 return [0.00777629 0.00979146 0.00617113], ([0.00167626 0.00140959 0.0015065 ]) 	 loss 4.836E-01 	 horizons 19.0
step 14351 	 return [0.00804057 0.01000173 0.00778691], ([0.00090393 0.00132645 0.00139838]) 	 loss 4.921E-01 	 horizons 19.0
step 14541 	 return [0.00864832 0.01163623 0.00728951], ([0.00108479 0.00117852 0.00187067]) 	 loss 4.665E-01 	 horizons 19.0
step 14731 	 return [0.00771913 0.01032472 0.00717658], ([0.00086116 0.00095112 0.00174303]) 	 loss 4.443E-01 	 horizons 19.0
step 14921 	 return [0.00793455 0.01112039 0.0082157 ], ([0.0007092  0.00091812 0.00129608]) 	 loss 4.537E-01 	 horizons 19.0
step 15111 	 return [0.00856877 0.01104796 0.00705332], ([0.0011689  0.00150951 0.00111242]) 	 loss 4.375E-01 	 horizons 19.0
step 15301 	 return [0.00778244 0.01066989 0.00798699], ([0.00054682 0.00103747 0.00147073]) 	 loss 4.163E-01 	 horizons 19.0
step 15491 	 return [0.00747877 0.01078545 0.00847026], ([0.00136429 0.00150628 0.0018298 ]) 	 loss 4.195E-01 	 horizons 19.0
step 15681 	 return [0.00900452 0.0110096  0.00617246], ([0.00109129 0.00145031 0.0012488 ]) 	 loss 3.892E-01 	 horizons 19.0
step 15871 	 return [0.00819093 0.01092161 0.00750257], ([0.0010847  0.00162595 0.00162976]) 	 loss 4.294E-01 	 horizons 19.0
step 16061 	 return [0.00968281 0.01160053 0.00632322], ([0.00078605 0.00124884 0.00114818]) 	 loss 4.064E-01 	 horizons 19.0
step 16251 	 return [0.00831529 0.01077514 0.00776316], ([0.00108984 0.00111655 0.00123053]) 	 loss 3.788E-01 	 horizons 19.0
step 16441 	 return [0.00785064 0.01124917 0.00815455], ([0.00145801 0.00114882 0.00254325]) 	 loss 3.741E-01 	 horizons 19.0
step 16631 	 return [0.00808759 0.01103193 0.00858071], ([0.00073207 0.00104707 0.00195381]) 	 loss 3.674E-01 	 horizons 19.0
step 16821 	 return [0.00751489 0.01093232 0.00893877], ([0.00157086 0.0011442  0.00133074]) 	 loss 3.752E-01 	 horizons 19.0
step 17011 	 return [0.00789715 0.01073199 0.00863158], ([0.00105434 0.00189265 0.00253642]) 	 loss 4.200E-01 	 horizons 19.0
step 17201 	 return [0.0094908  0.00952434 0.00531093], ([0.00169654 0.00113267 0.00172113]) 	 loss 3.663E-01 	 horizons 19.0
step 17391 	 return [0.0082107  0.01111409 0.00844307], ([0.00061434 0.00094552 0.00157337]) 	 loss 3.707E-01 	 horizons 19.0
step 17581 	 return [0.00803555 0.0106515  0.00892953], ([0.00074935 0.00076843 0.00107062]) 	 loss 3.538E-01 	 horizons 19.0
step 17771 	 return [0.01019996 0.00937787 0.00447865], ([0.00110891 0.00111862 0.00101038]) 	 loss 3.450E-01 	 horizons 19.0
step 17961 	 return [0.00378402 0.00896196 0.01069074], ([0.00139163 0.00112181 0.00164825]) 	 loss 3.171E-01 	 horizons 19.0
step 18151 	 return [0.00758557 0.01093508 0.00966521], ([0.00097425 0.00075734 0.00202698]) 	 loss 3.342E-01 	 horizons 19.0
step 18341 	 return [0.00946002 0.01175945 0.00878148], ([0.00079543 0.00094697 0.00210761]) 	 loss 3.213E-01 	 horizons 19.0
step 18531 	 return [0.00857537 0.01097469 0.00723826], ([0.00127128 0.00112111 0.00123364]) 	 loss 3.274E-01 	 horizons 19.0
step 18721 	 return [0.00810773 0.01207752 0.00832123], ([0.00050514 0.001284   0.00148401]) 	 loss 3.033E-01 	 horizons 19.0
step 18911 	 return [0.00967226 0.01140581 0.00738146], ([0.00054916 0.00063739 0.00205509]) 	 loss 3.077E-01 	 horizons 19.0
step 19101 	 return [0.0084243  0.01164304 0.00828339], ([0.00060824 0.00121862 0.00151395]) 	 loss 3.030E-01 	 horizons 19.0
step 19291 	 return [0.00943742 0.0117266  0.00786254], ([0.00084577 0.00081554 0.00123284]) 	 loss 2.884E-01 	 horizons 19.0
step 19481 	 return [0.00936813 0.01127334 0.00726665], ([0.00095949 0.00080887 0.00086068]) 	 loss 2.820E-01 	 horizons 19.0
step 19671 	 return [0.0093601  0.01065386 0.00870602], ([0.00080898 0.00101467 0.00215371]) 	 loss 2.640E-01 	 horizons 19.0
step 19861 	 return [0.00945363 0.01156802 0.00854119], ([0.00062566 0.00089135 0.00201164]) 	 loss 2.726E-01 	 horizons 19.0
step 20051 	 return [0.00957753 0.01164103 0.00840871], ([0.00060618 0.00067269 0.00166346]) 	 loss 2.672E-01 	 horizons 19.0
step 20241 	 return [0.00776184 0.01085731 0.01240622], ([0.00101266 0.00100981 0.00123206]) 	 loss 2.549E-01 	 horizons 19.0
step 20431 	 return [0.0082136  0.01134462 0.01167163], ([0.00054028 0.00063313 0.00143723]) 	 loss 2.276E-01 	 horizons 19.0
step 20621 	 return [0.00850277 0.01107676 0.01184656], ([0.00052804 0.00104532 0.00111973]) 	 loss 2.622E-01 	 horizons 19.0
step 20811 	 return [0.00931969 0.01106334 0.01063951], ([0.00089736 0.00106414 0.0008558 ]) 	 loss 2.404E-01 	 horizons 19.0
step 21001 	 return [0.00811286 0.01145932 0.01198622], ([0.0004503  0.0008399  0.00145736]) 	 loss 2.305E-01 	 horizons 19.0
step 21191 	 return [0.00952766 0.01142965 0.00912202], ([0.00063466 0.00107145 0.00179184]) 	 loss 2.325E-01 	 horizons 19.0
step 21381 	 return [0.00848651 0.01168001 0.01026705], ([0.00069537 0.00141987 0.00135938]) 	 loss 2.168E-01 	 horizons 19.0
step 21571 	 return [0.00840133 0.01181225 0.01097835], ([0.00077286 0.00107142 0.00157046]) 	 loss 2.263E-01 	 horizons 19.0
step 21761 	 return [0.00961814 0.01146866 0.01037599], ([0.00093514 0.00156545 0.00098272]) 	 loss 2.259E-01 	 horizons 19.0
step 21951 	 return [0.00846725 0.0111129  0.01144356], ([0.00034251 0.00093128 0.00086263]) 	 loss 1.985E-01 	 horizons 19.0
step 22141 	 return [0.00984077 0.012287   0.00951028], ([0.00071444 0.00143065 0.00089789]) 	 loss 2.039E-01 	 horizons 19.0
step 22331 	 return [0.01049332 0.0125832  0.00916257], ([0.00025142 0.00070177 0.00067316]) 	 loss 1.989E-01 	 horizons 19.0
