/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yo8kts51
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-yo8kts51
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__42__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/yo8kts51
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 16012 	 return [0.0044719  0.00961523 0.00800706 0.01620282 0.00742967], ([0.00034786 0.0021184  0.00146908 0.00262479 0.00230984]) 	 loss 2.632E-01 	 horizons 19.0
step 16202 	 return [0.0038526  0.00876236 0.00801069 0.01245    0.00700712], ([0.00080913 0.00093712 0.0009004  0.00175967 0.00181719]) 	 loss 2.738E-01 	 horizons 19.0
step 16392 	 return [0.01238356 0.00417908 0.00333823 0.         0.        ], ([0.00126397 0.00055198 0.00088448 0.         0.        ]) 	 loss 2.667E-01 	 horizons 19.0
step 16582 	 return [0.00866075 0.0117667  0.00876851 0.00745099 0.        ], ([0.00144764 0.00064612 0.00094512 0.00072647 0.        ]) 	 loss 2.339E-01 	 horizons 19.0
step 16772 	 return [0.00468724 0.00676778 0.01043595 0.01186215 0.00742982], ([0.00061129 0.00237143 0.00094848 0.00186369 0.00257024]) 	 loss 2.170E-01 	 horizons 19.0
step 16962 	 return [0.00144507 0.01349341 0.00773548 0.01486169 0.00420918], ([0.00144909 0.00229437 0.00078611 0.00325603 0.00264537]) 	 loss 2.252E-01 	 horizons 19.0
step 17152 	 return [0.00317317 0.01226115 0.01178862 0.00651204 0.        ], ([0.00169363 0.00076278 0.00138325 0.00082368 0.        ]) 	 loss 2.666E-01 	 horizons 19.0
step 17342 	 return [0.00339289 0.00964641 0.01191369 0.00973686 0.00807853], ([0.00064569 0.00097431 0.00169293 0.00255599 0.00228782]) 	 loss 2.158E-01 	 horizons 19.0
step 17532 	 return [0.00318427 0.01243056 0.01232761 0.0103936  0.00635088], ([0.0003668  0.00197586 0.00095396 0.00298091 0.00187478]) 	 loss 2.343E-01 	 horizons 19.0
step 17722 	 return [0.00350715 0.01091086 0.00965191 0.01012394 0.0045006 ], ([0.00112566 0.00133428 0.0012671  0.00249095 0.0013226 ]) 	 loss 2.415E-01 	 horizons 19.0
step 17912 	 return [0.01246169 0.00483402 0.00348943 0.00128866 0.00034444], ([0.00099479 0.00039979 0.00144143 0.00142416 0.00103333]) 	 loss 2.300E-01 	 horizons 19.0
step 18102 	 return [0.         0.01175197 0.01242886 0.01119923 0.01075843], ([0.         0.00044904 0.00089882 0.0019072  0.00108992]) 	 loss 2.139E-01 	 horizons 19.0
step 18292 	 return [0.00547032 0.00466963 0.0088413  0.01159612 0.00738704], ([0.00055864 0.00094105 0.0009228  0.00257943 0.00157962]) 	 loss 2.446E-01 	 horizons 19.0
step 18482 	 return [0.00501397 0.01410183 0.00878271 0.00543529 0.0004613 ], ([0.00058589 0.00062424 0.00130969 0.00050816 0.00138391]) 	 loss 2.488E-01 	 horizons 19.0
step 18672 	 return [0.0040829  0.00718474 0.00991131 0.01148183 0.01073887], ([0.0004196  0.0021632  0.00100841 0.00095041 0.00166837]) 	 loss 2.421E-01 	 horizons 19.0
step 18862 	 return [0.00524242 0.00536163 0.00820805 0.01275032 0.00667826], ([0.0003738  0.00149494 0.000899   0.00194906 0.00113589]) 	 loss 2.604E-01 	 horizons 19.0
step 19052 	 return [0.00857496 0.011814   0.00941156 0.00772401 0.00043208], ([6.8468822e-04 4.0437328e-04 7.0378889e-04 9.6982360e-05 1.2962549e-03]) 	 loss 2.291E-01 	 horizons 19.0
step 19242 	 return [0.00203957 0.00887513 0.01260099 0.01081793 0.01018178], ([0.00133852 0.00200213 0.00078143 0.00189428 0.00160728]) 	 loss 2.230E-01 	 horizons 19.0
step 19432 	 return [0.00558228 0.00975441 0.00890413 0.00988401 0.0063982 ], ([0.00202414 0.00143166 0.00180364 0.00234604 0.00195495]) 	 loss 2.379E-01 	 horizons 19.0
