/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 4l15ebrn
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-4l15ebrn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__789__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/4l15ebrn
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-4l15ebrn-evalfront-V8yGVg" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 10301 	 return [0.00678492 0.01048275 0.00826594], ([0.00100327 0.00106886 0.00180142]) 	 loss 6.238E-01 	 horizons 19.0
step 10491 	 return [0.00749425 0.01223178 0.00897155], ([0.00072256 0.0012632  0.00131467]) 	 loss 5.969E-01 	 horizons 19.0
step 10681 	 return [0.0074411  0.01279285 0.00875724], ([0.00059666 0.00146812 0.00154079]) 	 loss 5.770E-01 	 horizons 19.0
step 10871 	 return [0.00782674 0.01232668 0.00810843], ([0.00118846 0.00140495 0.00167836]) 	 loss 6.076E-01 	 horizons 19.0
step 11061 	 return [0.00728337 0.01233069 0.00788571], ([0.00138344 0.00140694 0.00137395]) 	 loss 5.801E-01 	 horizons 19.0
step 11251 	 return [0.00728998 0.01200333 0.00787581], ([0.00081031 0.00194889 0.00153941]) 	 loss 5.502E-01 	 horizons 19.0
step 11441 	 return [0.00753329 0.01190456 0.0073532 ], ([0.00103193 0.00148798 0.00183202]) 	 loss 5.313E-01 	 horizons 19.0
step 11631 	 return [0.00691485 0.0124428  0.00889831], ([0.00034478 0.00094243 0.00159954]) 	 loss 5.298E-01 	 horizons 19.0
step 11821 	 return [0.00631542 0.01157511 0.00757848], ([0.0016914  0.00317047 0.00253248]) 	 loss 5.367E-01 	 horizons 19.0
step 12011 	 return [0.00850548 0.01229761 0.00821589], ([0.00140095 0.00155649 0.00206571]) 	 loss 4.896E-01 	 horizons 19.0
step 12201 	 return [0.00658232 0.01181241 0.00974667], ([0.00142943 0.00171293 0.00164412]) 	 loss 5.034E-01 	 horizons 19.0
step 12391 	 return [0.00722014 0.01159954 0.00992138], ([0.0006749  0.00075116 0.00166572]) 	 loss 4.824E-01 	 horizons 19.0
step 12581 	 return [0.00770468 0.01203196 0.01010473], ([0.00083986 0.00088454 0.00142177]) 	 loss 4.996E-01 	 horizons 19.0
step 12771 	 return [0.00760958 0.01020421 0.00858558], ([0.00041804 0.00210223 0.0020998 ]) 	 loss 4.976E-01 	 horizons 19.0
step 12961 	 return [0.00731245 0.01145578 0.00971234], ([0.00111645 0.00066715 0.00092778]) 	 loss 4.800E-01 	 horizons 19.0
step 13151 	 return [0.00697437 0.01163013 0.00995099], ([0.00189758 0.00131289 0.00157323]) 	 loss 4.816E-01 	 horizons 19.0
step 13341 	 return [0.00698409 0.01244702 0.00946619], ([0.00075665 0.00165035 0.0010596 ]) 	 loss 4.742E-01 	 horizons 19.0
step 13531 	 return [0.00743392 0.01278397 0.00958958], ([0.0003406  0.00129891 0.00075269]) 	 loss 4.297E-01 	 horizons 19.0
step 13721 	 return [0.00776628 0.0130268  0.00920208], ([0.000679   0.00170041 0.00126935]) 	 loss 4.278E-01 	 horizons 19.0
step 13911 	 return [0.00749465 0.0133603  0.00874824], ([0.000828   0.00106515 0.00161953]) 	 loss 3.974E-01 	 horizons 19.0
