step 13793 	 return [0.00799452 0.00878045 0.00698795], ([0.0017654  0.00165182 0.0016585 ]) 	 loss 5.106E-01 	 horizons 19.0
step 13983 	 return [0.00662904 0.00974936 0.00782514], ([0.00079848 0.00124061 0.00162007]) 	 loss 4.987E-01 	 horizons 19.0
step 14173 	 return [0.00787462 0.00995701 0.00813342], ([0.00156452 0.00162746 0.00176604]) 	 loss 5.146E-01 	 horizons 19.0
step 14363 	 return [0.00780426 0.00912547 0.00825529], ([0.00146532 0.00149122 0.00111837]) 	 loss 4.793E-01 	 horizons 19.0
step 14553 	 return [0.00896003 0.00915462 0.00738226], ([0.00153479 0.00170619 0.00189727]) 	 loss 4.689E-01 	 horizons 19.0
step 14743 	 return [0.00981279 0.00879104 0.00660437], ([0.00077842 0.00074753 0.00138474]) 	 loss 4.669E-01 	 horizons 19.0
step 14933 	 return [0.00784494 0.01025499 0.00777661], ([0.00189923 0.00139305 0.00311476]) 	 loss 4.853E-01 	 horizons 19.0
step 15123 	 return [0.00699552 0.00867434 0.00751218], ([0.00136664 0.00273026 0.00322455]) 	 loss 4.449E-01 	 horizons 19.0
step 15313 	 return [0.00968227 0.00923901 0.00699748], ([0.00143285 0.00091099 0.0012182 ]) 	 loss 4.248E-01 	 horizons 19.0
step 15503 	 return [0.01024356 0.00908238 0.00586107], ([0.00076345 0.00083418 0.0018252 ]) 	 loss 4.006E-01 	 horizons 19.0
step 15693 	 return [0.01028398 0.00937993 0.00703407], ([0.00078151 0.00098843 0.00148933]) 	 loss 3.825E-01 	 horizons 19.0
step 15883 	 return [0.00985889 0.00969836 0.00719978], ([0.00123813 0.00072866 0.00128213]) 	 loss 3.868E-01 	 horizons 19.0
step 16073 	 return [0.01047296 0.00967347 0.0064182 ], ([0.00073407 0.00049682 0.00116019]) 	 loss 3.405E-01 	 horizons 19.0
step 16263 	 return [0.01093574 0.00959869 0.0066824 ], ([0.00053062 0.00064309 0.00137731]) 	 loss 3.585E-01 	 horizons 19.0
step 16453 	 return [0.00708118 0.00926329 0.00841444], ([0.00049731 0.0016686  0.00136146]) 	 loss 3.266E-01 	 horizons 19.0
step 16643 	 return [0.01044546 0.00963558 0.0066392 ], ([0.00112032 0.00099261 0.00124509]) 	 loss 3.482E-01 	 horizons 19.0
step 16833 	 return [0.0091036  0.00976439 0.00806108], ([0.00168162 0.0007873  0.00093611]) 	 loss 3.031E-01 	 horizons 19.0
step 17023 	 return [0.0098278  0.00921648 0.00748678], ([0.00127977 0.00064951 0.00150985]) 	 loss 3.410E-01 	 horizons 19.0
step 17213 	 return [0.01038479 0.00916188 0.00675525], ([0.00057773 0.00073794 0.00166001]) 	 loss 3.012E-01 	 horizons 19.0
step 17403 	 return [0.01131121 0.00945508 0.00799199], ([0.00047928 0.00040216 0.00092688]) 	 loss 2.936E-01 	 horizons 19.0
step 17593 	 return [0.00963009 0.0103559  0.00788369], ([0.00148882 0.00173375 0.00084858]) 	 loss 2.940E-01 	 horizons 19.0
step 17783 	 return [0.01094092 0.0093971  0.00743313], ([0.00059753 0.00034867 0.0013266 ]) 	 loss 2.922E-01 	 horizons 19.0
step 17973 	 return [0.00970302 0.00821085 0.00827002], ([0.00141448 0.00094796 0.00061115]) 	 loss 2.788E-01 	 horizons 19.0
step 18163 	 return [0.00778787 0.01111253 0.00909402], ([0.0013761  0.00135439 0.00139209]) 	 loss 2.846E-01 	 horizons 19.0
step 18353 	 return [0.01095768 0.00875282 0.00838883], ([0.00065938 0.00053841 0.00011347]) 	 loss 2.755E-01 	 horizons 19.0
step 18543 	 return [0.01069819 0.00940852 0.00751359], ([0.00116466 0.00103629 0.00128631]) 	 loss 2.706E-01 	 horizons 19.0
step 18733 	 return [0.00859449 0.00973245 0.00906516], ([0.00097195 0.00118727 0.00194558]) 	 loss 2.778E-01 	 horizons 19.0
step 18923 	 return [0.00917458 0.00939276 0.00903788], ([0.00136811 0.00083196 0.00064756]) 	 loss 2.691E-01 	 horizons 19.0
step 19113 	 return [0.01064239 0.00880205 0.00850903], ([0.00072694 0.0006404  0.0004834 ]) 	 loss 2.683E-01 	 horizons 19.0
step 19303 	 return [0.00787312 0.00910941 0.00925755], ([0.00113155 0.0014928  0.00086237]) 	 loss 2.323E-01 	 horizons 19.0
step 19493 	 return [0.00902446 0.00985677 0.00905248], ([0.00089315 0.00224556 0.00191914]) 	 loss 2.308E-01 	 horizons 19.0
step 19683 	 return [0.01097046 0.00885054 0.00805116], ([0.0008516  0.00103019 0.00100509]) 	 loss 2.190E-01 	 horizons 19.0
step 19873 	 return [0.00724983 0.01089931 0.00802559], ([0.00084661 0.00111856 0.00172808]) 	 loss 2.401E-01 	 horizons 19.0
step 20063 	 return [0.0105007  0.00870721 0.00829335], ([0.00090433 0.00049309 0.00024402]) 	 loss 1.960E-01 	 horizons 19.0
step 20253 	 return [0.01046262 0.00877449 0.00831998], ([0.00026837 0.00060902 0.00048518]) 	 loss 1.956E-01 	 horizons 19.0
step 20443 	 return [0.00716584 0.01062707 0.00897768], ([0.0011112  0.00134393 0.00107391]) 	 loss 2.070E-01 	 horizons 19.0
step 20633 	 return [0.01022375 0.00939089 0.00850152], ([0.00042062 0.00047066 0.00064173]) 	 loss 2.079E-01 	 horizons 19.0
step 20823 	 return [0.00826472 0.01127337 0.00875637], ([0.00092354 0.00104112 0.00191424]) 	 loss 2.069E-01 	 horizons 19.0
step 21013 	 return [0.00929513 0.00937644 0.0096819 ], ([0.00100333 0.00139084 0.00115382]) 	 loss 2.020E-01 	 horizons 19.0
step 21203 	 return [0.01069214 0.00900847 0.00838844], ([5.9620658e-04 4.9447827e-04 5.2535175e-05]) 	 loss 1.890E-01 	 horizons 19.0
step 21393 	 return [0.00835773 0.01089059 0.00964356], ([0.00048691 0.00109905 0.00100575]) 	 loss 1.875E-01 	 horizons 19.0
step 21583 	 return [0.00871681 0.01141479 0.00986252], ([0.00115066 0.00150199 0.00176821]) 	 loss 2.067E-01 	 horizons 19.0
step 21773 	 return [0.00840529 0.01217803 0.00854713], ([0.00115695 0.00150375 0.00164003]) 	 loss 2.145E-01 	 horizons 19.0
step 21963 	 return [0.00881519 0.01062926 0.00964289], ([0.00070329 0.00132125 0.00158708]) 	 loss 2.440E-01 	 horizons 19.0
step 22153 	 return [0.00885041 0.01069428 0.0095631 ], ([0.00096837 0.00155373 0.00169607]) 	 loss 2.169E-01 	 horizons 19.0
step 22343 	 return [0.0084454  0.01055255 0.00980918], ([0.00112323 0.00077298 0.00145573]) 	 loss 2.232E-01 	 horizons 19.0
step 22533 	 return [0.00853581 0.01131704 0.00942036], ([0.00096246 0.00157932 0.00134694]) 	 loss 2.279E-01 	 horizons 19.0
step 22723 	 return [0.01026249 0.00952299 0.00883476], ([0.00043984 0.00018615 0.00054182]) 	 loss 2.340E-01 	 horizons 19.0
step 22913 	 return [0.0094933  0.01189121 0.00884226], ([0.00051841 0.0018632  0.00072059]) 	 loss 2.053E-01 	 horizons 19.0
step 23103 	 return [0.00892681 0.01181857 0.00941476], ([0.001308   0.00170808 0.0014814 ]) 	 loss 2.205E-01 	 horizons 19.0
step 23293 	 return [0.00924458 0.01143413 0.00963043], ([0.00065076 0.00160331 0.00167714]) 	 loss 2.352E-01 	 horizons 19.0
step 23483 	 return [0.00816594 0.01121973 0.00871538], ([0.00133229 0.00129821 0.00202391]) 	 loss 2.309E-01 	 horizons 19.0
step 23673 	 return [0.00933244 0.01091316 0.0096056 ], ([0.00079453 0.00112655 0.00121321]) 	 loss 2.670E-01 	 horizons 19.0
step 23863 	 return [0.00958291 0.01171056 0.0089011 ], ([0.00046393 0.00194987 0.00087197]) 	 loss 2.738E-01 	 horizons 19.0
step 24053 	 return [0.0099289  0.01100333 0.00868933], ([0.00093829 0.00168452 0.00084571]) 	 loss 2.677E-01 	 horizons 19.0
step 24243 	 return [0.00981884 0.01085949 0.00884775], ([0.00035868 0.00186394 0.00060258]) 	 loss 2.506E-01 	 horizons 19.0
step 24433 	 return [0.00971546 0.01258815 0.00924073], ([0.00025541 0.00191241 0.001149  ]) 	 loss 2.525E-01 	 horizons 19.0
step 24623 	 return [0.00964602 0.01282122 0.00893564], ([0.00061779 0.00180348 0.00128762]) 	 loss 2.283E-01 	 horizons 19.0
step 24813 	 return [0.00942336 0.01169796 0.00912353], ([0.00051903 0.00217455 0.00103729]) 	 loss 2.397E-01 	 horizons 19.0
step 25003 	 return [0.00914287 0.0121529  0.00880632], ([0.00040836 0.00135563 0.00158543]) 	 loss 2.193E-01 	 horizons 19.0
step 25193 	 return [0.00909692 0.01162201 0.00960982], ([0.00053411 0.00166124 0.00147092]) 	 loss 2.657E-01 	 horizons 19.0
step 25383 	 return [0.00933716 0.01216561 0.00947925], ([0.00048156 0.00175323 0.00155898]) 	 loss 2.409E-01 	 horizons 19.0
step 25573 	 return [0.00947499 0.01094476 0.01037553], ([0.00055378 0.00138001 0.00196775]) 	 loss 2.469E-01 	 horizons 19.0
step 25763 	 return [0.0091405  0.01214062 0.00905073], ([0.00072882 0.0017801  0.00145127]) 	 loss 2.588E-01 	 horizons 19.0
step 25953 	 return [0.00915349 0.01120619 0.01086029], ([0.0007316  0.00119787 0.00117416]) 	 loss 2.477E-01 	 horizons 19.0
step 26143 	 return [0.00993515 0.01319126 0.00918102], ([0.00047377 0.00070238 0.00054155]) 	 loss 2.284E-01 	 horizons 19.0
step 26333 	 return [0.00979633 0.01282579 0.0094778 ], ([0.00030263 0.00073171 0.00099709]) 	 loss 2.237E-01 	 horizons 19.0
step 26523 	 return [0.00921674 0.0128109  0.01002816], ([0.00056351 0.0012768  0.00077026]) 	 loss 2.100E-01 	 horizons 19.0
step 26713 	 return [0.00946188 0.0100198  0.01078897], ([0.00054456 0.00065322 0.00156249]) 	 loss 2.333E-01 	 horizons 19.0
step 26903 	 return [0.0096569  0.01172197 0.01087776], ([0.00052822 0.00141383 0.00134246]) 	 loss 2.148E-01 	 horizons 19.0
step 27093 	 return [0.00922555 0.0110468  0.01076117], ([0.00051169 0.00149075 0.00061976]) 	 loss 2.252E-01 	 horizons 19.0
step 27283 	 return [0.00954816 0.01363093 0.00904544], ([0.0004606  0.00081039 0.00044005]) 	 loss 2.078E-01 	 horizons 19.0
step 27473 	 return [0.0093147  0.01316492 0.00957395], ([0.00068617 0.0007337  0.00096411]) 	 loss 2.047E-01 	 horizons 19.0
step 27663 	 return [0.00981017 0.0132576  0.00899318], ([0.00038461 0.00056415 0.00020498]) 	 loss 1.852E-01 	 horizons 19.0
step 27853 	 return [0.00941306 0.01347994 0.009061  ], ([0.00027238 0.00083496 0.00052981]) 	 loss 1.774E-01 	 horizons 19.0
step 28043 	 return [0.00976129 0.01235189 0.0101656 ], ([0.00054553 0.00106505 0.00072315]) 	 loss 1.956E-01 	 horizons 19.0
step 28233 	 return [0.00991863 0.01319803 0.01013408], ([0.00038346 0.00044719 0.00052534]) 	 loss 1.806E-01 	 horizons 19.0
step 28423 	 return [0.00937161 0.01340747 0.00929164], ([0.00062679 0.00087547 0.00061178]) 	 loss 2.031E-01 	 horizons 19.0
step 28613 	 return [0.00937232 0.01360445 0.00979293], ([0.00062942 0.0010391  0.0011214 ]) 	 loss 1.893E-01 	 horizons 19.0
step 28803 	 return [0.01013466 0.01279865 0.01049524], ([0.00039124 0.00061988 0.00037919]) 	 loss 1.745E-01 	 horizons 19.0
step 28993 	 return [0.00937863 0.01372364 0.00940722], ([0.00047645 0.00046827 0.00067857]) 	 loss 1.750E-01 	 horizons 19.0
step 29183 	 return [0.00953214 0.01337641 0.00972849], ([0.0004644  0.00067734 0.00070654]) 	 loss 1.656E-01 	 horizons 19.0
step 29373 	 return [0.00987291 0.01363786 0.01007369], ([0.00033153 0.00040142 0.00050238]) 	 loss 1.638E-01 	 horizons 19.0
step 29563 	 return [0.00972584 0.01359527 0.00907308], ([0.00035938 0.00068787 0.00017291]) 	 loss 1.571E-01 	 horizons 19.0
step 29753 	 return [0.00980921 0.01392591 0.00922867], ([0.00024072 0.00066263 0.00042246]) 	 loss 1.718E-01 	 horizons 19.0
step 29943 	 return [0.01014452 0.0130359  0.01012037], ([0.00035725 0.00054744 0.00053231]) 	 loss 1.666E-01 	 horizons 19.0
step 30133 	 return [0.00956636 0.01388893 0.00943286], ([0.00012004 0.0003697  0.0005583 ]) 	 loss 1.470E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__NSW-xian-g3__456__1781826632[0m at: [34mhttps://wandb.ai/johnario-tu-delft/cl_ablation/runs/zx421y49[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260619_015033-zx421y49/logs[0m
