step 11018 	 return [0.00345848 0.00859138 0.00849782 0.00530207 0.00798394], ([0.00075458 0.00089671 0.00082025 0.00168464 0.0016565 ]) 	 loss 5.378E-01 	 horizons 19.0
step 11208 	 return [0.00303007 0.00763444 0.00892513 0.00626573 0.00678027], ([0.00093867 0.00149545 0.00186901 0.0015136  0.00299792]) 	 loss 5.045E-01 	 horizons 19.0
step 11398 	 return [0.00298382 0.01119887 0.00771244 0.00412023 0.00593653], ([0.00077826 0.0013135  0.00183068 0.00144878 0.00375636]) 	 loss 5.014E-01 	 horizons 19.0
step 11588 	 return [0.00587037 0.01157059 0.00749229 0.00286575 0.00290498], ([0.0029045  0.00311246 0.00312183 0.0024216  0.00257884]) 	 loss 5.046E-01 	 horizons 19.0
step 11778 	 return [0.00438529 0.01005724 0.00826685 0.00396397 0.00642124], ([0.00292967 0.00213644 0.00251599 0.00180203 0.00294492]) 	 loss 4.618E-01 	 horizons 19.0
step 11968 	 return [0.00592694 0.01201576 0.00876394 0.00234718 0.00252817], ([0.00336379 0.00267982 0.00257467 0.00146169 0.00182903]) 	 loss 4.265E-01 	 horizons 19.0
step 12158 	 return [0.00384259 0.00995885 0.00948721 0.00442261 0.00697091], ([0.00090136 0.00118541 0.00172862 0.00182604 0.00145828]) 	 loss 4.565E-01 	 horizons 19.0
step 12348 	 return [0.00327958 0.00770711 0.00963379 0.00494068 0.0074258 ], ([0.00076158 0.0018555  0.00240009 0.00152504 0.00202032]) 	 loss 4.128E-01 	 horizons 19.0
step 12538 	 return [0.00357997 0.00901625 0.00962515 0.00446215 0.00812685], ([0.00078357 0.00139218 0.00186974 0.00198097 0.00203958]) 	 loss 4.459E-01 	 horizons 19.0
step 12728 	 return [0.00435162 0.00783139 0.00996773 0.00455751 0.0087938 ], ([0.00089309 0.00186735 0.00184026 0.00208373 0.00226022]) 	 loss 3.914E-01 	 horizons 19.0
step 12918 	 return [0.00347629 0.00703044 0.00774399 0.00547699 0.00969444], ([0.00067669 0.00133632 0.00207025 0.00215511 0.0009452 ]) 	 loss 4.111E-01 	 horizons 19.0
step 13108 	 return [0.00349986 0.0044407  0.01102673 0.00713623 0.00785552], ([0.00084062 0.00078219 0.00178318 0.00142243 0.00283325]) 	 loss 4.193E-01 	 horizons 19.0
step 13298 	 return [0.00372241 0.00585662 0.00990833 0.00572427 0.00985796], ([0.00065334 0.00080813 0.00178894 0.00284318 0.00207821]) 	 loss 3.975E-01 	 horizons 19.0
step 13488 	 return [0.00441102 0.0103942  0.00906741 0.0051497  0.00780603], ([0.00089343 0.00088814 0.00205536 0.00105401 0.00168299]) 	 loss 3.954E-01 	 horizons 19.0
step 13678 	 return [0.00517357 0.01174983 0.00941834 0.00327685 0.00603926], ([0.0024214  0.00108441 0.00103078 0.0013455  0.00213125]) 	 loss 3.764E-01 	 horizons 19.0
step 13868 	 return [0.00404264 0.00721982 0.01090568 0.00596131 0.0079647 ], ([0.00088526 0.00131921 0.00155164 0.00250664 0.00219049]) 	 loss 3.781E-01 	 horizons 19.0
step 14058 	 return [0.00340682 0.00822675 0.01039132 0.00452433 0.0088264 ], ([0.00080564 0.00115492 0.00198089 0.00126074 0.00094377]) 	 loss 3.749E-01 	 horizons 19.0
step 14248 	 return [0.00384051 0.00509813 0.0071896  0.00747171 0.01154869], ([0.00093595 0.00104809 0.00202367 0.00128019 0.00203902]) 	 loss 3.458E-01 	 horizons 19.0
step 14438 	 return [0.00281137 0.0063287  0.00985178 0.00653985 0.00960496], ([0.00112016 0.00156322 0.00289522 0.00175294 0.00168155]) 	 loss 3.247E-01 	 horizons 19.0
step 14628 	 return [0.00381408 0.00786035 0.01029223 0.00594753 0.00776027], ([0.00094342 0.00130571 0.00176186 0.00256544 0.00234544]) 	 loss 4.080E-01 	 horizons 19.0
step 14818 	 return [0.00381367 0.00998187 0.01000217 0.00510663 0.00621127], ([0.00085534 0.00088767 0.00185633 0.00136312 0.00215817]) 	 loss 3.741E-01 	 horizons 19.0
step 15008 	 return [0.00311764 0.00477816 0.01127017 0.00713398 0.00941874], ([0.00121646 0.00088598 0.00190885 0.00132128 0.00230489]) 	 loss 3.757E-01 	 horizons 19.0
step 15198 	 return [0.00379483 0.00705715 0.01089349 0.00572345 0.00850401], ([0.00073831 0.00088061 0.00127038 0.0019429  0.00169862]) 	 loss 3.465E-01 	 horizons 19.0
step 15388 	 return [0.00343992 0.00667896 0.01144151 0.00543122 0.00860331], ([0.00098977 0.00095538 0.00200033 0.00185757 0.00260113]) 	 loss 3.515E-01 	 horizons 19.0
